ar_fg;val;kod_2010;namn_2010;giltiga_2010;giltiga_fgval;rostande_2010;rostande_fgval;rostberattigade_2010;rostberattigade_fgval;valdeltagande_2010;valdeltagande_fgval;indelning
2006;rd;14801121;Älvsborg, Långedrag;1376;1287;1380;1290;1515;1446;91.09;89.21;
2006;rd;14801112;Älvsborg, Norra Fiskebäck;1299;1257;1309;1262;1409;1362;92.90;92.66;
2006;rd;14801132;Älvsborg, Nya Varvet;1625;1499;1633;1503;1906;1764;85.68;85.20;
2006;rd;14801113;Älvsborg, Påvelund;1362;1353;1373;1360;1626;1623;84.44;83.80;
2006;rd;14801111;Älvsborg, Södra Fiskebäck;822;798;824;801;957;920;86.10;87.07;
2006;rd;14801131;Älvsborg, Tångudden;1196;1107;1201;1119;1329;1247;90.37;89.74;
2006;rd;14800004;Onsdagsdistrikt;2410;1995;;;;;;;
2006;rd;14800413;Bergsjön, Gärdsmosse;608;538;611;547;1177;1173;51.91;46.63;
2006;rd;14800411;Bergsjön, Gärdsås;705;646;707;658;942;914;75.05;71.99;
2006;rd;14800424;Bergsjön, Komettorget;737;574;740;581;1225;1128;60.41;51.51;
2006;rd;14800414;Bergsjön, Norra Bergsjön;619;565;624;567;921;889;67.75;63.78;
2006;rd;14800423;Bergsjön, Rymdtorget;417;432;421;434;780;813;53.97;53.38;
2006;rd;14800412;Bergsjön, Siriusgatan;866;907;876;922;1392;1517;62.93;60.78;
2006;rd;14800421;Bergsjön, Södra Bergsjön;725;662;735;665;1163;1119;63.20;59.43;
2006;rd;14800422;Bergsjön, Östra Bergsjön;728;645;729;651;1238;1241;58.89;52.46;
2006;rd;14800141;Gunnared, Angereds Centrum;1009;848;1017;861;1372;1241;74.13;69.38;
2006;rd;14800111;Gunnared, Lövgärdets Centrum;634;591;638;602;1026;1018;62.18;59.14;
2006;rd;14800113;Gunnared, Nedre Lövgärdet;1107;996;1117;1012;1691;1673;66.06;60.49;
2006;rd;14800132;Gunnared, Norra Gårdsten;823;688;826;691;1376;1312;60.03;52.67;
2006;rd;14800122;Gunnared, Norra Rannebergen;1224;1156;1238;1174;1586;1561;78.06;75.21;
2006;rd;14800134;Gunnared, Södra Gårdsten;477;;480;;894;;53.69;;Modifierad
2006;rd;14800121;Gunnared, Södra Rannebergen;943;921;954;942;1389;1436;68.68;65.60;
2006;rd;14800142;Gunnared, Trädgårdsgärdet;813;695;819;701;1144;1071;71.59;65.45;
2006;rd;14800131;Gunnared, Västra Gårdsten;507;;511;;903;;56.59;;Modifierad
2006;rd;14800133;Gunnared, Östra Gårdsten;771;683;783;688;1251;1165;62.59;59.06;
2006;rd;14800112;Gunnared, Övre Lövgärdet;921;718;930;728;1391;1285;66.86;56.65;
2006;rd;14800532;Härlanda, Fräntorp;929;761;941;779;1081;878;87.05;88.72;
2006;rd;14800511;Härlanda, Härlanda;1017;969;1022;982;1261;1248;81.05;78.69;
2006;rd;14800525;Härlanda, Munkebäck;1331;1275;1342;1298;1683;1651;79.74;78.62;
2006;rd;14800543;Härlanda, Norra Björkekärr;722;737;730;745;846;849;86.29;87.75;
2006;rd;14800544;Härlanda, Robertshöjd;1239;1227;1256;1245;1671;1628;75.16;76.47;
2006;rd;14800541;Härlanda, Södra Björkekärr;1600;1567;1610;1584;1814;1791;88.75;88.44;
2006;rd;14800521;Härlanda, Södra Kålltorp;1312;1229;1325;1252;1628;1558;81.39;80.36;
2006;rd;14800531;Härlanda, Torpa;1412;1314;1428;1335;1752;1682;81.51;79.37;
2006;rd;14800524;Härlanda, Vidkärr;1101;1027;1123;1059;1351;1285;83.12;82.41;
2006;rd;14800542;Härlanda, Västra Björkekärr;1306;1273;1313;1291;1649;1631;79.62;79.15;
2006;rd;14800522;Härlanda, Västra Kålltorp;882;830;888;842;1057;1075;84.01;78.33;
2006;rd;14800523;Härlanda, Östra Kålltorp;846;816;856;840;1056;1031;81.06;81.47;
2006;rd;14800341;Kortedala, Adventsparken;963;989;978;1001;1386;1436;70.56;69.71;
2006;rd;14800314;Kortedala, Bellevue;860;802;867;816;1173;1147;73.91;71.14;
2006;rd;14800323;Kortedala, Fjällbo;1199;1176;1216;1191;1436;1389;84.68;85.75;
2006;rd;14800311;Kortedala, Gamlestaden;1303;1170;1313;1198;1704;1652;77.05;72.52;
2006;rd;14800331;Kortedala, Gregorianska gatan m fl;802;801;815;811;1204;1271;67.69;63.81;
2006;rd;14800334;Kortedala, Kortedala Centrum;888;786;893;799;1334;1317;66.94;60.67;
2006;rd;14800313;Kortedala, Kviberg;1285;1166;1292;1191;1648;1593;78.40;74.76;
2006;rd;14800343;Kortedala, Månadsgatorna m fl;1091;1051;1101;1070;1484;1489;74.19;71.86;
2006;rd;14800342;Kortedala, Norra Kortedala;1121;1057;1136;1088;1659;1675;68.47;64.96;
2006;rd;14800312;Kortedala, Nylöse;1019;916;1038;948;1514;1488;68.56;63.71;
2006;rd;14800335;Kortedala, Södra Kortedala;1002;945;1008;963;1250;1242;80.64;77.54;
2006;rd;14800322;Kortedala, Utby;1253;1194;1267;1213;1423;1348;89.04;89.99;
2006;rd;14800321;Kortedala, Utbynäs;936;885;951;899;1063;1029;89.46;87.37;
2006;rd;14800332;Kortedala, Västra Kortedala;1044;1005;1057;1024;1378;1364;76.71;75.07;
2006;rd;14800333;Kortedala, Östra Kortedala;987;1001;998;1012;1471;1545;67.85;65.50;
2006;rd;14800211;Lärjedalen, Agnesberg;507;466;514;478;797;792;64.49;60.35;
2006;rd;14800251;Lärjedalen, Björsared-Knipared;1145;989;1156;1012;1396;1214;82.81;83.36;
2006;rd;14800264;Lärjedalen, Bläsebo;806;661;814;677;1246;1169;65.33;57.91;
2006;rd;14800271;Lärjedalen, Eriksbo;860;907;864;922;1328;1400;65.06;65.86;
2006;rd;14800231;Lärjedalen, Gunnilse-Linnarhult;1157;1091;1173;1108;1404;1335;83.55;83.00;
2006;rd;14800263;Lärjedalen, Norra Hjällbo;745;676;749;680;1263;1226;59.30;55.46;
2006;rd;14800252;Lärjedalen, Olofstorp;1438;1216;1459;1236;1684;1492;86.64;82.84;
2006;rd;14800223;Lärjedalen, Sandeslätt;883;846;889;856;1278;1263;69.56;67.78;
2006;rd;14800262;Lärjedalen, Skolspåret;552;514;556;519;933;915;59.59;56.72;
2006;rd;14800261;Lärjedalen, Södra Hjällbo;446;409;449;411;799;760;56.20;54.08;
2006;rd;14800221;Lärjedalen, Västra Hammarkullen;960;816;971;828;1522;1395;63.80;59.35;
2006;rd;14800222;Lärjedalen, Östra Hammarkullen;974;854;978;860;1581;1534;61.86;56.06;
2006;rd;14800621;Örgryte, Bagaregården;849;789;858;817;1003;966;85.54;84.58;
2006;rd;14800662;Örgryte, Bö;825;799;834;806;941;902;88.63;89.36;
2006;rd;14800652;Örgryte, Jakobsdal;1131;1085;1141;1090;1368;1321;83.41;82.51;
2006;rd;14800653;Örgryte, Norra Skår;980;928;983;932;1083;1035;90.77;90.05;
2006;rd;14800632;Örgryte, Redbergslid;1175;1113;1190;1129;1459;1391;81.56;81.16;
2006;rd;14800631;Örgryte, Strömmensberg;1129;998;1148;1016;1489;1469;77.10;69.16;
2006;rd;14800651;Örgryte, Södra Skår;1036;965;1043;972;1168;1084;89.30;89.67;
2006;rd;14800671;Örgryte, Torp;1523;1437;1538;1455;1797;1710;85.59;85.09;
2006;rd;14800641;Örgryte, Västra Kallebäck;1177;1178;1188;1208;1466;1496;81.04;80.75;
2006;rd;14800622;Örgryte, Ånäs;920;850;928;871;1110;1101;83.60;79.11;
2006;rd;14800661;Örgryte, Örgryte;808;823;813;831;956;970;85.04;85.67;
2006;rd;14800642;Örgryte, Östra Kallebäck;1154;840;1162;856;1420;1085;81.83;78.89;
2006;rd;14800002;Onsdagsdistrikt;2330;1717;;;;;;;
