ar;lokalid;lokal;totalt;antal_dagar;forsta_dag;sista_dag;rang_goteborg;andel_goteborg_procent;storsta_dag_antal;storsta_dag;antal_valdagen
2010;8332;Kärra bibliotek;2013;12;2010-09-01;2010-09-17;18;1.45;334;2010-09-16;0
2010;8338;Blå Stället;3002;14;2010-09-01;2010-09-17;14;2.17;468;2010-09-17;0
2010;8339;Hammarkullens bibliotek;1041;12;2010-09-01;2010-09-17;30;0.75;196;2010-09-17;0
2010;8340;Hjällbo bibliotek;1092;12;2010-09-01;2010-09-17;28;0.79;176;2010-09-17;0
2010;8341;Bergsjöns bibliotek;1146;13;2010-09-01;2010-09-17;26;0.83;199;2010-09-17;0
2010;8342;Kortedala bibliotek;3031;15;2010-09-01;2010-09-18;12;2.19;410;2010-09-18;0
2010;8343;Gamlestadens bibliotek;1852;16;2010-09-01;2010-09-18;20;1.34;245;2010-09-16;0
2010;8349;Stadsbiblioteket;15409;18;2010-09-01;2010-09-18;2;11.12;1864;2010-09-17;0
2010;8350;Nordstan;40288;19;2010-09-01;2010-09-19;1;29.07;3754;2010-09-17;3385
2010;8351;Linnéstadens bibliotek;5244;15;2010-09-01;2010-09-18;4;3.78;770;2010-09-16;0
2010;8352;Guldhedens bibliotek;2206;16;2010-09-01;2010-09-18;17;1.59;294;2010-09-16;0
2010;8355;Styrsö bibliotek;416;5;2010-09-01;2010-09-16;32;0.30;294;2010-09-16;0
2010;8357;Majornas bibliotek;4585;16;2010-09-01;2010-09-18;7;3.31;500;2010-09-17;0
2010;8358;Högsbo bibliotek;3653;16;2010-09-01;2010-09-18;9;2.64;433;2010-09-16;0
2010;8359;Frölunda bibliotek;11107;18;2010-09-01;2010-09-18;3;8.02;1074;2010-09-18;0
2010;8360;Askims bibliotek;3685;13;2010-09-01;2010-09-17;8;2.66;487;2010-09-13;0
2010;8362;Älvsborg stadsdelskontor;1704;13;2010-09-01;2010-09-17;22;1.23;244;2010-09-17;0
2010;8554;Asperö skola;0;0;;;101;0.00;0;;0
2010;8555;Vrångö skola, Vrångöhuset;0;0;;;101;0.00;0;;0
2010;8991;Östra Sjukhuset;1835;16;2010-09-01;2010-09-18;21;1.32;286;2010-09-17;0
2010;8997;Sahlgrenska sjukhuset;2927;18;2010-09-01;2010-09-18;15;2.11;454;2010-09-17;0
2010;9640;Medborgarservice Tynnered;1119;13;2010-09-01;2010-09-17;27;0.81;141;2010-09-16;0
2010;10262;Hisingens bibliotek;4733;15;2010-09-01;2010-09-18;6;3.42;587;2010-09-17;0
2010;10351;Toftaåsens äldrecenter;50;1;2010-09-12;2010-09-12;43;0.04;50;2010-09-12;0
2010;12482;Kåken Härlanda/Örgryte bibliotek;4920;15;2010-09-01;2010-09-17;5;3.55;677;2010-09-16;0
2010;12544;Börsen;2670;13;2010-09-01;2010-09-17;16;1.93;634;2010-09-17;0
2010;12803;Teckenspråksforum;18;1;2010-09-16;2010-09-16;80;0.01;18;2010-09-16;0
2010;12807;Dalheimers hus;1221;13;2010-09-01;2010-09-17;24;0.88;203;2010-09-17;0
2010;13351;Barkens Äldreboende;10;1;2010-09-12;2010-09-12;91;0.01;10;2010-09-12;0
2010;13352;Sankt Jörgens Äldreboende;17;1;2010-09-12;2010-09-12;83;0.01;17;2010-09-12;0
2010;13354;Geråshus Äldreboende;43;1;2010-09-12;2010-09-12;45;0.03;43;2010-09-12;0
2010;13355;Lillhagsparken;30;1;2010-09-12;2010-09-12;58;0.02;30;2010-09-12;0
2010;13356;Lillhagsparkens Äldreboende;0;0;;;101;0.00;0;;0
2010;13838;Gårdsten Centrum;569;12;2010-09-01;2010-09-17;31;0.41;133;2010-09-17;0
2010;14133;Gråbergets vård- och äldreboende;34;1;2010-09-19;2010-09-19;53;0.02;34;2010-09-19;34
2010;14134;Kastanjebackens äldreboende;5;1;2010-09-19;2010-09-19;100;0.00;5;2010-09-19;5
2010;14135;Kärrahus;0;0;;;101;0.00;0;;0
2010;14136;Hammarhus;24;1;2010-09-19;2010-09-19;69;0.02;24;2010-09-19;24
2010;14137;Vegahusen 55;23;1;2010-09-19;2010-09-19;71;0.02;23;2010-09-19;23
2010;14138;Bagaregårdens äldreboende;23;1;2010-09-19;2010-09-19;71;0.02;23;2010-09-19;23
2010;14139;Svartedalens äldrecentrum;36;1;2010-09-19;2010-09-19;50;0.03;36;2010-09-19;36
2010;14140;Landalahus äldreboende;34;1;2010-09-19;2010-09-19;53;0.02;34;2010-09-19;34
2010;14141;Högsbotorpshemmet;26;1;2010-09-19;2010-09-19;66;0.02;26;2010-09-19;26
2010;14142;Glöstorpshöjden;6;1;2010-09-19;2010-09-19;98;0.00;6;2010-09-19;6
2010;14143;Kallebäcks äldreboende;18;1;2010-09-19;2010-09-19;80;0.01;18;2010-09-19;18
2010;14144;Morängatans äldreboende;8;1;2010-09-19;2010-09-19;96;0.01;8;2010-09-19;8
2010;14145;Äldreboendet Götaholm;17;1;2010-09-12;2010-09-12;83;0.01;17;2010-09-12;0
