ar;lokalid;lokal;totalt;antal_dagar;forsta_dag;sista_dag;rang_goteborg;andel_goteborg_procent;storsta_dag_antal;storsta_dag;antal_valdagen
2018;6868;Altplatsens äldreboende;21;1;2018-08-27;2018-08-27;63;0.01;21;2018-08-27;0
2018;6871;Backahus;28;1;2018-08-28;2018-08-28;53;0.02;28;2018-08-28;0
2018;6873;Bergsjöhöjds boende;49;1;2018-09-03;2018-09-03;36;0.03;49;2018-09-03;0
2018;6876;Björkekärrs hus;23;1;2018-08-22;2018-08-22;60;0.01;23;2018-08-22;0
2018;6877;Björkåshemmet;13;1;2018-08-30;2018-08-30;74;0.01;13;2018-08-30;0
2018;6879;Dicksons hus;37;2;2018-08-24;2018-09-08;44;0.02;25;2018-08-24;0
2018;6882;Fiskebäcks äldreboende/Attendo;40;1;2018-08-30;2018-08-30;40;0.02;40;2018-08-30;0
2018;6886;Fridkulla äldreboende;24;1;2018-09-04;2018-09-04;59;0.01;24;2018-09-04;0
2018;6887;Fyrväpplingens äldreboende;28;2;2018-09-04;2018-09-07;53;0.02;23;2018-09-04;0
2018;6888;Gerdas Gård;47;1;2018-08-29;2018-08-29;38;0.03;47;2018-08-29;0
2018;6891;Granlidens äldreboende;31;1;2018-08-31;2018-08-31;49;0.02;31;2018-08-31;0
2018;6892;Grevegårdens äldreboende;28;1;2018-08-29;2018-08-29;53;0.02;28;2018-08-29;0
2018;6894;Gunnareds äldreboende;11;1;2018-08-27;2018-08-27;75;0.01;11;2018-08-27;0
2018;6896;Häktet Polishuset;48;2;2018-08-28;2018-08-29;37;0.03;30;2018-08-28;0
2018;6897;Högsbo sjukhus/SU Geriatrik;3;1;2018-08-28;2018-08-28;79;0.00;3;2018-08-28;0
2018;6899;KVA Högsbo;52;1;2018-09-07;2018-09-07;35;0.03;52;2018-09-07;0
2018;6900;KVA Skogome;94;1;2018-08-24;2018-08-24;31;0.06;94;2018-08-24;0
2018;6903;Kaverös Äng;14;1;2018-08-30;2018-08-30;71;0.01;14;2018-08-30;0
2018;6905;Kvibergs äldreboende;28;1;2018-09-03;2018-09-03;53;0.02;28;2018-09-03;0
2018;6912;Lövgärdets äldreboende;17;1;2018-08-27;2018-08-27;67;0.01;17;2018-08-27;0
2018;6915;Nya Varvets äldreboende;30;1;2018-09-06;2018-09-06;51;0.02;30;2018-09-06;0
2018;6916;Rågården rättspsykiatri;20;1;2018-08-29;2018-08-29;64;0.01;20;2018-08-29;0
2018;6926;Stiftelsen Neuberghska ålderdomshem;17;1;2018-08-27;2018-08-27;67;0.01;17;2018-08-27;0
2018;6928;Styrsöhemmet;18;1;2018-08-23;2018-08-23;66;0.01;18;2018-08-23;0
2018;6929;Svaleboskogens  äldreboende;23;1;2018-08-30;2018-08-30;60;0.01;23;2018-08-30;0
2018;6932;Uggledals äldreboende;27;1;2018-09-06;2018-09-06;57;0.02;27;2018-09-06;0
2018;6933;Vasahemmet;33;1;2018-08-31;2018-08-31;46;0.02;33;2018-08-31;0
2018;6939;Åkerhus äldreboende;44;1;2018-08-31;2018-08-31;39;0.03;44;2018-08-31;0
2018;6940;Änggårdsbackens äldreboende tre stif;30;1;2018-08-28;2018-08-28;51;0.02;30;2018-08-28;0
2018;8296;Tuve bibliotek;2923;13;2018-08-22;2018-09-07;18;1.82;492;2018-09-06;0
2018;8324;Kyrkbyns bibliotek;2143;10;2018-08-22;2018-09-06;23;1.33;508;2018-09-06;0
2018;8325;Biskopsgårdens bibliotek;3690;15;2018-08-22;2018-09-08;14;2.29;484;2018-09-07;0
2018;8327;Backa bibliotek;4692;16;2018-08-22;2018-09-08;11;2.92;523;2018-09-05;0
2018;8328;Älvstrandens bibliotek;3204;14;2018-08-22;2018-09-08;16;1.99;498;2018-09-07;0
2018;8329;Torslanda bibliotek;6001;15;2018-08-22;2018-09-08;8;3.73;722;2018-09-06;0
2018;8332;Kärra bibliotek;2755;13;2018-08-22;2018-09-07;19;1.71;459;2018-09-06;0
2018;8338;Kulturhuset Blå Stället;4485;16;2018-08-22;2018-09-08;12;2.79;554;2018-09-07;0
2018;8339;Hammarkullens bibliotek;1379;13;2018-08-22;2018-09-07;26;0.86;253;2018-09-06;0
2018;8340;Hjällbo bibliotek;1627;13;2018-08-22;2018-09-07;24;1.01;276;2018-09-07;0
2018;8341;Bergsjöns bibliotek;1444;14;2018-08-22;2018-09-07;25;0.90;193;2018-09-06;0
2018;8342;Kortedala bibliotek;3730;15;2018-08-22;2018-09-07;13;2.32;526;2018-09-07;0
2018;8343;Gamlestadens bibliotek;2313;13;2018-08-22;2018-09-07;22;1.44;367;2018-09-07;0
2018;8349;Stadsbiblioteket;19024;18;2018-08-22;2018-09-08;2;11.82;2038;2018-09-07;0
2018;8351;Linnéstadens bibliotek;9464;16;2018-08-22;2018-09-08;4;5.88;1196;2018-09-06;0
2018;8352;Guldhedens bibliotek;3183;14;2018-08-22;2018-09-08;17;1.98;501;2018-09-08;0
2018;8355;Styrsö bibliotek;495;8;2018-08-23;2018-09-07;27;0.31;121;2018-09-04;0
2018;8357;Majornas bibliotek;7470;16;2018-08-22;2018-09-08;7;4.64;926;2018-09-06;0
2018;8358;Högsbo bibliotek;4813;16;2018-08-22;2018-09-08;10;2.99;619;2018-09-06;0
2018;8359;Frölunda Kulturhus;14543;16;2018-08-22;2018-09-08;3;9.04;1558;2018-09-06;0
2018;8360;Askims bibliotek;4816;13;2018-08-22;2018-09-07;9;2.99;637;2018-09-07;0
2018;8362;Stadsdelskontor Västra Göteborg;2356;13;2018-08-22;2018-09-07;21;1.46;313;2018-09-07;0
2018;8554;Asperö skola;0;0;;;80;0.00;0;;0
2018;8555;Vrångö skola, Vrångöhuset;0;0;;;80;0.00;0;;0
2018;8991;Östra Sjukhuset;2570;16;2018-08-22;2018-09-08;20;1.60;334;2018-09-07;0
2018;8997;Sahlgrenska sjukhuset;3406;15;2018-08-22;2018-09-08;15;2.12;529;2018-09-07;0
2018;10262;Lundby bibliotek;7997;16;2018-08-22;2018-09-08;6;4.97;1066;2018-09-06;0
2018;10351;Toftaåsens äldrecenter;27;1;2018-08-22;2018-08-22;57;0.02;27;2018-08-22;0
2018;12482;Kulturhuset Kåken;9140;18;2018-08-22;2018-09-08;5;5.68;1160;2018-09-07;0
2018;13354;Geråshus Äldreboende;38;1;2018-09-03;2018-09-03;42;0.02;38;2018-09-03;0
2018;14231;Bagaregårdens äldreboende;32;1;2018-08-23;2018-08-23;47;0.02;32;2018-08-23;0
2018;14903;Nordstan;29002;19;2018-08-22;2018-09-09;1;18.02;2912;2018-09-07;2346
2018;15016;Sockenvägen 28 äldreboende;20;1;2018-09-05;2018-09-05;64;0.01;20;2018-09-05;0
2018;15017;Byalagsgatan 3 äldreboende;40;1;2018-09-06;2018-09-06;40;0.02;40;2018-09-06;0
2018;15018;Sehlstedtsgatan äldreboende;38;1;2018-09-05;2018-09-05;42;0.02;38;2018-09-05;0
2018;15623;Kaggeleds äldreboende;14;1;2018-08-22;2018-08-22;71;0.01;14;2018-08-22;0
2018;15626;Stiftelsen Otium;31;1;2018-08-23;2018-08-23;49;0.02;31;2018-08-23;0
2018;15627;Götaholms äldreboende;16;1;2018-08-24;2018-08-24;69;0.01;16;2018-08-24;0
2018;15628;Fjällbo park äldreboende;7;1;2018-08-24;2018-08-24;76;0.00;7;2018-08-24;0
2018;15633;Solängens äldreboende;14;1;2018-08-27;2018-08-27;71;0.01;14;2018-08-27;0
2018;15636;Solängsvägen 57 äldreboende;32;1;2018-08-27;2018-08-27;47;0.02;32;2018-08-27;0
2018;15638;Annedals äldreboende;34;1;2018-08-30;2018-08-30;45;0.02;34;2018-08-30;0
2018;15639;Bjöla äldreboende;22;1;2018-08-31;2018-08-31;62;0.01;22;2018-08-31;0
2018;15641;Sekelbo äldreboende;16;1;2018-09-03;2018-09-03;69;0.01;16;2018-09-03;0
2018;15827;Hammarhus äldreboende;6;1;2018-08-27;2018-08-27;77;0.00;6;2018-08-27;0
2018;15828;Ekparkens äldreboende;6;1;2018-08-28;2018-08-28;77;0.00;6;2018-08-28;0
2018;15890;Trulsegårdens bibliotek;469;5;2018-09-03;2018-09-07;28;0.29;186;2018-09-03;0
2018;15902;Vårvindens fritidsgård;117;5;2018-08-27;2018-08-31;30;0.07;29;2018-08-29;0
2018;15903;Familjecentral Lövgärdet;74;5;2018-08-27;2018-08-31;33;0.05;21;2018-08-31;0
2018;15904;Gårdstens centrum;176;5;2018-08-27;2018-08-31;29;0.11;51;2018-08-31;0
2018;15909;Interkulturella Folkhögskolan;66;5;2018-08-27;2018-08-31;34;0.04;37;2018-08-31;0
2018;15924;Friskväderstorget;87;5;2018-08-27;2018-08-31;32;0.05;21;2018-08-28;0
