ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2010;14800111;Gunnared, Lövgärdets Centrum;148002;Göteborg, Öster;Nya Lövgärdesskolan;Matsalen;Vaniljgatan 23;;;;E;6416438;1276379;57.816514;12.041608;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800112;Gunnared, Övre Lövgärdet;148002;Göteborg, Öster;Nya Lövgärdesskolan;Matsalen;Vaniljgatan 23;;;;E;6416438;1276379;57.816514;12.041608;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800113;Gunnared, Nedre Lövgärdet;148002;Göteborg, Öster;Tretjärnsskolan;Matsalen;Kummingatan 126;;;;E;6415913;1276466;57.811854;12.043559;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800121;Gunnared, Södra Rannebergen;148002;Göteborg, Öster;Rannebergens Centrumskola;Matsalen;Fjällblomman 7;;;;E;6414877;1277870;57.803270;12.068090;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800122;Gunnared, Norra Rannebergen;148002;Göteborg, Öster;Rannebergens Centrumskola;Matsalen;Fjällblomman 7;;;;E;6414877;1277870;57.803270;12.068090;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800131;Gunnared, Västra Gårdsten;148002;Göteborg, Öster;Långmosseskolan;Matsalen;Salviagatan 56;;;;E;6414654;1275586;57.800134;12.029968;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800132;Gunnared, Norra Gårdsten;148002;Göteborg, Öster;Gårdstensskolan;Matsalen;Muskotgatan 2 A;;;;E;6415175;1275611;57.804815;12.029899;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800133;Gunnared, Östra Gårdsten;148002;Göteborg, Öster;Gårdstensskolan;Matsalen;Muskotgatan 2 A;;;;E;6415175;1275611;57.804815;12.029899;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800134;Gunnared, Södra Gårdsten;148002;Göteborg, Öster;Långmosseskolan;;Salviagatan 56;;;;E;6414668;1275529;57.800231;12.028998;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
2010;14800141;Gunnared, Angereds Centrum;148002;Göteborg, Öster;Kulturhuset Blå stället;Lokal :Restaurangen;Angereds torg 13;;;;E;6414113;1276802;57.795894;12.050878;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2010-09-19;2010-09-19;08:00-20:00;;;;;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 368 0000;vallokal (2).xls
