ar;lokalid;lokal;datum;antal
2010;6868;Altplatsens äldreboende;2010-09-01;0
2010;6868;Altplatsens äldreboende;2010-09-02;0
2010;6868;Altplatsens äldreboende;2010-09-03;0
2010;6868;Altplatsens äldreboende;2010-09-04;0
2010;6868;Altplatsens äldreboende;2010-09-05;0
2010;6868;Altplatsens äldreboende;2010-09-06;0
2010;6868;Altplatsens äldreboende;2010-09-07;0
2010;6868;Altplatsens äldreboende;2010-09-08;0
2010;6868;Altplatsens äldreboende;2010-09-09;0
2010;6868;Altplatsens äldreboende;2010-09-10;0
2010;6868;Altplatsens äldreboende;2010-09-11;0
2010;6868;Altplatsens äldreboende;2010-09-12;42
2010;6868;Altplatsens äldreboende;2010-09-13;0
2010;6868;Altplatsens äldreboende;2010-09-14;0
2010;6868;Altplatsens äldreboende;2010-09-15;0
2010;6868;Altplatsens äldreboende;2010-09-16;0
2010;6868;Altplatsens äldreboende;2010-09-17;0
2010;6868;Altplatsens äldreboende;2010-09-18;0
2010;6868;Altplatsens äldreboende;2010-09-19;0
2010;6868;Altplatsens äldreboende;totalt;42
2010;6869;Annedals äldreboende;2010-09-01;0
2010;6869;Annedals äldreboende;2010-09-02;0
2010;6869;Annedals äldreboende;2010-09-03;0
2010;6869;Annedals äldreboende;2010-09-04;0
2010;6869;Annedals äldreboende;2010-09-05;0
2010;6869;Annedals äldreboende;2010-09-06;0
2010;6869;Annedals äldreboende;2010-09-07;0
2010;6869;Annedals äldreboende;2010-09-08;0
2010;6869;Annedals äldreboende;2010-09-09;0
2010;6869;Annedals äldreboende;2010-09-10;0
2010;6869;Annedals äldreboende;2010-09-11;0
2010;6869;Annedals äldreboende;2010-09-12;36
2010;6869;Annedals äldreboende;2010-09-13;0
2010;6869;Annedals äldreboende;2010-09-14;0
2010;6869;Annedals äldreboende;2010-09-15;0
2010;6869;Annedals äldreboende;2010-09-16;0
2010;6869;Annedals äldreboende;2010-09-17;0
2010;6869;Annedals äldreboende;2010-09-18;0
2010;6869;Annedals äldreboende;2010-09-19;0
2010;6869;Annedals äldreboende;totalt;36
2010;6870;Backadalens äldreboende;2010-09-01;0
2010;6870;Backadalens äldreboende;2010-09-02;0
2010;6870;Backadalens äldreboende;2010-09-03;0
2010;6870;Backadalens äldreboende;2010-09-04;0
2010;6870;Backadalens äldreboende;2010-09-05;0
2010;6870;Backadalens äldreboende;2010-09-06;0
2010;6870;Backadalens äldreboende;2010-09-07;0
2010;6870;Backadalens äldreboende;2010-09-08;0
2010;6870;Backadalens äldreboende;2010-09-09;0
2010;6870;Backadalens äldreboende;2010-09-10;0
2010;6870;Backadalens äldreboende;2010-09-11;0
2010;6870;Backadalens äldreboende;2010-09-12;27
2010;6870;Backadalens äldreboende;2010-09-13;0
2010;6870;Backadalens äldreboende;2010-09-14;0
2010;6870;Backadalens äldreboende;2010-09-15;0
2010;6870;Backadalens äldreboende;2010-09-16;0
2010;6870;Backadalens äldreboende;2010-09-17;0
2010;6870;Backadalens äldreboende;2010-09-18;0
2010;6870;Backadalens äldreboende;2010-09-19;0
2010;6870;Backadalens äldreboende;totalt;27
2010;6871;Backahus;2010-09-01;0
2010;6871;Backahus;2010-09-02;0
2010;6871;Backahus;2010-09-03;0
2010;6871;Backahus;2010-09-04;0
2010;6871;Backahus;2010-09-05;0
2010;6871;Backahus;2010-09-06;0
2010;6871;Backahus;2010-09-07;0
2010;6871;Backahus;2010-09-08;0
2010;6871;Backahus;2010-09-09;0
2010;6871;Backahus;2010-09-10;0
2010;6871;Backahus;2010-09-11;0
2010;6871;Backahus;2010-09-12;22
2010;6871;Backahus;2010-09-13;0
2010;6871;Backahus;2010-09-14;0
2010;6871;Backahus;2010-09-15;0
2010;6871;Backahus;2010-09-16;0
2010;6871;Backahus;2010-09-17;0
2010;6871;Backahus;2010-09-18;0
2010;6871;Backahus;2010-09-19;0
