ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2002;rf;14800101;Domkyrko 1;Göteborg 3;932;;;16;948;;69.2;14L_1480_14800101.html
2002;rf;14800102;Domkyrko 2;Göteborg 3;923;;;15;938;;77.5;14L_1480_14800102.html
2002;rf;14800103;Domkyrko 3;Göteborg 3;782;;;19;801;;81.5;14L_1480_14800103.html
2002;rf;14800104;Domkyrko 4;Göteborg 3;966;;;15;981;;75.6;14L_1480_14800104.html
2002;rf;14800105;Domkyrko 5;Göteborg 3;782;;;19;801;;72.0;14L_1480_14800105.html
2002;rf;14800106;Domkyrko 6;Göteborg 3;784;;;31;815;;71.9;14L_1480_14800106.html
2002;rf;14800107;Domkyrko 7;Göteborg 3;753;;;22;775;;72.0;14L_1480_14800107.html
2002;rf;14800108;Domkyrko 8;Göteborg 3;998;;;22;1020;;76.3;14L_1480_14800108.html
2002;rf;14800401;Nylöse 1;Göteborg 2;867;;;19;886;;57.1;14L_1480_14800401.html
2002;rf;14800402;Nylöse 2;Göteborg 2;803;;;27;830;;60.7;14L_1480_14800402.html
2002;rf;14800403;Nylöse 3;Göteborg 2;1067;;;9;1076;;85.9;14L_1480_14800403.html
2002;rf;14800404;Nylöse 4;Göteborg 2;781;;;17;798;;70.8;14L_1480_14800404.html
2002;rf;14800405;Nylöse 5;Göteborg 2;887;;;17;904;;62.9;14L_1480_14800405.html
2002;rf;14800406;Nylöse 6;Göteborg 2;1027;;;22;1049;;81.3;14L_1480_14800406.html
2002;rf;14800407;Nylöse 7;Göteborg 2;926;;;12;938;;83.0;14L_1480_14800407.html
2002;rf;14800501;Kortedala 1;Göteborg 2;1039;;;26;1065;;66.9;14L_1480_14800501.html
2002;rf;14800502;Kortedala 2;Göteborg 2;753;;;21;774;;60.2;14L_1480_14800502.html
2002;rf;14800503;Kortedala 3;Göteborg 2;885;;;11;896;;59.6;14L_1480_14800503.html
2002;rf;14800504;Kortedala 4;Göteborg 2;715;;;9;724;;61.5;14L_1480_14800504.html
