ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;kf;14805081;Västra Göteborg, Tynnered Södra;;609;10;1;11;620;750;82.67;slutresultat_1480K.xml
2018;kf;14805082;Västra Göteborg, Tynnered, Östra;;1084;18;1;19;1103;1463;75.39;slutresultat_1480K.xml
2018;kf;14805091;Askim-Frölunda-Högsbo, Kaverös, N;;1008;7;2;9;1017;1274;79.83;slutresultat_1480K.xml
2018;kf;14805092;Askim-Frölunda-Högsbo, Kaverös, S;;956;9;0;9;965;1189;81.16;slutresultat_1480K.xml
2018;kf;14805093;Askim-Frölunda-Högsbo, Kavås;;1066;14;1;15;1081;1265;85.45;slutresultat_1480K.xml
2018;kf;14805101;Askim-Frölunda-Högsbo, Flatås, S;;1009;7;2;9;1018;1241;82.03;slutresultat_1480K.xml
2018;kf;14805102;Askim-Frölunda-Högsbo, Flatås, V;;506;5;2;7;513;636;80.66;slutresultat_1480K.xml
2018;kf;14805103;Askim-Frölunda-Högsbo, Flatås, Ö;;896;15;2;17;913;1167;78.23;slutresultat_1480K.xml
2018;kf;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;;1063;14;5;19;1082;1422;76.09;slutresultat_1480K.xml
2018;kf;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;;1221;14;0;14;1235;1512;81.68;slutresultat_1480K.xml
2018;kf;14805121;Askim-Frölunda-Högsbo, Högsbo;;816;4;2;6;822;1079;76.18;slutresultat_1480K.xml
2018;kf;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;;891;11;1;12;903;1186;76.14;slutresultat_1480K.xml
2018;kf;14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;;903;8;1;9;912;1108;82.31;slutresultat_1480K.xml
2018;kf;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;;1178;12;0;12;1190;1443;82.47;slutresultat_1480K.xml
2018;kf;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;;964;3;1;4;968;1196;80.94;slutresultat_1480K.xml
2018;kf;14805131;Askim-Frölunda-Högsbo, Spinetten;;656;8;2;10;666;926;71.92;slutresultat_1480K.xml
2018;kf;14805132;Askim-Frölunda-Högsbo, Tofta;;951;10;1;11;962;1257;76.53;slutresultat_1480K.xml
2018;kf;14805141;Askim-Frölunda-Högsbo, Altplatsen;;734;6;1;7;741;913;81.16;slutresultat_1480K.xml
2018;kf;14805142;Askim-Frölunda-Högsbo, Ruddalen;;766;12;3;15;781;1018;76.72;slutresultat_1480K.xml
2018;kf;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;;1038;7;0;7;1045;1195;87.45;slutresultat_1480K.xml
2018;kf;14805152;Askim-Frölunda-Högsbo, Järnbrott, V;;822;5;0;5;827;1021;81.00;slutresultat_1480K.xml
2018;kf;14805153;Askim-Frölunda-Högsbo, Järnbrott, Ö;;868;3;3;6;874;1136;76.94;slutresultat_1480K.xml
2018;kf;14805171;Askim-Frölunda-Högsbo, Frölunda;;635;5;2;7;642;1031;62.27;slutresultat_1480K.xml
2018;kf;14805172;Askim-Frölunda-Högsbo, Frölunda Torg;;998;7;4;11;1009;1548;65.18;slutresultat_1480K.xml
2018;kf;14805173;Askim-Frölunda-Högsbo, Gånglåten;;817;7;2;9;826;1200;68.83;slutresultat_1480K.xml
2018;kf;14805174;Askim-Frölunda-Högsbo, Mandolingatan;;821;9;1;10;831;1147;72.45;slutresultat_1480K.xml
2018;kf;14805181;Västra Göteborg, Korsåsen;;1162;9;2;11;1173;1530;76.67;slutresultat_1480K.xml
2018;kf;14805182;Västra Göteborg, Ängås;;956;18;1;19;975;1444;67.52;slutresultat_1480K.xml
2018;kf;14805191;Västra Göteborg, Önnered, Västra;;1215;8;1;9;1224;1388;88.18;slutresultat_1480K.xml
2018;kf;14805192;Västra Göteborg, Önnered, Östra;;1347;6;0;6;1353;1504;89.96;slutresultat_1480K.xml
2018;kf;14805201;Västra Göteborg, Grevegården;;877;11;3;14;891;1357;65.66;slutresultat_1480K.xml
2018;kf;14805202;Västra Göteborg, Skattegården;;1073;11;5;16;1089;1604;67.89;slutresultat_1480K.xml
2018;kf;14805211;Västra Göteborg, Näset, Norra;;1187;6;0;6;1193;1308;91.21;slutresultat_1480K.xml
2018;kf;14805212;Västra Göteborg, Näset, Södra;;1014;6;0;6;1020;1120;91.07;slutresultat_1480K.xml
2018;kf;14805213;Västra Göteborg, Välen;;902;7;2;9;911;1018;89.49;slutresultat_1480K.xml
2018;kf;14805214;Västra Göteborg, Åkered;;989;2;1;3;992;1084;91.51;slutresultat_1480K.xml
2018;kf;14805221;Västra Göteborg, Opaltorget, Norra;;1041;8;2;10;1051;1370;76.72;slutresultat_1480K.xml
2018;kf;14805222;Västra Göteborg, Opaltorget, Södra;;792;10;0;10;802;1010;79.41;slutresultat_1480K.xml
