ar;val;landstings_id;landstings_namn;landstingsvalkrets_id;landstingsvalkrets_namn;kommun_id;kommun_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807012;Västra Hisingen, Svarte Mosse;46;46;9;7;116;107;66;63;216;192;164;77;118;109;26;15;50;52;11;6;1496
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807021;Västra Hisingen, Länsmansgården, C;35;36;6;4;135;114;19;27;179;180;60;49;106;119;27;11;89;108;17;11;1332
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807022;Västra Hisingen, Länsmansgården, N;40;27;6;2;97;73;16;15;190;201;37;42;144;138;12;16;102;135;13;9;1315
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807023;Västra Hisingen, Länsmansgården, S;18;36;7;3;62;71;31;51;142;153;69;68;83;93;10;3;55;95;6;9;1065
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807031;Västra Hisingen, Badvädersgatan m fl;18;22;2;4;101;75;20;13;142;95;26;26;113;134;15;12;185;247;15;21;1286
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807032;Västra Hisingen, Stackmolnsg. m fl;43;39;14;8;120;100;26;29;234;214;57;58;148;134;21;18;141;192;13;13;1622
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807041;Västra Hisingen, Andalen;75;66;2;2;49;43;0;0;393;440;9;15;210;209;12;7;139;131;4;5;1811
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807042;Västra Hisingen, Hjuvik;55;66;1;2;61;52;3;0;295;328;13;11;216;208;12;7;155;141;4;4;1634
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807043;Västra Hisingen, Hällsvik;56;60;0;0;56;34;1;0;257;284;13;10;219;203;7;7;142;124;5;2;1480
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807051;Västra Hisingen, Amhult-Arendal;30;26;1;0;62;66;7;2;280;282;15;10;101;94;2;2;131;203;2;9;1325
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807052;Västra Hisingen, Domarringen m fl;59;43;0;0;44;62;2;0;267;297;5;8;182;175;8;4;163;143;6;3;1471
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807053;Västra Hisingen, Nolered;35;51;0;1;55;51;1;2;232;227;9;12;167;172;6;6;187;261;3;6;1484
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807054;Västra Hisingen, Torslanda;73;57;0;0;78;72;0;2;342;366;6;7;193;190;3;5;176;227;9;11;1817
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807055;Västra Hisingen, Tumlehed;45;33;0;0;64;64;3;1;245;248;13;11;191;189;6;3;169;214;7;4;1510
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807061;Västra Hisingen, Björlanda;65;56;1;0;48;47;1;0;352;373;12;15;237;199;10;5;135;88;2;2;1648
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807062;Västra Hisingen, Kvisljungeby;33;34;0;0;42;37;2;2;266;292;6;8;162;138;5;3;85;63;3;2;1183
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807063;Västra Hisingen, Lilleby;60;60;0;0;58;37;1;1;340;375;11;12;193;174;8;4;93;69;5;7;1508
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807064;Västra Hisingen, Älvegården m fl;28;26;1;0;60;67;6;1;349;360;12;14;79;78;2;0;40;33;2;1;1159
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807081;Västra Hisingen, Biskopsgården, S;23;31;6;5;97;89;20;17;180;175;49;43;115;120;13;8;122;135;9;16;1273
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807082;Västra Hisingen, Treröset;55;53;11;7;141;177;26;28;241;226;88;79;129;133;16;20;50;61;10;11;1562
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807083;Västra Hisingen, Vårväderstorget;20;30;4;3;132;158;35;34;257;197;70;46;171;119;23;23;154;229;25;23;1753
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807084;Västra Hisingen, Väderlekstorget;11;22;1;3;133;122;27;15;203;160;72;34;61;61;8;4;46;39;3;2;1027
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807091;Västra Hisingen, Jättesten;38;44;1;4;102;108;24;28;263;233;36;26;167;175;17;19;231;254;23;21;1814
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807092;Västra Hisingen, Kärrmossen;52;52;7;4;137;114;47;25;383;310;94;34;254;156;33;10;134;113;9;4;1972
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14807093;Västra Hisingen, Svartedalen;38;46;2;1;150;167;15;14;224;207;29;37;114;147;9;19;118;168;12;14;1531
