ar;lokal;adress;antal_distrikt;koder;distriktnamn;latitud;longitud;antal_koordinater
2010;Amhultsgården;Amhults Byväg 10;1;14801625;Torslanda, Amhult-Arendal;57.711500;11.771499;1
2010;Arbetsförmedlingen Hisingen;Vågmästaregatan 1 A;2;14801814 14801825;Lundby, Västra Brämaregården | Lundby, Södra Kvillebäcken;57.720048;11.948632;1
2010;Arbetsförmedlingen Hisingen;Vågmästaregatan 1A;1;14801816;Lundby, Lundbyvassen;57.720048;11.948632;1
2010;Askimsskolan;Askims Backaväg;2;14801314 14801315;Askim, Norra Sisjön | Askim, Södra Sisjön;57.636352;11.939409;1
2010;Assaredsskolan;Decenniumgatan 16;2;14800332 14800341;Kortedala, Västra Kortedala | Kortedala, Adventsparken;57.756085;12.025053;1
2010;Backa Folkets Hus;Granåsgatan 2;1;14802011;Backa, Tingstad;57.734831;11.974294;1
2010;Backa Scoutkår;Haletorpsvägen 14;1;14802022;Backa, Backa Röd;57.739967;11.972070;1
2010;Backaskolan;Backa Kyrkogata;2;14802021 14802024;Backa, Södra Backa | Backa, Bällskär;57.740216;11.977909;1
2010;Backatorpsskolan;Båtsman Kapers gata 3;1;14802035;Backa, Åketorp;57.760972;11.969725;1
2010;Backegårdsskolan;Universumsgatan 3;1;14800421;Bergsjön, Södra Bergsjön;57.750439;12.067013;1
2010;Bagaregårdens kulturhus;Härlandavägen 8;1;14800621;Örgryte, Bagaregården;57.716841;12.008041;1
2010;Bagaregårdens äldreboende;Landerigatan 17;2;14800622 14800632;Örgryte, Ånäs | Örgryte, Redbergslid;57.722351;12.011679;1
2010;Bergsgårdsskolan;Skolspåret 27;3;14800261 14800262 14800263;Lärjedalen, Södra Hjällbo | Lärjedalen, Skolspåret | Lärjedalen, Norra Hjällbo;57.770576;12.016032;2
2010;Bergsjöskolan, Matsalen;Ingång från skolgården;1;14800424;Bergsjön, Komettorget;57.755892;12.068147;1
2010;Bergsjöskolan, Matsalen;Rymdtorget 4;1;14800423;Bergsjön, Rymdtorget;57.755892;12.068147;1
2010;Bergums Skola;Olofstorps Skolväg 7 A;1;14800252;Lärjedalen, Olofstorp;57.805500;12.167842;1
2010;Bergums Skola;Olofstorps Skolväg 9 D-F;1;14800251;Lärjedalen, Björsared-Knipared;57.805491;12.167826;1
2010;Biskopsgårdens bibliotek,;Vårväderstorget 3;1;14801744;Biskopsgården, Vårväderstorget;57.712020;11.892122;1
2010;Bjurslättsskolan;Wieselgrensgatan 11;2;14801821 14801824;Lundby, Flunsås | Lundby, Wieselgrensplatsen;57.724111;11.935096;1
2010;Björkåsskolan;Jordledningsgatan 3;2;14801211 14801231;Frölunda, Tofta | Frölunda, Västra Järnbrott;57.655219;11.929771;1
2010;Bläseboskolan;Bollplansgatan;1;14800264;Lärjedalen, Bläsebo;57.767820;12.027055;1
2010;Botanhuset;Carl Skottbergsgatan 22 B;1;14800821;Linnéstaden, Änggården;57.682057;11.950359;1
2010;Brudbergsskolan;Heidenstams gata 2;2;14802023 14802034;Backa, Norra Backa | Backa, Skälltorp;57.752227;11.979512;1
2010;Brunnsboskolan;Klassikergatan 1;2;14802012 14802013;Backa, Brunnsbo | Backa, Aröd;57.730841;11.970449;1
2010;Bräckeskolan;Tönsbergsgatan 1;4;14801851 14801852 14801856 14801857;Lundby, Västra Eriksberg | Lundby, Södra Bräcke | Lundby, Södra Lundby | Lundby, Östra Eriksberg;57.703759;11.905014;2
2010;Brämaregårdens församl.hem;Hisingsgatan 26;1;14801815;Lundby, Östra Brämaregården;57.718464;11.944703;1
2010;Brännö skola;Jydeklovan 2;1;14801513;Södra Skärgården, Brännö-Asperö;57.640327;11.779846;1
2010;Burgårdens gymnasium;Skånegatan/Valhallagatan;4;14800716 14800717 14800791 14800792;Centrum, Kristinehöjd | Centrum, Getebergsäng | Centrum, Hedås-Gårda | Centrum, Södra Heden;57.700189;11.986319;2
2010;Buråsskolan;Framnäsgatan 25;5;14800711 14800712 14800713 14800714 14800715;Centrum, Burås | Centrum, Mossen | Centrum, Framnäs | Centrum, Olofshöjd | Centrum, Krokslätt;57.683700;11.993274;2
2010;Carl Johans församlingshem;Carl Johans Kyrkoplan 1;1;14800932;Majorna, Majorna;57.696186;11.922217;1
2010;Dagcentralen Gullvivan;Doktor Liborius gata 24;1;14800746;Centrum, Doktor Forselius gata m fl;57.681870;11.977930;1
2010;Dalaskolan;Grimmeredsvägen 10;2;14801141 14801142;Älvsborg, Grimmered | Älvsborg, Ekebäck;57.678773;11.901080;1
2010;Dalheimers hus;Slottskogsgatan 12;2;14800916 14800931;Majorna, Klippan | Majorna, Slottsskogsgatan m fl;57.689616;11.918709;1
2010;Donsö skola;Grådalsvägen 20;1;14801511;Södra Skärgården, Donsö-Vrångö;57.597469;11.802136;1
2010;Eriksboskolan;Eriksbo Östergärde 45;1;14800271;Lärjedalen, Eriksbo;57.770252;12.043552;1
2010;Fd Björkhöjdsskolan;Trollbärsvägen 18 B;3;14801411 14801421 14801431;Tynnered, Bratthammar | Tynnered, Beryllgatan-Guldringen | Tynnered, Tynnered;57.651730;11.891550;2
2010;Fiskebäcksskolan;Norra Fiskebäcksvägen 296;2;14801111 14801112;Älvsborg, Södra Fiskebäck | Älvsborg, Norra Fiskebäck;57.653492;11.866998;1
2010;Fjällboskolan;Sysslomansgatan;1;14800323;Kortedala, Fjällbo;57.739727;12.061247;1
2010;Fjällskolan;Fjällgatan 40;2;14800811 14800814;Linnéstaden, Övre Masthugget | Linnéstaden, Nedre Masthugget;57.695034;11.939143;1
2010;Flatåsskolan;Nymilsgatan 33;2;14801021 14801022;Högsbo, Östra Flatås | Högsbo, Västra Flatås;57.664001;11.926300;1
