val;kod_2014;namn_2014;indelning;kod_2010;namn_2010;matchning
rd;14804163;Lundby, Eriksberg, Östra;Modifierad;;;ingen FGVAL
rd;14804164;Lundby, Pölsebo-Bratterås;Modifierad;;;ingen FGVAL
rd;14804165;Lundby, Sannegården;Oförändrad;14801858;Lundby, Sannegården;exakt
rd;14804171;Lundby, Lindholmen;Modifierad;;;ingen FGVAL
rd;14804172;Lundby, Lundbyvassen;Modifierad;;;ingen FGVAL
rd;14805011;Västra Göteborg, Björnekulla;Oförändrad;14801114;Älvsborg, Björnekulla;exakt
rd;14805012;Västra Göteborg, Fiskebäck, Norra;Oförändrad;14801112;Älvsborg, Norra Fiskebäck;exakt
rd;14805013;Västra Göteborg, Fiskebäck, Södra;Oförändrad;14801111;Älvsborg, Södra Fiskebäck;exakt
rd;14805014;Västra Göteborg, Påvelund;Oförändrad;14801113;Älvsborg, Påvelund;exakt
rd;14805021;Västra Göteborg, Långedrag;Oförändrad;14801121;Älvsborg, Långedrag;exakt
rd;14805031;Västra Göteborg, Hagen;Modifierad;;;ingen FGVAL
rd;14805032;Västra Göteborg, Nya Varvet;Modifierad;;;ingen FGVAL
rd;14805033;Västra Göteborg, Tångudden;Oförändrad;14801131;Älvsborg, Tångudden;exakt
rd;14805041;Västra Göteborg, Ekebäck;Oförändrad;14801142;Älvsborg, Ekebäck;exakt
rd;14805042;Västra Göteborg, Grimmered;Oförändrad;14801141;Älvsborg, Grimmered;exakt
rd;14805051;Västra Göteborg, Brännö-Asperö;Oförändrad;14801513;Södra Skärgården, Brännö-Asperö;exakt
rd;14805052;Västra Göteborg, Donsö-Vrångö;Oförändrad;14801511;Södra Skärgården, Donsö-Vrångö;exakt
rd;14805053;Västra Göteborg, Styrsö-Köpstadsö;Oförändrad;14801512;Södra Skärgården, Styrsö-Köpstadsö;exakt
rd;14805061;Västra Göteborg, Bratthammar;Oförändrad;14801411;Tynnered, Bratthammar;exakt
rd;14805071;Västra Göteborg, Beryllg.-Guldringen;Oförändrad;14801421;Tynnered, Beryllgatan-Guldringen;exakt
rd;14805081;Västra Göteborg, Tynnered;Oförändrad;14801431;Tynnered, Tynnered;exakt
