ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;rf;riket;M;M;1241717;19.28;6439523;6544316;7814197
2018;rf;riket;C;C;539075;8.37;6439523;6544316;7814197
2018;rf;riket;L;L;403781;6.27;6439523;6544316;7814197
2018;rf;riket;KD;KD;457679;7.11;6439523;6544316;7814197
2018;rf;riket;S;S;1850724;28.74;6439523;6544316;7814197
2018;rf;riket;V;V;555043;8.62;6439523;6544316;7814197
2018;rf;riket;MP;MP;265522;4.12;6439523;6544316;7814197
2018;rf;riket;SD;SD;828220;12.86;6439523;6544316;7814197
2018;rf;riket;FI;FI;42000;0.65;6439523;6544316;7814197
2018;rf;riket;Alt;ALT;258;0.00;6439523;6544316;7814197
2018;rf;riket;ArP;ARP;1483;0.02;6439523;6544316;7814197
2018;rf;riket;BA;BA;20356;0.32;6439523;6544316;7814197
2018;rf;riket;B-ALT;B-ALT;208;0.00;6439523;6544316;7814197
2018;rf;riket;DEM;D;37163;0.58;6439523;6544316;7814197
2018;rf;riket;dsp;DSP;13170;0.20;6439523;6544316;7814197
2018;rf;riket;EMP;EMP;151;0.00;6439523;6544316;7814197
2018;rf;riket;ENH;ENH;629;0.01;6439523;6544316;7814197
2018;rf;riket;FHS;FHS;1;0.00;6439523;6544316;7814197
2018;rf;riket;FSTY;FSTY;3;0.00;6439523;6544316;7814197
2018;rf;riket;INI;INI;6;0.00;6439523;6544316;7814197
2018;rf;riket;Kbabo;KBABO;1010;0.02;6439523;6544316;7814197
2018;rf;riket;KrVP;KRVP;3052;0.05;6439523;6544316;7814197
2018;rf;riket;LPo;LPO;5398;0.08;6439523;6544316;7814197
2018;rf;riket;MED;MED;14426;0.22;6439523;6544316;7814197
2018;rf;riket;MPPS;MPPS;236;0.00;6439523;6544316;7814197
2018;rf;riket;NMR;NMR;973;0.02;6439523;6544316;7814197
2018;rf;riket;NORRP;NORRP;78;0.00;6439523;6544316;7814197
2018;rf;riket;NYREF;NYREF;22;0.00;6439523;6544316;7814197
2018;rf;riket;PP;PP;1534;0.02;6439523;6544316;7814197
2018;rf;riket;Rf;RF;2013;0.03;6439523;6544316;7814197
2018;rf;riket;RNP;RNP;5;0.00;6439523;6544316;7814197
2018;rf;riket;RRP;RRP;157;0.00;6439523;6544316;7814197
2018;rf;riket;RS;RS;1465;0.02;6439523;6544316;7814197
2018;rf;riket;SJPG;SJPG;13176;0.20;6439523;6544316;7814197
2018;rf;riket;SJPJ;SJPJ;1576;0.02;6439523;6544316;7814197
2018;rf;riket;SJV;SJV;57835;0.90;6439523;6544316;7814197
2018;rf;riket;SJVP;SJVP;14098;0.22;6439523;6544316;7814197
2018;rf;riket;SjvV;SJVV;14347;0.22;6439523;6544316;7814197
2018;rf;riket;SKP;SKP;610;0.01;6439523;6544316;7814197
2018;rf;riket;SKÅ;SKÅ;544;0.01;6439523;6544316;7814197
2018;rf;riket;SoL;SOL;283;0.00;6439523;6544316;7814197
2018;rf;riket;SPVG;SPVG;4052;0.06;6439523;6544316;7814197
2018;rf;riket;TRP;TRP;1124;0.02;6439523;6544316;7814197
2018;rf;riket;ViS;VIS;454;0.01;6439523;6544316;7814197
2018;rf;riket;VåfP;VÅFP;33831;0.53;6439523;6544316;7814197
2018;rf;riket;VÅNO;VÅNO;32;0.00;6439523;6544316;7814197
2018;rf;riket;ÖrP;ÖRP;2461;0.04;6439523;6544316;7814197
2018;rf;riket;ÖVR;ÖVR;7542;0.12;6439523;6544316;7814197
2018;rf;vgregion;M;M;200477;18.55;1080529;1101512;1317413
2018;rf;vgregion;C;C;82348;7.62;1080529;1101512;1317413
2018;rf;vgregion;L;L;74332;6.88;1080529;1101512;1317413
2018;rf;vgregion;KD;KD;81606;7.55;1080529;1101512;1317413
