ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;rd;14800000;Uppsamlingsdistrikt;7;87;25;2018_R_per_valdistrikt.xlsx
2018;rd;14801011;Majorna-Linné, Gröna Vallen;0;12;2;2018_R_per_valdistrikt.xlsx
2018;rd;14801012;Majorna-Linné, Klippan;1;6;2;2018_R_per_valdistrikt.xlsx
2018;rd;14801013;Majorna-Linné, Kungsladugård, Västra;1;3;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801014;Majorna-Linné, Kungsladugård, Östra;1;7;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801015;Majorna-Linné, Mariaplan;2;11;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801016;Majorna-Linné, Skytteskogen;0;0;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801017;Majorna-Linné, Svalebo;0;7;2;2018_R_per_valdistrikt.xlsx
2018;rd;14801021;Majorna-Linné, Sandarne;0;9;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801022;Majorna-Linné, Silverkällan;0;9;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801031;Majorna-Linné, Chapmans Torg;0;0;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801032;Majorna-Linné, Godhem;0;9;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801033;Majorna-Linné, Gråberget, Västra;0;7;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801034;Majorna-Linné, Gråberget, Östra;1;8;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801035;Majorna-Linné, Hängmattan;0;8;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801036;Majorna-Linné, Majorna;1;10;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801037;Majorna-Linné, Marieberg;4;7;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801038;Majorna-Linné, Slottsskogsgatan m fl;0;12;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801041;Majorna-Linné, Djurgårdsgatan m fl;4;8;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801042;Majorna-Linné, Gatenhielmska;1;7;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801043;Majorna-Linné, Karl Johans torg;0;7;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801044;Majorna-Linné, Klareborgsgatan m fl;0;6;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801045;Majorna-Linné, Söderlingska ängen;0;12;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801051;Majorna-Linné, Masthugget, Nedre;0;7;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801052;Majorna-Linné, Masthugget, Övre;0;7;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801053;Majorna-Linné, Masthuggstorget;1;8;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801054;Majorna-Linné, Oscar Fredrik;0;10;1;2018_R_per_valdistrikt.xlsx
2018;rd;14801055;Majorna-Linné, Sjömansgatan m fl;0;6;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801056;Majorna-Linné, Slottsskogen;0;6;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801057;Majorna-Linné, Stigberget;1;11;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801058;Majorna-Linné, Vegastaden;0;5;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801061;Majorna-Linné, Änggården;1;4;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801071;Majorna-Linné, Haga Västra;0;10;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801072;Majorna-Linné, Haga Östra;2;4;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801073;Majorna-Linné, Skansberget;0;6;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801081;Majorna-Linné, Annedal, Norra;0;0;0;2018_R_per_valdistrikt.xlsx
2018;rd;14801082;Majorna-Linné, Annedal, Södra;1;4;2;2018_R_per_valdistrikt.xlsx
