kod_2018;namn_2018;kod_2014_troligast;namn_2014;typ;belagg;kalla
14800000;Uppsamlingsdistrikt;14800001;Uppsamlingsdistrikt;sammanslagen;upp-mappning-2014-2018.skv: 14800001, 14800002, 14800003, 14800004 till R148000 med 100 procent vardera, upp-indelning-2018.skv = S (summerat). De fyra uppsamlingsdistrikten, ett per kommunvalkrets, blev ett för hela kommunen;skv upp-mappning
14801011;Majorna-Linné, Gröna Vallen;14801013;Majorna-Linné, Mariaplan;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 2 källa eller källor: 14801013 46.6 procent av 2014-distriktet, 14801011 44.2 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801013 (Majorna-Linné, Mariaplan) täcker 55.9 procent av det nya distriktet, 51.9 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801012;Majorna-Linné, Klippan;14801011;Majorna-Linné, Klippan;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 2 källa eller källor: 14801011 55.8 procent av 2014-distriktet, 14801014 13.1 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801011 (Majorna-Linné, Klippan) täcker 81.2 procent av det nya distriktet, 88.9 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801013;Majorna-Linné, Kungsladugård, Västra;14801015;Majorna-Linné, Skytteskogen;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 3 källa eller källor: 14801013 31.6 procent av 2014-distriktet, 14801015 29.5 procent av 2014-distriktet, 14801012 21.7 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801015 (Majorna-Linné, Skytteskogen) täcker 54.6 procent av det nya distriktet, 14.8 procent av det gamla ligger där, 3 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801014;Majorna-Linné, Kungsladugård, Östra;14801012;Majorna-Linné, Kungsladugård;delad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 1 källa eller källor: 14801012 78.3 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801012 (Majorna-Linné, Kungsladugård) täcker 100.0 procent av det nya distriktet, 87.9 procent av det gamla ligger där, 1 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801015;Majorna-Linné, Mariaplan;14801014;Majorna-Linné, Silverkällan;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 2 källa eller källor: 14801014 47.1 procent av 2014-distriktet, 14801013 21.8 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801014 (Majorna-Linné, Silverkällan) täcker 68.9 procent av det nya distriktet, 29.2 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801016;Majorna-Linné, Skytteskogen;14801015;Majorna-Linné, Skytteskogen;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 2 källa eller källor: 14801015 70.5 procent av 2014-distriktet, 14801016 15.4 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801015 (Majorna-Linné, Skytteskogen) täcker 88.6 procent av det nya distriktet, 85.2 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801017;Majorna-Linné, Svalebo;14801016;Majorna-Linné, Svalebo;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 3 källa eller källor: 14801016 84.6 procent av 2014-distriktet, 14801021 5.8 procent av 2014-distriktet, 14804172 2.3 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801016 (Majorna-Linné, Svalebo) täcker 67.3 procent av det nya distriktet, 85.2 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801021;Majorna-Linné, Sandarne;14801021;Majorna-Linné, Sandarne;delad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 1 källa eller källor: 14801021 65.7 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801021 (Majorna-Linné, Sandarne) täcker 100.0 procent av det nya distriktet, 86.7 procent av det gamla ligger där, 1 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
14801022;Majorna-Linné, Silverkällan;14801021;Majorna-Linné, Sandarne;omritad;vd-indelning-2018.skv = M (modifierat). vd-mappning-2014-2018.skv ger 2 källa eller källor: 14801014 39.8 procent av 2014-distriktet, 14801021 28.5 procent av 2014-distriktet. geometri geo_overlap_2014_2018.csv: 14801021 (Majorna-Linné, Sandarne) täcker 62.5 procent av det nya distriktet, 5.0 procent av det gamla ligger där, 2 källor över 5 procent;vd-mappning-2014-2018.skv + vd-indelning-2018.skv
