ar;val;niva;kod;parti_kalla;parti;mandat;varav_utjamning;mandat_2002;roster;andel;mandat_totalt;kalla_fil
2006;rd;Jönköpings län;0606;M;M;3;0;2;45302;22.07;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;C;C;1;0;1;17290;8.42;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;FP;L;1;1;1;10982;5.35;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;KD;KD;2;0;3;32946;16.05;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;S;S;5;0;5;72757;35.44;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;V;V;1;1;1;8734;4.25;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;MP;MP;0;0;0;7070;3.44;11;slutresultat_00R.xml
2006;rd;Jönköpings län;0606;ÖVR;ÖVR;0;0;0;10219;4.98;11;slutresultat_00R.xml
2006;rd;Kalmar län;0808;M;M;2;0;1;31430;21.30;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;C;C;1;0;1;16306;11.05;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;FP;L;0;0;1;7680;5.21;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;KD;KD;1;0;1;10513;7.13;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;S;S;4;0;4;61007;41.35;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;V;V;0;0;1;7426;5.03;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;MP;MP;0;0;0;5687;3.85;8;slutresultat_00R.xml
2006;rd;Kalmar län;0808;ÖVR;ÖVR;0;0;0;7482;5.07;8;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;M;M;2;0;1;27454;24.66;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;C;C;1;0;1;12562;11.28;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;FP;L;0;0;1;6381;5.73;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;KD;KD;1;1;1;8824;7.93;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;S;S;3;0;3;40056;35.98;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;V;V;0;0;0;5481;4.92;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;MP;MP;0;0;0;4695;4.22;6;slutresultat_00R.xml
2006;rd;Kronobergs län;0707;ÖVR;ÖVR;0;0;0;5874;5.28;6;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;M;M;1;0;1;20926;13.36;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;C;C;1;0;0;10065;6.43;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;FP;L;0;0;1;6714;4.29;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;KD;KD;0;0;1;6589;4.21;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;S;S;6;0;6;80605;51.48;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;V;V;1;0;1;16494;10.53;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;MP;MP;0;0;1;6350;4.06;9;slutresultat_00R.xml
2006;rd;Norrbottens län;2529;ÖVR;ÖVR;0;0;0;8833;5.64;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;M;M;3;0;2;44232;28.48;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;C;C;0;0;0;4475;2.88;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;FP;L;1;0;1;13769;8.87;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;KD;KD;0;0;0;5373;3.46;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;S;S;4;0;5;54732;35.24;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;V;V;1;1;1;8468;5.45;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;MP;MP;1;0;0;9425;6.07;9;slutresultat_00R.xml
2006;rd;Malmö kommun;1211;ÖVR;ÖVR;0;0;0;14828;9.55;9;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;M;M;3;0;2;48946;27.40;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;C;C;1;0;1;14836;8.30;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;FP;L;1;0;1;12673;7.09;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;KD;KD;1;0;1;11993;6.71;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;S;S;4;0;5;62794;35.15;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;V;V;0;0;1;6116;3.42;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;MP;MP;0;0;0;6051;3.39;10;slutresultat_00R.xml
2006;rd;Skåne läns norra och östra;1214;ÖVR;ÖVR;0;0;0;15255;8.54;10;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;M;M;5;0;3;69959;33.10;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;C;C;1;0;1;12751;6.03;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;FP;L;1;0;2;19422;9.19;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;KD;KD;1;1;1;10125;4.79;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;S;S;4;0;5;63975;30.27;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;V;V;0;0;1;7297;3.45;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;MP;MP;1;1;1;10081;4.77;11;slutresultat_00R.xml
2006;rd;Skåne läns södra;1213;ÖVR;ÖVR;0;0;0;17724;8.39;11;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;M;M;4;0;2;46393;28.65;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;C;C;1;1;0;9184;5.67;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;FP;L;1;0;2;13757;8.50;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;KD;KD;0;0;1;7869;4.86;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;S;S;4;0;4;56580;34.94;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;V;V;0;0;1;5409;3.34;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;MP;MP;0;0;0;5961;3.68;9;slutresultat_00R.xml
2006;rd;Skåne läns västra;1212;ÖVR;ÖVR;0;0;0;16778;10.36;9;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;M;M;11;1;7;169211;35.07;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;C;C;2;0;0;27257;5.65;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;FP;L;3;0;6;48476;10.05;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;KD;KD;1;0;2;24327;5.04;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;S;S;6;0;9;111765;23.17;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;V;V;2;0;3;35616;7.38;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;MP;MP;3;0;2;45030;9.33;27;slutresultat_00R.xml
2006;rd;Stockholms kommun;0101;ÖVR;ÖVR;0;0;0;20773;4.31;27;slutresultat_00R.xml
2006;rd;Stockholms län;0102;M;M;17;3;9;252100;38.36;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;C;C;3;1;1;34998;5.33;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;FP;L;4;1;8;60178;9.16;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;KD;KD;3;0;3;43792;6.66;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;S;S;10;0;13;171901;26.16;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;V;V;2;0;3;31161;4.74;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;MP;MP;3;1;2;36365;5.53;36;slutresultat_00R.xml
2006;rd;Stockholms län;0102;ÖVR;ÖVR;0;0;0;26729;4.07;36;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;M;M;2;0;1;37350;23.38;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;C;C;1;0;1;10942;6.85;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;FP;L;1;0;1;10843;6.79;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;KD;KD;1;1;1;9950;6.23;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;S;S;5;0;5;67458;42.23;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;V;V;1;1;1;7830;4.90;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;MP;MP;1;1;1;8218;5.14;9;slutresultat_00R.xml
2006;rd;Södermanlands län;0404;ÖVR;ÖVR;0;0;0;7159;4.48;9;slutresultat_00R.xml
2006;rd;Uppsala län;0303;M;M;3;0;2;52016;26.49;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;C;C;1;0;1;19340;9.85;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;FP;L;1;0;2;17929;9.13;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;KD;KD;1;0;1;12976;6.61;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;S;S;4;0;4;60674;30.89;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;V;V;1;1;1;11240;5.72;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;MP;MP;1;0;1;12312;6.27;11;slutresultat_00R.xml
2006;rd;Uppsala län;0303;ÖVR;ÖVR;0;0;0;9902;5.04;11;slutresultat_00R.xml
2006;rd;Värmlands län;1721;M;M;2;0;1;35201;20.90;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;C;C;1;0;1;16808;9.98;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;FP;L;1;0;1;10061;5.97;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;KD;KD;1;1;1;9823;5.83;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;S;S;5;0;5;70754;42.01;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;V;V;1;0;1;10810;6.42;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;MP;MP;0;0;1;6519;3.87;10;slutresultat_00R.xml
2006;rd;Värmlands län;1721;ÖVR;ÖVR;0;0;0;8450;5.02;10;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;M;M;1;0;1;22213;13.67;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;C;C;1;0;1;19154;11.79;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;FP;L;1;1;1;10310;6.35;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;KD;KD;1;0;1;10497;6.46;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;S;S;5;0;5;71260;43.86;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;V;V;1;0;1;13599;8.37;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;MP;MP;1;1;1;9544;5.87;9;slutresultat_00R.xml
2006;rd;Västerbottens län;2428;ÖVR;ÖVR;0;0;0;5913;3.64;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;M;M;2;0;1;26319;17.16;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;C;C;1;0;1;16197;10.56;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;FP;L;1;1;1;8288;5.40;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;KD;KD;1;1;1;8674;5.65;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;S;S;5;0;5;70515;45.96;9;slutresultat_00R.xml
