ar_fg;val;kod_2010;namn_2010;parti;roster_2010;roster_fgval
2006;kf;14800711;Centrum, Burås;M;347;354
2006;kf;14800711;Centrum, Burås;C;48;47
2006;kf;14800711;Centrum, Burås;L;125;164
2006;kf;14800711;Centrum, Burås;KD;63;69
2006;kf;14800711;Centrum, Burås;S;251;324
2006;kf;14800711;Centrum, Burås;V;71;56
2006;kf;14800711;Centrum, Burås;MP;149;93
2006;kf;14800711;Centrum, Burås;VÄGV;59;
2006;kf;14800711;Centrum, Burås;SD;41;20
2006;kf;14800711;Centrum, Burås;FI;14;15
2006;kf;14800711;Centrum, Burås;PP;6;
2006;kf;14800711;Centrum, Burås;K;4;8
2006;kf;14800711;Centrum, Burås;RS;4;
2006;kf;14800711;Centrum, Burås;SOC.P;3;7
2006;kf;14800711;Centrum, Burås;ND;0;1
2006;kf;14800711;Centrum, Burås;SPI;0;1
2006;kf;14800711;Centrum, Burås;HANDSKRIVNA;4;2
2006;kf;14800711;Centrum, Burås;BLANK;10;19
2006;kf;14800711;Centrum, Burås;OG;1;
2006;kf;14800742;Centrum, Centrala Guldheden;M;189;191
2006;kf;14800742;Centrum, Centrala Guldheden;C;18;35
2006;kf;14800742;Centrum, Centrala Guldheden;L;80;91
2006;kf;14800742;Centrum, Centrala Guldheden;KD;23;44
2006;kf;14800742;Centrum, Centrala Guldheden;S;252;286
2006;kf;14800742;Centrum, Centrala Guldheden;V;109;69
2006;kf;14800742;Centrum, Centrala Guldheden;MP;138;107
2006;kf;14800742;Centrum, Centrala Guldheden;VÄGV;47;
2006;kf;14800742;Centrum, Centrala Guldheden;SD;43;28
2006;kf;14800742;Centrum, Centrala Guldheden;FI;21;17
2006;kf;14800742;Centrum, Centrala Guldheden;K;9;5
2006;kf;14800742;Centrum, Centrala Guldheden;PP;5;
2006;kf;14800742;Centrum, Centrala Guldheden;1016;1;
2006;kf;14800742;Centrum, Centrala Guldheden;SOC.P;1;1
2006;kf;14800742;Centrum, Centrala Guldheden;0450;0;1
2006;kf;14800742;Centrum, Centrala Guldheden;SPI;0;4
2006;kf;14800742;Centrum, Centrala Guldheden;HANDSKRIVNA;2;4
2006;kf;14800742;Centrum, Centrala Guldheden;BLANK;17;16
2006;kf;14800742;Centrum, Centrala Guldheden;OG;0;
