ar;lokalid;lokal;datum;antal
2014;6868;Altplatsens äldreboende;2014-08-27;0
2014;6868;Altplatsens äldreboende;2014-08-28;0
2014;6868;Altplatsens äldreboende;2014-08-29;0
2014;6868;Altplatsens äldreboende;2014-08-30;0
2014;6868;Altplatsens äldreboende;2014-08-31;0
2014;6868;Altplatsens äldreboende;2014-09-01;0
2014;6868;Altplatsens äldreboende;2014-09-02;47
2014;6868;Altplatsens äldreboende;2014-09-03;0
2014;6868;Altplatsens äldreboende;2014-09-04;0
2014;6868;Altplatsens äldreboende;2014-09-05;0
2014;6868;Altplatsens äldreboende;2014-09-06;0
2014;6868;Altplatsens äldreboende;2014-09-07;0
2014;6868;Altplatsens äldreboende;2014-09-08;0
2014;6868;Altplatsens äldreboende;2014-09-09;0
2014;6868;Altplatsens äldreboende;2014-09-10;0
2014;6868;Altplatsens äldreboende;2014-09-11;0
2014;6868;Altplatsens äldreboende;2014-09-12;0
2014;6868;Altplatsens äldreboende;2014-09-13;0
2014;6868;Altplatsens äldreboende;2014-09-14;0
2014;6868;Altplatsens äldreboende;totalt;47
2014;6871;Backahus;2014-08-27;0
2014;6871;Backahus;2014-08-28;0
2014;6871;Backahus;2014-08-29;0
2014;6871;Backahus;2014-08-30;0
2014;6871;Backahus;2014-08-31;0
2014;6871;Backahus;2014-09-01;0
2014;6871;Backahus;2014-09-02;18
2014;6871;Backahus;2014-09-03;0
2014;6871;Backahus;2014-09-04;0
2014;6871;Backahus;2014-09-05;0
2014;6871;Backahus;2014-09-06;0
2014;6871;Backahus;2014-09-07;0
2014;6871;Backahus;2014-09-08;0
2014;6871;Backahus;2014-09-09;0
2014;6871;Backahus;2014-09-10;0
2014;6871;Backahus;2014-09-11;0
2014;6871;Backahus;2014-09-12;0
2014;6871;Backahus;2014-09-13;0
2014;6871;Backahus;2014-09-14;0
2014;6871;Backahus;totalt;18
2014;6873;Bergsjöhöjds boende;2014-08-27;0
2014;6873;Bergsjöhöjds boende;2014-08-28;0
2014;6873;Bergsjöhöjds boende;2014-08-29;0
2014;6873;Bergsjöhöjds boende;2014-08-30;0
2014;6873;Bergsjöhöjds boende;2014-08-31;0
2014;6873;Bergsjöhöjds boende;2014-09-01;0
2014;6873;Bergsjöhöjds boende;2014-09-02;0
2014;6873;Bergsjöhöjds boende;2014-09-03;0
2014;6873;Bergsjöhöjds boende;2014-09-04;0
2014;6873;Bergsjöhöjds boende;2014-09-05;0
2014;6873;Bergsjöhöjds boende;2014-09-06;0
2014;6873;Bergsjöhöjds boende;2014-09-07;0
2014;6873;Bergsjöhöjds boende;2014-09-08;0
2014;6873;Bergsjöhöjds boende;2014-09-09;31
2014;6873;Bergsjöhöjds boende;2014-09-10;0
2014;6873;Bergsjöhöjds boende;2014-09-11;0
2014;6873;Bergsjöhöjds boende;2014-09-12;0
2014;6873;Bergsjöhöjds boende;2014-09-13;0
2014;6873;Bergsjöhöjds boende;2014-09-14;0
2014;6873;Bergsjöhöjds boende;totalt;31
2014;6876;Björkekärrs hus;2014-08-27;0
2014;6876;Björkekärrs hus;2014-08-28;0
2014;6876;Björkekärrs hus;2014-08-29;32
2014;6876;Björkekärrs hus;2014-08-30;0
2014;6876;Björkekärrs hus;2014-08-31;0
2014;6876;Björkekärrs hus;2014-09-01;0
2014;6876;Björkekärrs hus;2014-09-02;0
2014;6876;Björkekärrs hus;2014-09-03;0
2014;6876;Björkekärrs hus;2014-09-04;0
2014;6876;Björkekärrs hus;2014-09-05;0
2014;6876;Björkekärrs hus;2014-09-06;0
2014;6876;Björkekärrs hus;2014-09-07;0
2014;6876;Björkekärrs hus;2014-09-08;0
2014;6876;Björkekärrs hus;2014-09-09;0
2014;6876;Björkekärrs hus;2014-09-10;0
2014;6876;Björkekärrs hus;2014-09-11;0
2014;6876;Björkekärrs hus;2014-09-12;0
2014;6876;Björkekärrs hus;2014-09-13;0
2014;6876;Björkekärrs hus;2014-09-14;0
2014;6876;Björkekärrs hus;totalt;32
2014;6877;Björkåshemmet;2014-08-27;0
2014;6877;Björkåshemmet;2014-08-28;0
2014;6877;Björkåshemmet;2014-08-29;0
2014;6877;Björkåshemmet;2014-08-30;0
2014;6877;Björkåshemmet;2014-08-31;0
2014;6877;Björkåshemmet;2014-09-01;0
2014;6877;Björkåshemmet;2014-09-02;14
2014;6877;Björkåshemmet;2014-09-03;0
2014;6877;Björkåshemmet;2014-09-04;0
2014;6877;Björkåshemmet;2014-09-05;0
2014;6877;Björkåshemmet;2014-09-06;0
2014;6877;Björkåshemmet;2014-09-07;0
2014;6877;Björkåshemmet;2014-09-08;0
2014;6877;Björkåshemmet;2014-09-09;0
2014;6877;Björkåshemmet;2014-09-10;0
2014;6877;Björkåshemmet;2014-09-11;0
2014;6877;Björkåshemmet;2014-09-12;0
2014;6877;Björkåshemmet;2014-09-13;0
2014;6877;Björkåshemmet;2014-09-14;0
2014;6877;Björkåshemmet;totalt;14
2014;6879;Dicksons hus;2014-08-27;0
2014;6879;Dicksons hus;2014-08-28;0
2014;6879;Dicksons hus;2014-08-29;0
2014;6879;Dicksons hus;2014-08-30;0
2014;6879;Dicksons hus;2014-08-31;0
2014;6879;Dicksons hus;2014-09-01;0
2014;6879;Dicksons hus;2014-09-02;0
2014;6879;Dicksons hus;2014-09-03;0
2014;6879;Dicksons hus;2014-09-04;0
2014;6879;Dicksons hus;2014-09-05;0
2014;6879;Dicksons hus;2014-09-06;0
2014;6879;Dicksons hus;2014-09-07;0
2014;6879;Dicksons hus;2014-09-08;59
2014;6879;Dicksons hus;2014-09-09;0
2014;6879;Dicksons hus;2014-09-10;0
2014;6879;Dicksons hus;2014-09-11;0
2014;6879;Dicksons hus;2014-09-12;0
2014;6879;Dicksons hus;2014-09-13;0
2014;6879;Dicksons hus;2014-09-14;0
2014;6879;Dicksons hus;totalt;59
2014;6882;Fiskebäcks äldreboende/Capio;2014-08-27;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-08-28;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-08-29;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-08-30;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-08-31;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-01;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-02;29
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-03;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-04;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-05;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-06;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-07;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-08;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-09;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-10;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-11;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-12;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-13;0
2014;6882;Fiskebäcks äldreboende/Capio;2014-09-14;0
2014;6882;Fiskebäcks äldreboende/Capio;totalt;29
2014;6886;Fridkulla äldreboende;2014-08-27;0
2014;6886;Fridkulla äldreboende;2014-08-28;0
2014;6886;Fridkulla äldreboende;2014-08-29;21
2014;6886;Fridkulla äldreboende;2014-08-30;0
2014;6886;Fridkulla äldreboende;2014-08-31;0
2014;6886;Fridkulla äldreboende;2014-09-01;0
2014;6886;Fridkulla äldreboende;2014-09-02;0
2014;6886;Fridkulla äldreboende;2014-09-03;0
