ar;val;typ;kod;namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2014;rd;distrikt;14801011;Majorna-Linné, Klippan;43;36;0;0;149;183;0;0;309;345;0;0;200;247;0;0;101;96;0;0;1709
2014;rd;distrikt;14801012;Majorna-Linné, Kungsladugård;33;33;0;0;161;174;0;0;343;351;0;0;103;141;0;0;56;74;0;0;1469
2014;rd;distrikt;14801013;Majorna-Linné, Mariaplan;43;28;0;0;107;145;0;0;292;321;0;0;122;154;0;0;46;48;0;0;1306
2014;rd;distrikt;14801014;Majorna-Linné, Silverkällan;28;48;0;0;114;128;0;0;295;377;0;0;174;174;0;0;52;58;0;0;1448
2014;rd;distrikt;14801015;Majorna-Linné, Skytteskogen;47;57;0;0;146;196;0;0;241;267;0;0;223;206;0;0;138;154;0;0;1675
2014;rd;distrikt;14801016;Majorna-Linné, Svalebo;26;39;0;0;114;148;0;0;228;200;0;0;148;134;0;0;101;121;0;0;1259
2014;rd;distrikt;14801021;Majorna-Linné, Sandarne;21;26;0;0;184;215;0;0;362;375;0;0;139;151;0;0;107;159;0;0;1739
2014;rd;distrikt;14801031;Majorna-Linné, Godhem;25;24;0;0;91;118;0;0;251;289;0;0;128;103;0;0;68;72;0;0;1169
2014;rd;distrikt;14801032;Majorna-Linné, Gråberget;19;16;0;0;119;144;0;0;307;257;0;0;150;169;0;0;157;247;0;0;1585
2014;rd;distrikt;14801033;Majorna-Linné, Hängmattan;33;33;0;0;83;100;0;0;302;306;0;0;166;200;0;0;103;154;0;0;1480
2014;rd;distrikt;14801034;Majorna-Linné, Majorna;34;37;0;0;166;189;0;0;263;228;0;0;155;149;0;0;152;243;0;0;1616
2014;rd;distrikt;14801035;Majorna-Linné, Marieberg;33;31;0;0;110;123;0;0;303;327;0;0;147;167;0;0;49;65;0;0;1355
2014;rd;distrikt;14801036;Majorna-Linné, Slottsskogsgatan m fl;23;19;0;0;112;153;0;0;301;255;0;0;164;183;0;0;187;252;0;0;1649
2014;rd;distrikt;14801041;Majorna-Linné, Djurgårdsgatan m fl;18;35;0;0;125;149;0;0;405;419;0;0;162;191;0;0;64;71;0;0;1639
2014;rd;distrikt;14801042;Majorna-Linné, Gatenhielmska;39;33;0;0;124;133;0;0;267;280;0;0;107;126;0;0;70;98;0;0;1277
2014;rd;distrikt;14801043;Majorna-Linné, Karl Johans torg;34;39;0;0;158;209;0;0;369;406;0;0;154;201;0;0;87;84;0;0;1741
2014;rd;distrikt;14801044;Majorna-Linné, Söderlingska ängen;32;37;0;0;137;155;0;0;279;344;0;0;125;136;0;0;51;82;0;0;1378
2014;rd;distrikt;14801051;Majorna-Linné, Masthugget, Nedre;36;40;0;0;121;118;0;0;206;178;0;0;169;190;0;0;112;138;0;0;1308
2014;rd;distrikt;14801052;Majorna-Linné, Masthugget, Övre;28;34;0;0;137;173;0;0;325;318;0;0;145;190;0;0;80;92;0;0;1522
2014;rd;distrikt;14801053;Majorna-Linné, Masthuggstorget;20;18;0;0;162;142;0;0;276;206;0;0;128;136;0;0;90;97;0;0;1275
2014;rd;distrikt;14801054;Majorna-Linné, Oscar Fredrik;25;26;0;0;147;163;0;0;266;258;0;0;141;155;0;0;66;88;0;0;1335
2014;rd;distrikt;14801055;Majorna-Linné, Slottsskogen;13;22;0;0;80;94;0;0;192;209;0;0;109;102;0;0;106;185;0;0;1112
2014;rd;distrikt;14801056;Majorna-Linné, Stigberget;39;46;0;0;167;145;0;0;294;261;0;0;160;143;0;0;86;135;0;0;1476
2014;rd;distrikt;14801057;Majorna-Linné, Vegastaden;25;24;0;0;119;137;0;0;241;221;0;0;126;149;0;0;76;133;0;0;1251
2014;rd;distrikt;14801061;Majorna-Linné, Änggården;43;43;0;0;85;63;0;0;139;160;0;0;150;149;0;0;141;212;0;0;1185
2014;rd;distrikt;14801071;Majorna-Linné, Haga;52;39;0;0;79;94;0;0;335;353;0;0;229;265;0;0;127;190;0;0;1763
2014;rd;distrikt;14801072;Majorna-Linné, Skansberget;56;43;0;0;75;98;0;0;319;366;0;0;191;234;0;0;87;111;0;0;1580
2014;rd;distrikt;14801081;Majorna-Linné, Annedal;38;21;0;0;220;219;0;0;361;349;0;0;133;211;0;0;169;349;0;0;2070
2014;rd;distrikt;14801082;Majorna-Linné, Nilssonsberg;27;30;0;0;163;160;0;0;307;290;0;0;192;203;0;0;177;267;0;0;1816
2014;rd;distrikt;14801091;Majorna-Linné, Kommendantsängen;17;22;0;0;81;136;0;0;301;255;0;0;131;149;0;0;83;107;0;0;1282
2014;rd;distrikt;14801092;Majorna-Linné, Linné;25;39;0;0;99;136;0;0;315;264;0;0;160;186;0;0;120;155;0;0;1499
2014;rd;distrikt;14801093;Majorna-Linné, Linnéplatsen;21;17;0;0;83;89;0;0;183;183;0;0;111;156;0;0;109;117;0;0;1069
2014;rd;distrikt;14801094;Majorna-Linné, Långgatorna;26;33;0;0;205;200;0;0;341;312;0;0;190;180;0;0;99;125;0;0;1711
2014;rd;distrikt;14801095;Majorna-Linné, Olivedal;37;44;0;0;144;167;0;0;337;317;0;0;164;220;0;0;115;137;0;0;1682
2014;rd;distrikt;14801096;Majorna-Linné, Risåsen;15;29;0;0;155;171;0;0;238;210;0;0;93;108;0;0;47;79;0;0;1145
2014;rd;distrikt;14801097;Majorna-Linné, Sveaplan;16;26;0;0;69;90;0;0;229;187;0;0;168;190;0;0;167;226;0;0;1368
2014;rd;summa_urval;;Summa distrikt med namn som börjar med 'Majorna-Linné,' (36 st);1090;1167;0;0;4591;5257;0;0;10322;10244;0;0;5457;6148;0;0;3646;5021;0;0;52943
2014;rd;goteborg;;Göteborgs kommun totalt (297 distrikt);11856;11975;0;0;35341;37124;0;0;72608;70383;0;0;42967;43623;0;0;35607;45367;0;0;406851
2014;rf;distrikt;14801011;Majorna-Linné, Klippan;42;36;0;1;148;177;7;9;295;324;27;14;192;244;11;6;98;96;7;4;1738
2014;rf;distrikt;14801012;Majorna-Linné, Kungsladugård;32;33;0;0;158;174;5;8;329;329;18;22;100;135;7;5;55;74;4;2;1490
2014;rf;distrikt;14801013;Majorna-Linné, Mariaplan;43;28;1;1;107;143;6;5;274;308;22;16;119;153;8;6;46;47;3;2;1338
2014;rf;distrikt;14801014;Majorna-Linné, Silverkällan;28;48;0;0;112;125;5;4;284;366;20;19;168;173;9;7;49;56;2;4;1479
2014;rf;distrikt;14801015;Majorna-Linné, Skytteskogen;47;57;0;0;145;189;13;9;232;249;15;19;218;203;15;7;134;153;8;2;1715
2014;rf;distrikt;14801016;Majorna-Linné, Svalebo;26;39;1;1;113;141;7;11;218;190;24;21;144;133;4;2;96;118;4;5;1298
2014;rf;distrikt;14801021;Majorna-Linné, Sandarne;21;26;0;1;183;212;12;12;350;359;21;18;135;148;6;4;104;159;5;4;1780
2014;rf;distrikt;14801031;Majorna-Linné, Godhem;25;24;2;0;88;112;1;4;238;274;16;12;126;103;3;4;68;72;4;1;1177
2014;rf;distrikt;14801032;Majorna-Linné, Gråberget;18;16;0;0;116;138;9;9;296;242;13;14;146;168;2;8;154;247;10;3;1609
2014;rf;distrikt;14801033;Majorna-Linné, Hängmattan;33;31;0;3;80;96;2;4;292;293;20;18;159;197;9;6;101;150;7;7;1508
2014;rf;distrikt;14801034;Majorna-Linné, Majorna;33;33;2;0;163;183;4;7;237;209;24;19;133;128;12;6;142;201;9;14;1559
2014;rf;distrikt;14801035;Majorna-Linné, Marieberg;33;30;1;1;106;121;6;4;291;314;21;18;145;163;9;1;48;64;2;2;1380
2014;rf;distrikt;14801036;Majorna-Linné, Slottsskogsgatan m fl;23;19;1;1;108;149;5;4;286;232;25;16;162;181;5;5;185;252;5;6;1670
2014;rf;distrikt;14801041;Majorna-Linné, Djurgårdsgatan m fl;17;35;3;0;122;146;5;7;374;393;33;26;148;174;8;6;56;50;7;3;1613
2014;rf;distrikt;14801042;Majorna-Linné, Gatenhielmska;39;32;1;1;122;130;5;2;260;269;14;12;104;125;8;7;67;95;1;3;1297
2014;rf;distrikt;14801043;Majorna-Linné, Karl Johans torg;34;38;0;2;155;205;5;11;351;386;28;23;148;199;15;3;85;83;3;4;1778
2014;rf;distrikt;14801044;Majorna-Linné, Söderlingska ängen;32;36;0;2;135;152;6;3;266;326;19;18;121;136;6;4;50;82;6;6;1406
2014;rf;distrikt;14801051;Majorna-Linné, Masthugget, Nedre;36;38;3;2;118;116;5;11;198;167;15;9;166;187;4;9;110;133;1;8;1336
2014;rf;distrikt;14801052;Majorna-Linné, Masthugget, Övre;28;34;0;0;135;172;3;7;309;307;28;18;141;186;5;7;79;91;3;2;1555
2014;rf;distrikt;14801053;Majorna-Linné, Masthuggstorget;16;17;1;0;157;140;9;8;255;196;25;33;124;130;8;7;90;97;3;4;1320
2014;rf;distrikt;14801054;Majorna-Linné, Oscar Fredrik;25;26;0;0;143;157;7;5;245;240;21;10;133;151;6;8;64;86;3;2;1332
2014;rf;distrikt;14801055;Majorna-Linné, Slottsskogen;12;20;0;1;77;93;12;4;180;196;13;8;107;98;1;6;105;184;6;6;1129
2014;rf;distrikt;14801056;Majorna-Linné, Stigberget;38;46;0;0;162;139;22;31;277;247;27;21;158;141;3;0;84;132;6;4;1538
2014;rf;distrikt;14801057;Majorna-Linné, Vegastaden;25;24;1;0;115;136;5;3;223;208;17;17;122;147;5;4;74;130;7;4;1267
2014;rf;distrikt;14801061;Majorna-Linné, Änggården;41;43;5;6;83;62;16;16;130;148;26;35;146;145;7;7;137;206;5;2;1266
2014;rf;distrikt;14801071;Majorna-Linné, Haga;51;39;0;3;76;89;6;6;304;327;14;25;218;256;13;12;116;175;6;5;1741
2014;rf;distrikt;14801072;Majorna-Linné, Skansberget;54;42;1;1;74;89;6;9;307;348;35;17;186;230;8;7;84;109;4;4;1615
2014;rf;distrikt;14801081;Majorna-Linné, Annedal;38;21;1;1;216;213;10;2;327;322;18;13;111;177;8;6;143;298;5;5;1935
2014;rf;distrikt;14801082;Majorna-Linné, Nilssonsberg;27;29;2;0;161;157;9;5;282;257;13;16;177;199;4;6;175;264;8;3;1794
2014;rf;distrikt;14801091;Majorna-Linné, Kommendantsängen;16;22;0;0;77;132;6;6;278;237;13;7;123;142;6;4;82;106;2;2;1261
2014;rf;distrikt;14801092;Majorna-Linné, Linné;24;39;0;1;98;133;8;12;298;245;28;23;153;185;7;7;115;149;4;3;1532
2014;rf;distrikt;14801093;Majorna-Linné, Linnéplatsen;21;17;0;0;83;88;4;4;175;169;7;4;105;155;4;4;109;115;1;0;1065
2014;rf;distrikt;14801094;Majorna-Linné, Långgatorna;25;31;1;1;199;198;4;8;303;273;36;30;159;164;9;6;84;105;5;0;1641
2014;rf;distrikt;14801095;Majorna-Linné, Olivedal;37;44;0;1;137;162;8;10;322;296;24;20;157;213;8;4;112;135;5;3;1698
2014;rf;distrikt;14801096;Majorna-Linné, Risåsen;14;28;1;0;150;170;6;8;223;191;19;12;91;106;4;2;46;78;0;0;1149
2014;rf;distrikt;14801097;Majorna-Linné, Sveaplan;16;26;1;0;67;88;1;4;211;172;19;16;164;183;4;5;164;224;3;7;1375
2014;rf;summa_urval;;Summa distrikt med namn som börjar med 'Majorna-Linné,' (36 st);1070;1147;29;31;4489;5127;250;272;9720;9609;758;639;5209;5958;251;198;3511;4816;164;136;53384
2014;rf;goteborg;;Göteborgs kommun totalt (297 distrikt);11570;11667;684;617;34418;35978;3955;3763;68593;66285;9500;7098;41296;42360;2850;2273;34584;44219;1862;1808;425380
2014;kf;distrikt;14801011;Majorna-Linné, Klippan;42;36;0;1;148;177;7;9;295;324;27;14;192;244;11;6;98;96;7;4;1738
2014;kf;distrikt;14801012;Majorna-Linné, Kungsladugård;32;33;0;0;158;174;5;8;329;329;18;22;100;135;7;5;55;74;4;2;1490
2014;kf;distrikt;14801013;Majorna-Linné, Mariaplan;43;28;1;1;107;143;6;5;274;308;22;16;119;153;8;6;46;47;3;2;1338
2014;kf;distrikt;14801014;Majorna-Linné, Silverkällan;28;48;0;0;112;125;5;4;284;366;20;19;168;173;9;7;49;56;2;4;1479
2014;kf;distrikt;14801015;Majorna-Linné, Skytteskogen;47;57;0;0;145;189;13;9;232;249;15;19;218;203;15;7;134;153;8;2;1715
2014;kf;distrikt;14801016;Majorna-Linné, Svalebo;26;39;1;1;113;141;7;11;218;190;24;21;144;133;4;2;96;118;4;5;1298
2014;kf;distrikt;14801021;Majorna-Linné, Sandarne;21;26;0;1;183;212;12;12;350;359;21;18;135;148;6;4;104;159;5;4;1780
2014;kf;distrikt;14801031;Majorna-Linné, Godhem;25;24;2;0;88;112;1;4;238;274;16;12;126;103;3;4;68;72;4;1;1177
2014;kf;distrikt;14801032;Majorna-Linné, Gråberget;18;16;0;0;116;138;9;9;296;242;13;14;146;168;2;8;154;247;10;3;1609
2014;kf;distrikt;14801033;Majorna-Linné, Hängmattan;33;31;0;3;80;96;2;4;292;293;20;18;159;197;9;6;101;150;7;7;1508
2014;kf;distrikt;14801034;Majorna-Linné, Majorna;33;33;2;0;163;183;4;7;237;209;24;19;133;128;12;6;142;201;9;14;1559
2014;kf;distrikt;14801035;Majorna-Linné, Marieberg;33;30;1;1;106;121;6;4;291;314;21;18;145;163;9;1;48;64;2;2;1380
2014;kf;distrikt;14801036;Majorna-Linné, Slottsskogsgatan m fl;23;19;1;1;108;149;5;4;286;232;25;16;162;181;5;5;185;252;5;6;1670
2014;kf;distrikt;14801041;Majorna-Linné, Djurgårdsgatan m fl;17;35;3;0;122;146;5;7;374;393;33;26;148;174;8;6;56;50;7;3;1613
2014;kf;distrikt;14801042;Majorna-Linné, Gatenhielmska;39;32;1;1;122;130;5;2;260;269;14;12;104;125;8;7;67;95;1;3;1297
2014;kf;distrikt;14801043;Majorna-Linné, Karl Johans torg;34;38;0;2;155;205;5;11;351;386;28;23;148;199;15;3;85;83;3;4;1778
2014;kf;distrikt;14801044;Majorna-Linné, Söderlingska ängen;32;36;0;2;135;152;6;3;266;326;19;18;121;136;6;4;50;82;6;6;1406
2014;kf;distrikt;14801051;Majorna-Linné, Masthugget, Nedre;36;38;3;2;118;116;5;11;198;167;15;9;166;187;4;9;110;133;1;8;1336
2014;kf;distrikt;14801052;Majorna-Linné, Masthugget, Övre;28;34;0;0;135;172;3;7;309;307;28;18;141;186;5;7;79;91;3;2;1555
2014;kf;distrikt;14801053;Majorna-Linné, Masthuggstorget;16;17;1;0;157;140;9;8;255;196;25;33;124;130;8;7;90;97;3;4;1320
2014;kf;distrikt;14801054;Majorna-Linné, Oscar Fredrik;25;26;0;0;143;157;7;5;245;240;21;10;133;151;6;8;64;86;3;2;1332
2014;kf;distrikt;14801055;Majorna-Linné, Slottsskogen;12;20;0;1;77;93;12;4;180;196;13;8;107;98;1;6;105;184;6;6;1129
2014;kf;distrikt;14801056;Majorna-Linné, Stigberget;38;46;0;0;162;139;22;31;277;247;27;21;158;141;3;0;84;132;6;4;1538
2014;kf;distrikt;14801057;Majorna-Linné, Vegastaden;25;24;1;0;115;136;5;3;223;208;17;17;122;147;5;4;74;130;7;4;1267
2014;kf;distrikt;14801061;Majorna-Linné, Änggården;41;43;5;6;83;62;16;16;130;148;26;35;146;145;7;7;137;206;5;2;1266
2014;kf;distrikt;14801071;Majorna-Linné, Haga;51;39;0;3;76;89;6;6;304;327;14;25;218;256;13;12;116;175;6;5;1741
2014;kf;distrikt;14801072;Majorna-Linné, Skansberget;54;42;1;1;74;89;6;9;307;348;35;17;186;230;8;7;84;109;4;4;1615
2014;kf;distrikt;14801081;Majorna-Linné, Annedal;38;21;1;1;216;213;10;2;327;322;18;13;111;177;8;6;143;298;5;5;1935
2014;kf;distrikt;14801082;Majorna-Linné, Nilssonsberg;27;29;2;0;161;157;9;5;282;257;13;16;177;199;4;6;175;264;8;3;1794
2014;kf;distrikt;14801091;Majorna-Linné, Kommendantsängen;16;22;0;0;77;132;6;6;278;237;13;7;123;142;6;4;82;106;2;2;1261
2014;kf;distrikt;14801092;Majorna-Linné, Linné;24;39;0;1;98;133;8;12;298;245;28;23;153;185;7;7;115;149;4;3;1532
2014;kf;distrikt;14801093;Majorna-Linné, Linnéplatsen;21;17;0;0;83;88;4;4;175;169;7;4;105;155;4;4;109;115;1;0;1065
2014;kf;distrikt;14801094;Majorna-Linné, Långgatorna;25;31;1;1;199;198;4;8;303;273;36;30;159;164;9;6;84;105;5;0;1641
2014;kf;distrikt;14801095;Majorna-Linné, Olivedal;37;44;0;1;137;162;8;10;322;296;24;20;157;213;8;4;112;135;5;3;1698
2014;kf;distrikt;14801096;Majorna-Linné, Risåsen;14;28;1;0;150;170;6;8;223;191;19;12;91;106;4;2;46;78;0;0;1149
2014;kf;distrikt;14801097;Majorna-Linné, Sveaplan;16;26;1;0;67;88;1;4;211;172;19;16;164;183;4;5;164;224;3;7;1375
2014;kf;summa_urval;;Summa distrikt med namn som börjar med 'Majorna-Linné,' (36 st);1070;1147;29;31;4489;5127;250;272;9720;9609;758;639;5209;5958;251;198;3511;4816;164;136;53384
2014;kf;goteborg;;Göteborgs kommun totalt (297 distrikt);11570;11667;684;617;34418;35978;3955;3763;68593;66285;9500;7098;41296;42360;2850;2273;34584;44219;1862;1808;425380
