kod_2014;namn_2014;kod_2010_troligast;namn_2010;typ;belagg
14800001;Uppsamlingsdistrikt;14800001;Onsdagsdistrikt;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 337,47,111,41,568,136,205,82 (summa 1527) mot 2010 14800001, namn olika
14800002;Uppsamlingsdistrikt;14800002;Onsdagsdistrikt;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 345,50,106,66,660,128,250,56 (summa 1661) mot 2010 14800002, namn olika
14800003;Uppsamlingsdistrikt;14800003;Onsdagsdistrikt;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 807,82,229,71,461,211,432,57 (summa 2350) mot 2010 14800003, namn olika
14800004;Uppsamlingsdistrikt;14800004;Onsdagsdistrikt;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 386,41,128,57,358,121,249,52 (summa 1392) mot 2010 14800004, namn olika
14801011;Majorna-Linné, Klippan;14800916;Majorna, Klippan;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 245,26,77,21,379,243,260,45 (summa 1296) mot 2010 14800916, geometri 100.0/100.0 procent, namn lika
14801012;Majorna-Linné, Kungsladugård;14800913;Majorna, Kungsladugård;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 142,24,50,19,294,213,230,37 (summa 1009) mot 2010 14800913, geometri 100.0/100.0 procent, namn lika
14801013;Majorna-Linné, Mariaplan;14800914;Majorna, Mariaplan;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 113,24,43,19,263,206,248,41 (summa 957) mot 2010 14800914, geometri 100.0/100.0 procent, namn lika
14801014;Majorna-Linné, Silverkällan;14800915;Majorna, Silverkällan;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 127,21,55,16,289,227,264,35 (summa 1034) mot 2010 14800915, geometri 100.0/100.0 procent, namn lika
14801015;Majorna-Linné, Skytteskogen;14800912;Majorna, Skytteskogen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 269,34,158,46,282,185,301,33 (summa 1308) mot 2010 14800912, geometri 100.0/100.0 procent, namn lika
14801016;Majorna-Linné, Svalebo;14800911;Majorna, Svalebo;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800911 (Majorna, Svalebo) täcker 100.0 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 1 källor över 5 procent OBS geometrin är i praktiken 1:1 (Majorna, Svalebo) trots att FGVAL saknas
14801021;Majorna-Linné, Sandarne;14800921;Majorna, Sandarne;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 196,23,72,26,362,191,199,80 (summa 1149) mot 2010 14800921, geometri 100.0/100.0 procent, namn lika
14801031;Majorna-Linné, Godhem;14800936;Majorna, Godhem;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 165,26,80,38,243,168,159,27 (summa 906) mot 2010 14800936, geometri 100.0/100.0 procent, namn lika
14801032;Majorna-Linné, Gråberget;14800934;Majorna, Gråberget;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 300,23,99,41,327,151,205,52 (summa 1198) mot 2010 14800934, geometri 100.0/100.0 procent, namn lika
14801033;Majorna-Linné, Hängmattan;14800933;Majorna, Hängmattan;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800933 (Majorna, Hängmattan) täcker 71.0 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 2 källor över 5 procent
14801034;Majorna-Linné, Majorna;14800932;Majorna, Majorna;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800932 (Majorna, Majorna) täcker 81.2 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 2 källor över 5 procent
14801035;Majorna-Linné, Marieberg;14800935;Majorna, Marieberg;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800935 (Majorna, Marieberg) täcker 100.0 procent av det nya distriktet, 80.2 procent av det gamla ligger där, 1 källor över 5 procent
14801036;Majorna-Linné, Slottsskogsgatan m fl;14800931;Majorna, Slottsskogsgatan m fl;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800931 (Majorna, Slottsskogsgatan m fl) täcker 100.0 procent av det nya distriktet, 63.1 procent av det gamla ligger där, 1 källor över 5 procent
14801041;Majorna-Linné, Djurgårdsgatan m fl;14800943;Majorna, Djurgårdsgatan m fl;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 171,30,63,19,294,237,275,25 (summa 1114) mot 2010 14800943, geometri 100.0/100.0 procent, namn lika
14801042;Majorna-Linné, Gatenhielmska;14800944;Majorna, Gatenhielmska;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 143,25,62,21,287,144,184,25 (summa 891) mot 2010 14800944, geometri 100.0/100.0 procent, namn lika
14801043;Majorna-Linné, Karl Johans torg;14800942;Majorna, Karl Johans torg;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 160,29,70,20,359,300,295,28 (summa 1261) mot 2010 14800942, geometri 100.0/100.0 procent, namn lika
14801044;Majorna-Linné, Söderlingska ängen;14800941;Majorna, Söderlingska ängen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 145,19,66,17,291,189,208,35 (summa 970) mot 2010 14800941, geometri 100.0/100.0 procent, namn lika
14801051;Majorna-Linné, Masthugget, Nedre;14800814;Linnéstaden, Nedre Masthugget;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 208,28,111,18,272,157,193,26 (summa 1013) mot 2010 14800814, geometri 100.0/100.0 procent, namn olika
14801052;Majorna-Linné, Masthugget, Övre;14800811;Linnéstaden, Övre Masthugget;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 232,25,100,28,272,194,283,26 (summa 1160) mot 2010 14800811, geometri 100.0/100.0 procent, namn olika
14801053;Majorna-Linné, Masthuggstorget;14800813;Linnéstaden, Masthuggstorget;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 309,34,82,20,257,97,147,35 (summa 981) mot 2010 14800813, geometri 100.0/100.0 procent, namn lika
14801054;Majorna-Linné, Oscar Fredrik;14800815;Linnéstaden, Oscar Fredrik;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 216,33,83,22,219,156,192,32 (summa 953) mot 2010 14800815, geometri 100.0/100.0 procent, namn lika
14801055;Majorna-Linné, Slottsskogen;14800817;Linnéstaden, Slottsskogen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 211,19,77,18,247,102,108,37 (summa 819) mot 2010 14800817, geometri 100.0/100.0 procent, namn lika
14801056;Majorna-Linné, Stigberget;14800812;Linnéstaden, Stigberget;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 198,21,110,22,270,176,239,42 (summa 1078) mot 2010 14800812, geometri 100.0/100.0 procent, namn lika
14801057;Majorna-Linné, Vegastaden;14800816;Linnéstaden, Vegastaden;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 232,21,70,18,237,123,142,31 (summa 874) mot 2010 14800816, geometri 100.0/100.0 procent, namn lika
14801061;Majorna-Linné, Änggården;14800821;Linnéstaden, Änggården;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 337,27,143,45,146,43,122,11 (summa 874) mot 2010 14800821, geometri 100.0/100.0 procent, namn lika
14801071;Majorna-Linné, Haga;14800832;Linnéstaden, Haga;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800832 (Linnéstaden, Haga) täcker 100.0 procent av det nya distriktet, 69.1 procent av det gamla ligger där, 1 källor över 5 procent
14801072;Majorna-Linné, Skansberget;14800831;Linnéstaden, Skansberget;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800831 (Linnéstaden, Skansberget) täcker 82.8 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 2 källor över 5 procent
14801081;Majorna-Linné, Annedal;14800841;Linnéstaden, Annedal;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 363,40,134,40,316,117,197,42 (summa 1249) mot 2010 14800841, geometri 100.0/100.0 procent, namn lika
14801082;Majorna-Linné, Nilssonsberg;14800842;Linnéstaden, Nilssonsberg;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 522,38,187,47,276,85,152,40 (summa 1347) mot 2010 14800842, geometri 100.0/100.0 procent, namn lika
14801091;Majorna-Linné, Kommendantsängen;14800856;Linnéstaden, Kommendantsängen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 364,34,121,20,181,74,128,30 (summa 952) mot 2010 14800856, geometri 100.0/100.0 procent, namn lika
14801092;Majorna-Linné, Linné;14800854;Linnéstaden, Linné;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 461,35,157,41,229,86,132,31 (summa 1172) mot 2010 14800854, geometri 100.0/100.0 procent, namn lika
14801093;Majorna-Linné, Linnéplatsen;14800851;Linnéstaden, Linnéplatsen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 312,25,117,27,154,68,107,17 (summa 827) mot 2010 14800851, geometri 100.0/100.0 procent, namn lika
14801094;Majorna-Linné, Långgatorna;14800853;Linnéstaden, Långgatorna;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 454,38,141,30,232,122,212,28 (summa 1257) mot 2010 14800853, geometri 100.0/100.0 procent, namn lika
14801095;Majorna-Linné, Olivedal;14800852;Linnéstaden, Olivedal;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 371,45,143,27,315,157,188,26 (summa 1272) mot 2010 14800852, geometri 100.0/100.0 procent, namn lika
14801096;Majorna-Linné, Risåsen;14800855;Linnéstaden, Risåsen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 331,37,105,27,153,74,152,26 (summa 905) mot 2010 14800855, geometri 100.0/100.0 procent, namn lika
14801097;Majorna-Linné, Sveaplan;14800857;Linnéstaden, Sveaplan;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 449,35,168,33,225,64,92,24 (summa 1090) mot 2010 14800857, geometri 100.0/100.0 procent, namn lika
14801101;Centrum, Framnäs;14800713;Centrum, Framnäs;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800713 (Centrum, Framnäs) täcker 100.0 procent av det nya distriktet, 72.8 procent av det gamla ligger där, 1 källor över 5 procent
14801102;Centrum, Fredriksdal;14800711;Centrum, Burås;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800711 (Centrum, Burås) täcker 100.0 procent av det nya distriktet, 86.1 procent av det gamla ligger där, 1 källor över 5 procent
14801103;Centrum, Fridkullagatan m fl;14800713;Centrum, Framnäs;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800713 (Centrum, Framnäs) täcker 41.6 procent av det nya distriktet, 27.2 procent av det gamla ligger där, 3 källor över 5 procent
