ar;val;parti_kalla;parti;beteckning;farg;kalla_fil
2010;rd;0020;0020;Republikanerna;;slutresultat_1480R.xml
2010;rd;0518;0518;Nordisk Union;;slutresultat_1480R.xml
2010;rd;0979;0979;Frihetspartiet;;slutresultat_1480R.xml
2010;rd;1004;1004;Spritpartiet;;slutresultat_1480R.xml
2010;rd;1011;1011;Landsbygdsdemokraterna;;slutresultat_1480R.xml
2010;rd;1052;1052;Aktiv Demokrati - partiet för kontinuerlig direktdemokrati;;slutresultat_1480R.xml
2010;rd;1074;1074;Frihetliga Rättvisepartiet (FRP)/För ett demokratiskt och ett folkstyrt Europa utan EU-byråkrater;;slutresultat_1480R.xml
2010;rd;1077;1077;Republikanska partiet;;slutresultat_1480R.xml
2010;rd;Alex;ALEX;Alexander's Lista;;slutresultat_1480R.xml
2010;rd;ALP;ALP;Allianspartiet/Medborgarens röst;#666600;slutresultat_1480R.xml
2010;rd;BLANK;BLANK;Ogiltiga röster - blanka;#cc99ff;slutresultat_1480R.xml
2010;rd;C;C;Centerpartiet;#63A91D;slutresultat_1480R.xml
2010;rd;EAP;EAP;Europeiska Arbetarpartiet-EAP;;slutresultat_1480R.xml
2010;rd;ENH;ENH;Enhet;;slutresultat_1480R.xml
2010;rd;FI;FI;Feministiskt initiativ;#cd0067;slutresultat_1480R.xml
2010;rd;FP;L;Folkpartiet liberalerna;#3399FF;slutresultat_1480R.xml
2010;rd;KD;KD;Kristdemokraterna;#1B5CB1;slutresultat_1480R.xml
2010;rd;KLP;KLP;Klassiskt liberala partiet;;slutresultat_1480R.xml
2010;rd;KommF;KOMMF;Kommunistiska förbundet;;slutresultat_1480R.xml
2010;rd;M;M;Moderata Samlingspartiet;#66BEE6;slutresultat_1480R.xml
2010;rd;MP;MP;Miljöpartiet de gröna;#008000;slutresultat_1480R.xml
2010;rd;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480R.xml
2010;rd;NorrS;NORRS;Norrländska Samlingspartiet;#ffff00;slutresultat_1480R.xml
2010;rd;OG;OG;Ogiltiga röster - övriga;#003300;slutresultat_1480R.xml
2010;rd;PP;PP;Piratpartiet;#660087;slutresultat_1480R.xml
2010;rd;Riksh;RIKSH;Rikshushållarna;;slutresultat_1480R.xml
2010;rd;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480R.xml
2010;rd;S;S;Arbetarepartiet-Socialdemokraterna;#FF0000;slutresultat_1480R.xml
2010;rd;SD;SD;Sverigedemokraterna;#4E83A3;slutresultat_1480R.xml
2010;rd;Sjvåp;SJVÅP;Sjukvårdspartiet;;slutresultat_1480R.xml
2010;rd;SKP;SKP;Sveriges Kommunistiska Parti (SKP);;slutresultat_1480R.xml
2010;rd;SKÅ;SKÅ;Skånepartiet;#ffccff;slutresultat_1480R.xml
2010;rd;SNDP;SNDP;Sveriges Nationella Demokratiska Parti;;slutresultat_1480R.xml
2010;rd;SPI;SPI;SPI - Sveriges Pensionärers Intresseparti;#ffff00;slutresultat_1480R.xml
2010;rd;SVP;SVP;Svenskarnas parti;#ffcc66;slutresultat_1480R.xml
2010;rd;V;V;Vänsterpartiet;#C40000;slutresultat_1480R.xml
2010;rd;ÖVR;ÖVR;Övriga partier;#999999;slutresultat_1480R.xml
2010;rd;1041;1041;Befolkningspartiet;;slutresultat_00R.xml
2010;rd;1067;1067;Li Yu Chen Anderssonpartiet;;slutresultat_00R.xml
2010;rd;1086;1086;Arbetsmarknadspartiet UPI;;slutresultat_00R.xml
2010;rf;BLANK;BLANK;Ogiltiga röster - blanka;#cc99ff;slutresultat_1480L.xml
2010;rf;C;C;Centerpartiet;#63A91D;slutresultat_1480L.xml
2010;rf;FP;L;Folkpartiet liberalerna;#3399FF;slutresultat_1480L.xml
2010;rf;K;K;Kommunistiska Partiet;#ff6600;slutresultat_1480L.xml
2010;rf;KD;KD;Kristdemokraterna;#1B5CB1;slutresultat_1480L.xml
2010;rf;M;M;Moderata Samlingspartiet;#66BEE6;slutresultat_1480L.xml
2010;rf;MP;MP;Miljöpartiet de gröna;#008000;slutresultat_1480L.xml
2010;rf;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480L.xml
2010;rf;OG;OG;Ogiltiga röster - övriga;#003300;slutresultat_1480L.xml
2010;rf;PP;PP;Piratpartiet;#660087;slutresultat_1480L.xml
2010;rf;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480L.xml
2010;rf;S;S;Arbetarepartiet-Socialdemokraterna;#FF0000;slutresultat_1480L.xml
2010;rf;SD;SD;Sverigedemokraterna;#4E83A3;slutresultat_1480L.xml
2010;rf;SPI;SPI;SPI - Sveriges Pensionärers Intresseparti;#ffff00;slutresultat_1480L.xml
2010;rf;SPVG;SPVG;Sjukvårdspartiet - Västra Götaland;#3399ff;slutresultat_1480L.xml
2010;rf;V;V;Vänsterpartiet;#C40000;slutresultat_1480L.xml
2010;rf;ÖVR;ÖVR;Övriga partier;#999999;slutresultat_1480L.xml
2010;rf;0597;0597;Kommunistiska förbundet;;slutresultat_00L.xml
2010;rf;0974;0974;Sundsvalls framtid;;slutresultat_00L.xml
2010;rf;0975;0975;Tuvan;;slutresultat_00L.xml
2010;rf;1004;1004;Spritpartiet;;slutresultat_00L.xml
2010;rf;1022;1022;Rädda Vården;;slutresultat_00L.xml
2010;rf;1048;1048;Bondis republikan partiet, BR-partiet, co-op - Bondesrepublikanerna;;slutresultat_00L.xml
2010;rf;1085;1085;Arbetsmarknadspartiet UPI;;slutresultat_00L.xml
2010;rf;1097;1097;Team Ruotimaa;;slutresultat_00L.xml
2010;rf;ALP;ALP;Allianspartiet/Medborgarens röst;#666600;slutresultat_00L.xml
2010;rf;Befop;BEFOP;Befolkningspartiet;#ff6600;slutresultat_00L.xml
2010;rf;BSjP;BSJP;Blekinge Sjukvårdsparti;#ffff66;slutresultat_00L.xml
2010;rf;dsp;DSP;Dalarnas Sjukvårdsparti;#9900cc;slutresultat_00L.xml
2010;rf;ffs;FFS;Folkkampanjen för sjukvården;#ffcc00;slutresultat_00L.xml
2010;rf;FI;FI;Feministiskt initiativ;#cd0067;slutresultat_00L.xml
2010;rf;Kbabo;KBABO;Kungsbackaborna;#cccc99;slutresultat_00L.xml
2010;rf;Kirp;KIRP;Kirunapartiet;#990099;slutresultat_00L.xml
2010;rf;NBP;NBP;Norrbottenspartiet;;slutresultat_00L.xml
2010;rf;NS;NS;Norrbottens Sjukvårdsparti;#ffff00;slutresultat_00L.xml
2010;rf;RHV;RHV;Rättvis Human Vård i Jämtland Härjedalen;#9933ff;slutresultat_00L.xml
2010;rf;RSo;RSO;Rättvisepartiet Socialisterna enhetslista för jobb - mot nedskärningar;#ffff00;slutresultat_00L.xml
2010;rf;Samv;SAMV;Samverkan: Falupartiet och Omsorg för alla;#6600cc;slutresultat_00L.xml
2010;rf;SJPG;SJPG;Sjukvårdspartiet Gävleborg;#ffcc00;slutresultat_00L.xml
2010;rf;sjuk;SJUK;Sjukvårdspartiet;#00cc00;slutresultat_00L.xml
2010;rf;SJVP;SJVP;Sjukvårdspartiet - Västernorrland;#ffff99;slutresultat_00L.xml
2010;rf;SjvU;SJVU;Sjukvårdspartiet - Västmanland;#ff99cc;slutresultat_00L.xml
2010;rf;SjvV;SJVV;Sjukvårdspartiet i Värmland;#996600;slutresultat_00L.xml
2010;rf;SKÅ;SKÅ;Skånepartiet;#ffccff;slutresultat_00L.xml
2010;rf;S-V;S-V;Socialisterna-Välfärdspartiet;#660000;slutresultat_00L.xml
2010;rf;SvKP;SVKP;Sveriges Kommunistiska Parti (SKP);;slutresultat_00L.xml
2010;rf;SVP;SVP;Svenskarnas parti;#ffcc66;slutresultat_00L.xml
2010;rf;USP;USP;Upplands sjukvårdsparti;#ffcc00;slutresultat_00L.xml
2010;rf;VL;VL;Vrinnevilistan;#990000;slutresultat_00L.xml
2010;kf;0450;0450;Framtidspartiet Sverige;;slutresultat_1480K.xml
2010;kf;0470;0470;Seniorpartiet;;slutresultat_1480K.xml
2010;kf;1016;1016;Barnpartiet;;slutresultat_1480K.xml
2010;kf;1027;1027;Torslandapartiet;;slutresultat_1480K.xml
2010;kf;BLANK;BLANK;Ogiltiga röster - blanka;#cc99ff;slutresultat_1480K.xml
2010;kf;C;C;Centerpartiet;#63A91D;slutresultat_1480K.xml
2010;kf;FI;FI;Feministiskt initiativ;#cd0067;slutresultat_1480K.xml
2010;kf;FP;L;Folkpartiet liberalerna;#3399FF;slutresultat_1480K.xml
2010;kf;K;K;Kommunistiska Partiet;#ff6600;slutresultat_1480K.xml
2010;kf;KD;KD;Kristdemokraterna;#1B5CB1;slutresultat_1480K.xml
2010;kf;M;M;Moderata Samlingspartiet;#66BEE6;slutresultat_1480K.xml
2010;kf;MP;MP;Miljöpartiet de gröna;#008000;slutresultat_1480K.xml
2010;kf;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480K.xml
2010;kf;OG;OG;Ogiltiga röster - övriga;#003300;slutresultat_1480K.xml
2010;kf;PP;PP;Piratpartiet;#660087;slutresultat_1480K.xml
2010;kf;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480K.xml
2010;kf;S;S;Arbetarepartiet-Socialdemokraterna;#FF0000;slutresultat_1480K.xml
2010;kf;SD;SD;Sverigedemokraterna;#4E83A3;slutresultat_1480K.xml
2010;kf;SOC.P;SOC.P;Socialistiska Partiet;#ff9900;slutresultat_1480K.xml
2010;kf;SPI;SPI;SPI - Sveriges Pensionärers Intresseparti;#ffff00;slutresultat_1480K.xml
2010;kf;V;V;Vänsterpartiet;#C40000;slutresultat_1480K.xml
2010;kf;VägV;VÄGV;Vägvalet;#6699cc;slutresultat_1480K.xml
2010;kf;ÖVR;ÖVR;Övriga partier;#999999;slutresultat_1480K.xml
2010;kf;0247;0247;Malmöpartiet;;slutresultat_00K.xml
2010;kf;0333;0333;Silverfox-partiet;;slutresultat_00K.xml
2010;kf;0339;0339;Sveriges Nationella Demokratiska Parti;;slutresultat_00K.xml
2010;kf;0598;0598;Kommunistiska förbundet;;slutresultat_00K.xml
2010;kf;0629;0629;Sámelistu/samelistan Partipolitskt Obunden;;slutresultat_00K.xml
2010;kf;0828;0828;Folkfronten;;slutresultat_00K.xml
2010;kf;0974;0974;Sundsvalls framtid;;slutresultat_00K.xml
2010;kf;0976;0976;Mosebackedemokraterna;;slutresultat_00K.xml
2010;kf;0981;0981;Popvox;;slutresultat_00K.xml
2010;kf;1004;1004;Spritpartiet;;slutresultat_00K.xml
2010;kf;1022;1022;Rädda Vården;;slutresultat_00K.xml
2010;kf;1051;1051;Socialisterna Välfärdspartiet;;slutresultat_00K.xml
2010;kf;1081;1081;Lådhållarpartiet;;slutresultat_00K.xml
2010;kf;1082;1082;Rätt väg;;slutresultat_00K.xml
2010;kf;1084;1084;Arbetsmarknadspartiet UPI;;slutresultat_00K.xml
2010;kf;1088;1088;Vi-partiet;;slutresultat_00K.xml
2010;kf;1089;1089;Läskenpartiet;;slutresultat_00K.xml
2010;kf;1090;1090;Patriotiska kapitalistpartiet;;slutresultat_00K.xml
2010;kf;1091;1091;SKP;;slutresultat_00K.xml
2010;kf;1092;1092;Strandskyddspartiet;;slutresultat_00K.xml
2010;kf;1093;1093;Party of Hayez;;slutresultat_00K.xml
2010;kf;1094;1094;Team Ruotimaa;;slutresultat_00K.xml
2010;kf;1096;1096;Kalixpartiet;;slutresultat_00K.xml
2010;kf;A2000;A2000;Alternativ 2000;#669900;slutresultat_00K.xml
2010;kf;ADK;ADK;Ale - demokraterna;#9999cc;slutresultat_00K.xml
2010;kf;AfR;AFR;Allians för Ragunda;#999900;slutresultat_00K.xml
2010;kf;AIL;AIL;Axel Ingmars Lista - Avestapartiet;#ffcc00;slutresultat_00K.xml
2010;kf;Alexa;ALEXA;Alexander´s Lista;;slutresultat_00K.xml
2010;kf;ALP;ALP;Allianspartiet/Medborgarens röst;#666600;slutresultat_00K.xml
2010;kf;ALT;ALT;Alternativet;#ff6600;slutresultat_00K.xml
2010;kf;ALTER;ALTER;Alternativet;#ffff33;slutresultat_00K.xml
2010;kf;ALV;ALV;Alvesta Alternativet;#ffff33;slutresultat_00K.xml
2010;kf;AP;AP;Samhällslistan Aktiv Politik;#9900ff;slutresultat_00K.xml
2010;kf;ASK;ASK;Aktion för Sigtuna kommun;;slutresultat_00K.xml
2010;kf;BAP;BAP;BARAPARTIET;#666600;slutresultat_00K.xml
2010;kf;BE;BE;Bergspartiet;#999900;slutresultat_00K.xml
2010;kf;Befp;BEFP;Befolkningspartiet;#ff6600;slutresultat_00K.xml
2010;kf;BJP;BJP;Bjärepartiet;#666600;slutresultat_00K.xml
2010;kf;BoA;BOA;Borgerligt Alternativ;#3399cc;slutresultat_00K.xml
2010;kf;Bollp;BOLLP;Bollnäspartiet;#ffff33;slutresultat_00K.xml
2010;kf;BOP;BOP;Bopartiet;#9900ff;slutresultat_00K.xml
2010;kf;BP;BP;Botkyrkapartiet;#ffcc00;slutresultat_00K.xml
2010;kf;Bus;BUS;Barn- och Ungdomspartiet i Sjöbo;#ffccff;slutresultat_00K.xml
2010;kf;BV;BV;Burlövs Väl;#ffccff;slutresultat_00K.xml
2010;kf;ByP;BYP;Bygdepartiet;#33cc00;slutresultat_00K.xml
2010;kf;BÅP;BÅP;Bålsta partiet;#ffcc00;slutresultat_00K.xml
2010;kf;DemV;DEMV;Demokratisk Vänster i Lund;#ffccff;slutresultat_00K.xml
2010;kf;Dex;DEX;Demoex;#99cccc;slutresultat_00K.xml
2010;kf;Din F;DIN F;DIN FRAMTID;#996600;slutresultat_00K.xml
2010;kf;DKL;DKL;Dorotea Kommunlista;#ffff00;slutresultat_00K.xml
2010;kf;DP;DP;Drevvikenpartiet;#ccff33;slutresultat_00K.xml
2010;kf;EAP;EAP;Europeiska Arbetarpartiet-EAP;;slutresultat_00K.xml
2010;kf;EP;EP;EngelholmsPartiet;#ccff00;slutresultat_00K.xml
2010;kf;FAP;FAP;Falupartiet;#9933ff;slutresultat_00K.xml
2010;kf;FaV;FAV;Faluns väl;;slutresultat_00K.xml
2010;kf;fd;FD;Framtidsdemokraterna;#9933cc;slutresultat_00K.xml
2010;kf;FFK;FFK;Fram För Kommunen;#99ffcc;slutresultat_00K.xml
2010;kf;ffs;FFS;Folkkampanjen för sjukvården;#ffcc00;slutresultat_00K.xml
2010;kf;FHT;FHT;Folkhemmet i Hofors-Torsåker;#ffff00;slutresultat_00K.xml
2010;kf;Fil;FIL;Filipstadspartiet;#996600;slutresultat_00K.xml
2010;kf;FJK;FJK;Framtid i Jokkmokks kommun;;slutresultat_00K.xml
2010;kf;FKL;FKL;Frihetliga Kommunalfolket;#ffcc00;slutresultat_00K.xml
2010;kf;FL;FL;Framtidspartiet i Lekeberg;#00ff99;slutresultat_00K.xml
2010;kf;FNO;FNO;Fria Norrland;#999900;slutresultat_00K.xml
2010;kf;F o M;F O M;Folk och Miljö;#ffff00;slutresultat_00K.xml
2010;kf;FOV;FOV;Folkets Väl;#666600;slutresultat_00K.xml
2010;kf;FPO;FPO;Folkviljan på Orust;#cc9933;slutresultat_00K.xml
2010;kf;FPS;FPS;Framtidspartiet Sverige;#ffcc00;slutresultat_00K.xml
2010;kf;FRAMT;FRAMT;Framtidspartiet;#ffcc33;slutresultat_00K.xml
2010;kf;FRK;FRK;Frihetliga Kommunalfolket;#cc3333;slutresultat_00K.xml
2010;kf;FrPHU;FRPHU;Framtidspartiet - för hållbar utveckling;#cc00ff;slutresultat_00K.xml
2010;kf;FV;FV;Folkviljan;#66ffff;slutresultat_00K.xml
2010;kf;FYP;FYP;Föryngringspartiet (FYP);#ff9900;slutresultat_00K.xml
2010;kf;GKS;GKS;Göingepartiet Kommunal Samling;#666600;slutresultat_00K.xml
2010;kf;GL;GL;Grythyttelistan;#000000;slutresultat_00K.xml
2010;kf;GM;GM;Grums Medborgarparti;;slutresultat_00K.xml
2010;kf;Grp;GRP;Granskningspartiet;#9933ff;slutresultat_00K.xml
2010;kf;GÖF;GÖF;Götenes framtid;#669999;slutresultat_00K.xml
2010;kf;Hdp;HDP;Hedemorapartiet;#993333;slutresultat_00K.xml
2010;kf;HEL;HEL;Hela Edas Lista;#996600;slutresultat_00K.xml
2010;kf;HOB;HOB;Hällefors oberoende;#0033ff;slutresultat_00K.xml
2010;kf;HP;HP;Huddingepartiet;#ffcc00;slutresultat_00K.xml
2010;kf;HÖR;HÖR;Hörbypartiet;#666600;slutresultat_00K.xml
2010;kf;Jp;JP;Järna Partiet;#ccff00;slutresultat_00K.xml
2010;kf;KAL;KAL;Kommunalt Alternativ;#993366;slutresultat_00K.xml
2010;kf;KaMP;KAMP;Karlstads Medborgarparti;#996600;slutresultat_00K.xml
2010;kf;KB;KB;Kommunens Bästa (partipolitiskt obunden lista);#999933;slutresultat_00K.xml
2010;kf;Kbabo;KBABO;Kungsbackaborna;#cccc99;slutresultat_00K.xml
2010;kf;KBO;KBO;Kävlingebor;#ff9999;slutresultat_00K.xml
2010;kf;KF;KF;Kristianstadsbygdens Framtid;#00ffff;slutresultat_00K.xml
2010;kf;KFL;KFL;Kraftsamling för Ljusnarsberg;#339933;slutresultat_00K.xml
2010;kf;KiK;KIK;Kristna i Karlstad;#6600cc;slutresultat_00K.xml
2010;kf;KiM;KIM;Kommunpartiet i Mellerud;#66ffcc;slutresultat_00K.xml
2010;kf;Kirp;KIRP;Kirunapartiet;#990099;slutresultat_00K.xml
2010;kf;KL;KL;Kommunlistan;#ffcc00;slutresultat_00K.xml
2010;kf;KNEG;KNEG;Knegarkampanjen;;slutresultat_00K.xml
2010;kf;KNU;KNU;Knivsta.Nu;#ffcc00;slutresultat_00K.xml
2010;kf;KOF;KOF;Kommunens Framtid;#ffcccc;slutresultat_00K.xml
2010;kf;KOM;KOM;Kommunisterna;#ff9900;slutresultat_00K.xml
2010;kf;Komm.;KOMM.;Kommunisterna;;slutresultat_00K.xml
2010;kf;KOMM;KOMM;Kommunisterna;#999966;slutresultat_00K.xml
2010;kf;KOMMU;KOMMU;Kommunisterna;#999966;slutresultat_00K.xml
2010;kf;KomP;KOMP;Kommunpartiet;#cc00ff;slutresultat_00K.xml
2010;kf;Komv;KOMV;Kommunens Väl;#9966cc;slutresultat_00K.xml
2010;kf;Kop;KOP;Kopparpartiet;#ff9966;slutresultat_00K.xml
2010;kf;Kp;KP;Kommunpartiet - Vansbro;#cc00ff;slutresultat_00K.xml
2010;kf;KpMö;KPMÖ;Kommunpartiet i Mölndal;#66ffff;slutresultat_00K.xml
2010;kf;KSFF;KSFF;Kommunal Samverkan med Folket I Focus;#ff99cc;slutresultat_00K.xml
2010;kf;KV;KV;Kommunens Väl;#ffcc00;slutresultat_00K.xml
2010;kf;KVF;KVF;Kommunpartiet vår framtid;#009900;slutresultat_00K.xml
2010;kf;KVS;KVS;Kommunens Väl;#660099;slutresultat_00K.xml
2010;kf;KVT;KVT;Kommunens Väl;#ffcccc;slutresultat_00K.xml
2010;kf;KVäl;KVÄL;Kommunens Väl;#99ffff;slutresultat_00K.xml
2010;kf;KXP;KXP;Kalixpartiet;#ffccff;slutresultat_00K.xml
2010;kf;LA;LA;Laxåpartiet;#0099cc;slutresultat_00K.xml
2010;kf;Lap;LAP;Laholmspartiet;#9900ff;slutresultat_00K.xml
2010;kf;LBPO;LBPO;Landsbygdspartiet Oberoende;;slutresultat_00K.xml
2010;kf;LHK;LHK;Livskvalitet i Högsby Kommun;#cccc33;slutresultat_00K.xml
2010;kf;Lhp;LHP;Långshyttepartiet;#ffff00;slutresultat_00K.xml
2010;kf;LMO;LMO;Listan för Miljö och Omtanke, Örkelljunga;#ffccff;slutresultat_00K.xml
2010;kf;LNU;LNU;Lysekilspartiet.nu;#ccff00;slutresultat_00K.xml
2010;kf;L-P;L-P;Det Lokala Partiet i Heby kommun;#ffcc00;slutresultat_00K.xml
2010;kf;LP;LP;Lidingöpartiet;#ffff00;slutresultat_00K.xml
2010;kf;MaP;MAP;MariestadsPartiet;#66ffff;slutresultat_00K.xml
2010;kf;MBP;MBP;Markbygdspartiet;#99ffff;slutresultat_00K.xml
2010;kf;MDT;MDT;Mönsterås Demokratiska Trygghetsparti;#660000;slutresultat_00K.xml
2010;kf;MEF;MEF;MedborgarForum;#00ff00;slutresultat_00K.xml
2010;kf;Mfp;MFP;Mariefredspartiet;#99ccff;slutresultat_00K.xml
2010;kf;MFR;MFR;Mullsjö Framtid;#00ff00;slutresultat_00K.xml
2010;kf;ML;ML;Malålistan;#ffff00;slutresultat_00K.xml
2010;kf;MOD;MOD;Marks Oberoende Demokrater, MOD;#990099;slutresultat_00K.xml
2010;kf;MOP;MOP;Morapartiet;#9900ff;slutresultat_00K.xml
2010;kf;MR;MR;Miljöradikalerna i Lekeberg;;slutresultat_00K.xml
2010;kf;MS;MS;Medborgarnas Samlingsparti;#666600;slutresultat_00K.xml
2010;kf;m s p;M S P;Malung-Sälenpartiet;#993300;slutresultat_00K.xml
2010;kf;MV;MV;Mitt Val;#00ffff;slutresultat_00K.xml
2010;kf;MVG;MVG;Miljö- och Vänsterlistan i Gnosjö;#00ff00;slutresultat_00K.xml
2010;kf;MVT;MVT;Miljö- och Vänsterlistan i Tanum;#ccff00;slutresultat_00K.xml
2010;kf;N;N;Nordmarkspartiet;#996600;slutresultat_00K.xml
2010;kf;NB;NB;Nybyggarpartiet;#009966;slutresultat_00K.xml
2010;kf;NF;NF;Norrbottens Frihandelsparti;#993300;slutresultat_00K.xml
2010;kf;NKE;NKE;Nya Kommunpartiet Eslöv;#99ffcc;slutresultat_00K.xml
2010;kf;NL;NL;Nackalistan;#9900cc;slutresultat_00K.xml
2010;kf;NLV;NLV;Nya Listan i Vellinge;#ccffff;slutresultat_00K.xml
2010;kf;NO;NO;Ny Ordning (NO)-Partipolitiskt ob.;#669999;slutresultat_00K.xml
2010;kf;NOR;NOR;Norapartiet;#330099;slutresultat_00K.xml
2010;kf;NorrS;NORRS;Norrländska Samlingspartiet;#ffff00;slutresultat_00K.xml
2010;kf;NP;NP;Nykvarnspartiet;#ffff33;slutresultat_00K.xml
2010;kf;NS;NS;Norrbottens Sjukvårdsparti;#ffff00;slutresultat_00K.xml
2010;kf;NSP;NSP;Nya Sotenäspartiet;#9999ff;slutresultat_00K.xml
2010;kf;Ofa;OFA;Omsorg för alla;#ffcc00;slutresultat_00K.xml
2010;kf;OP;OP;Orustpartiet;#66cc00;slutresultat_00K.xml
2010;kf;OPA;OPA;Omsorgspartiet i Arboga;#ffcc33;slutresultat_00K.xml
2010;kf;PA;PA;Politiskt Alternativ;#ffff00;slutresultat_00K.xml
2010;kf;PF;PF;Perstorps Framtid;#cccc99;slutresultat_00K.xml
2010;kf;PK;PK;Pensionärspartiet Karlstad;#33ffff;slutresultat_00K.xml
2010;kf;PP(N);PP(N);Pensionärspartiet i Nynäshamns kommun;#9900cc;slutresultat_00K.xml
2010;kf;PPS;PPS;Pensionärspartiet i Södertälje;#ffff33;slutresultat_00K.xml
2010;kf;PrP;PRP;Prawda.se partiet;#ff0000;slutresultat_00K.xml
2010;kf;rd;RD;Rättvis Demokrati;#999900;slutresultat_00K.xml
2010;kf;RMS;RMS;RMS-Gul Front;#ffff00;slutresultat_00K.xml
2010;kf;ROP;ROP;Ronnebypartiet;#ffff66;slutresultat_00K.xml
2010;kf;ROSP;ROSP;ROSLAGSPARTIET borgerligt alternativ;#0099cc;slutresultat_00K.xml
2010;kf;RSE;RSE;Rättvisepartiet Socialisterna enhetslista för jobb - mot nedskärningar;#ffff00;slutresultat_00K.xml
2010;kf;Rättv;RÄTTV;RÄTT VÄG  för Gullspångs kommun;#6699ff;slutresultat_00K.xml
