ar;val;riksdagsvalkrets_id;riksdagsvalkrets_namn;kommun_id;kommun_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800111;Gunnared, Lövgärdets Centrum;44;44;0;0;67;81;0;0;170;172;0;0;143;135;0;0;78;92;0;0;1026
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800112;Gunnared, Övre Lövgärdet;51;63;0;0;131;123;0;0;276;259;0;0;158;140;0;0;79;111;0;0;1391
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800113;Gunnared, Nedre Lövgärdet;72;89;0;0;128;131;0;0;283;286;0;0;227;215;0;0;136;124;0;0;1691
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800121;Gunnared, Södra Rannebergen;37;48;0;0;106;114;0;0;256;240;0;0;153;159;0;0;117;159;0;0;1389
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800122;Gunnared, Norra Rannebergen;88;75;0;0;100;82;0;0;255;242;0;0;254;251;0;0;115;124;0;0;1586
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800131;Gunnared, Västra Gårdsten;36;31;0;0;69;49;0;0;151;184;0;0;114;105;0;0;75;89;0;0;903
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800132;Gunnared, Norra Gårdsten;56;57;0;0;125;115;0;0;288;247;0;0;170;149;0;0;98;71;0;0;1376
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800133;Gunnared, Östra Gårdsten;65;64;0;0;107;88;0;0;185;220;0;0;171;148;0;0;93;110;0;0;1251
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800134;Gunnared, Södra Gårdsten;36;26;0;0;79;72;0;0;214;183;0;0;101;69;0;0;58;56;0;0;894
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800141;Gunnared, Angereds Centrum;76;70;0;0;83;83;0;0;210;236;0;0;176;207;0;0;103;128;0;0;1372
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800142;Gunnared, Trädgårdsgärdet;53;59;0;0;88;89;0;0;148;207;0;0;164;176;0;0;81;79;0;0;1144
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800211;Lärjedalen, Agnesberg;23;32;0;0;49;43;0;0;124;95;0;0;129;116;0;0;92;94;0;0;797
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800221;Lärjedalen, Västra Hammarkullen;88;89;0;0;117;130;0;0;270;320;0;0;158;170;0;0;88;92;0;0;1522
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800222;Lärjedalen, Östra Hammarkullen;68;58;0;0;125;118;0;0;310;302;0;0;169;144;0;0;125;162;0;0;1581
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800223;Lärjedalen, Sandeslätt;61;62;0;0;108;110;0;0;214;215;0;0;158;158;0;0;93;99;0;0;1278
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800231;Lärjedalen, Gunnilse-Linnarhult;55;45;0;0;60;51;0;0;253;262;0;0;230;193;0;0;143;112;0;0;1404
2010;rd;16;Göteborgs kommun;1480;Göteborg;14800251;Lärjedalen, Björsared-Knipared;64;55;0;0;69;51;0;0;314;316;0;0;203;166;0;0;87;71;0;0;1396
