kod_2022;namn_2022;klass_2022;antal_2018;kod_2018;namn_2018;andel_av_2022;andel_av_2018;overlapp_m2;huvudkalla
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14801016;Majorna-Linné, Skytteskogen;0.1087;0.0280;10271.2;ja
14800530;Västra Centrum, Mariaplan;omritning;3;14801011;Majorna-Linné, Gröna Vallen;0.5212;0.4773;49284.3;ja
14800530;Västra Centrum, Mariaplan;omritning;3;14801015;Majorna-Linné, Mariaplan;0.2498;0.3111;23618.3;ja
14800530;Västra Centrum, Mariaplan;omritning;3;14801013;Majorna-Linné, Kungsladugård, Västra;0.2290;0.2098;21659.5;ja
14800531;Västra Centrum, Silverkällan;omritning;2;14801015;Majorna-Linné, Mariaplan;0.8704;0.6869;52144.0;ja
14800531;Västra Centrum, Silverkällan;omritning;2;14801022;Majorna-Linné, Silverkällan;0.1295;0.0683;7758.8;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14801022;Majorna-Linné, Silverkällan;0.8638;0.9317;105881.6;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14801021;Majorna-Linné, Sandarne;0.0741;0.0074;9085.3;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14801013;Majorna-Linné, Kungsladugård, Västra;0.0620;0.0736;7600.6;ja
14800533;Västra Centrum, Sandarne;identisk;1;14801021;Majorna-Linné, Sandarne;0.9999;0.9844;1207701.4;ja
14800534;Västra Centrum, Klippan;omritning;2;14801012;Majorna-Linné, Klippan;0.9777;0.9861;442201.1;ja
14800534;Västra Centrum, Klippan;omritning;2;14801021;Majorna-Linné, Sandarne;0.0218;0.0080;9859.9;ja
14800535;Västra Centrum, Gröna Vallen;omritning;2;14801011;Majorna-Linné, Gröna Vallen;0.8929;0.4993;51559.2;ja
14800535;Västra Centrum, Gröna Vallen;omritning;2;14801012;Majorna-Linné, Klippan;0.1071;0.0138;6183.0;ja
14800536;Västra Centrum, Kusttorget;identisk;1;14801036;Majorna-Linné, Majorna;0.9999;0.9999;467540.6;ja
14800537;Västra Centrum, Chapmans Torg;identisk;1;14801031;Majorna-Linné, Chapmans Torg;0.9999;0.9999;72438.9;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14801038;Majorna-Linné, Slottsskogsgatan m fl;0.9196;0.9999;126846.3;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14801032;Majorna-Linné, Godhem;0.0373;0.0523;5139.9;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14801034;Majorna-Linné, Gråberget, Östra;0.0260;0.0280;3588.9;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14801011;Majorna-Linné, Gröna Vallen;0.0170;0.0227;2338.7;nej
14800539;Västra Centrum, Gråberget Västra;delning;1;14801034;Majorna-Linné, Gråberget, Östra;0.9996;0.8347;107129.2;ja
14800540;Västra Centrum, Gråberget Östra;omritning;3;14801033;Majorna-Linné, Gråberget, Västra;0.8717;0.9997;146610.1;ja
14800540;Västra Centrum, Gråberget Östra;omritning;3;14801034;Majorna-Linné, Gråberget, Östra;0.1048;0.1373;17621.0;ja
14800540;Västra Centrum, Gråberget Östra;omritning;3;14801037;Majorna-Linné, Marieberg;0.0234;0.0535;3934.1;ja
14800541;Västra Centrum, Godhem;omritning;2;14801032;Majorna-Linné, Godhem;0.9535;0.9444;92866.7;ja
14800541;Västra Centrum, Godhem;omritning;2;14801044;Majorna-Linné, Klareborgsgatan m fl;0.0451;0.0659;4391.3;ja
14800541;Västra Centrum, Godhem;omritning;2;14801043;Majorna-Linné, Karl Johans torg;0.0012;0.0008;120.8;nej
14800542;Västra Centrum, Marieberg;omritning;2;14801037;Majorna-Linné, Marieberg;0.9481;0.9460;69526.7;ja
14800542;Västra Centrum, Marieberg;omritning;2;14801043;Majorna-Linné, Karl Johans torg;0.0519;0.0265;3809.6;ja
14800543;Västra Centrum, Klareborgsgatan m fl;omritning;2;14801044;Majorna-Linné, Klareborgsgatan m fl;0.7338;0.9340;62196.2;ja
14800543;Västra Centrum, Klareborgsgatan m fl;omritning;2;14801043;Majorna-Linné, Karl Johans torg;0.2661;0.1571;22555.9;ja
14800544;Västra Centrum, Karl Johan;delning;1;14801043;Majorna-Linné, Karl Johans torg;0.9999;0.7949;114116.4;ja
14800545;Västra Centrum, Söderlingska Ängen;identisk;1;14801045;Majorna-Linné, Söderlingska ängen;0.9840;0.9999;89553.6;ja
14800545;Västra Centrum, Söderlingska Ängen;identisk;1;14801061;Majorna-Linné, Änggården;0.0159;0.0003;1446.9;nej
14800546;Västra Centrum, Kommendörsgatan m fl;omritning;2;14801041;Majorna-Linné, Djurgårdsgatan m fl;0.9521;0.9998;58790.4;ja
14800546;Västra Centrum, Kommendörsgatan m fl;omritning;2;14801043;Majorna-Linné, Karl Johans torg;0.0479;0.0206;2957.1;ja
14800547;Västra Centrum, Hängmattan;identisk;1;14801035;Majorna-Linné, Hängmattan;0.9998;0.9998;81708.7;ja
14800548;Västra Centrum, Gatenhielmska;identisk;1;14801042;Majorna-Linné, Gatenhielmska;0.9999;0.9999;181873.3;ja
