kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14802101;Örgryte-Härlanda, Kålltorp, Norra;14802106;Örgryte-Härlanda, Munkebäck, Södra;4.4;0.1022;0.0808;0.0582;bada;M
14802102;Örgryte-Härlanda, Kålltorp, Södra;14802102;Örgryte-Härlanda, Kålltorp, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14802103;Örgryte-Härlanda, Kålltorp, Västra;14802103;Örgryte-Härlanda, Kålltorp, Västra;84.0;0.7481;0.8320;-0.0919;bada;M
14802103;Örgryte-Härlanda, Kålltorp, Västra;14802104;Örgryte-Härlanda, Kålltorp, Östra;16.0;0.2519;0.2685;0.0919;bada;M
14802104;Örgryte-Härlanda, Kålltorp, Östra;14802104;Örgryte-Härlanda, Kålltorp, Östra;100.0;1.0000;0.6597;-0.0000;bada;M
14802105;Örgryte-Härlanda, Munkebäck, Norra;14802105;Örgryte-Härlanda, Munkebäck, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14802106;Örgryte-Härlanda, Munkebäck, Södra;14802106;Örgryte-Härlanda, Munkebäck, Södra;64.0;0.6136;0.9192;-0.0264;bada;M
14802106;Örgryte-Härlanda, Munkebäck, Södra;14802101;Örgryte-Härlanda, Kålltorp, Norra;36.0;0.3864;0.5387;0.0264;bada;M
14802111;Örgryte-Härlanda, Fräntorp;14802111;Örgryte-Härlanda, Fräntorp;100.0;1.0000;0.9822;-0.0000;bada;M
14802112;Örgryte-Härlanda, Torpa;14802112;Örgryte-Härlanda, Torpa;86.6;0.9068;1.0000;0.0408;bada;M
14802112;Örgryte-Härlanda, Torpa;14802111;Örgryte-Härlanda, Fräntorp;13.4;0.0932;0.0178;-0.0408;bada;M
14802121;Örgryte-Härlanda, Björkekärr, Norra;14802121;Örgryte-Härlanda, Björkekärr, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14802122;Örgryte-Härlanda, Björkekärr, Södra;14802122;Örgryte-Härlanda, Björkekärr, Södra;100.0;0.9985;1.0000;-0.0015;bada;O
14802123;Örgryte-Härlanda, Björkekärr, Västra;14802123;Örgryte-Härlanda, Björkekärr, Västra;100.0;1.0000;1.0000;-0.0000;bada;O
14802124;Örgryte-Härlanda, Björkekärr, Östra;14802124;Örgryte-Härlanda, Björkekärr, Östra;100.0;1.0000;0.8373;-0.0000;bada;M
14802125;Örgryte-Härlanda, Robertshöjd m fl;14802125;Örgryte-Härlanda, Robertshöjd m fl;95.7;0.8590;1.0000;-0.0980;bada;M
14802125;Örgryte-Härlanda, Robertshöjd m fl;14802124;Örgryte-Härlanda, Björkekärr, Östra;4.3;0.1410;0.1627;0.0980;bada;M
14803011;Östra Göteborg, Bellevue;14803011;Östra Göteborg, Bellevue;63.5;0.8141;0.7522;0.1791;bada;M
14803011;Östra Göteborg, Bellevue;14803013;Östra Göteborg, Gamlestaden, Norra;36.5;0.1859;0.3794;-0.1791;bada;M
14803012;Östra Göteborg, Gamlestaden;14803014;Östra Göteborg, Gamlestaden, Södra;70.2;0.9026;1.0000;0.2006;bada;M
14803012;Östra Göteborg, Gamlestaden;14803013;Östra Göteborg, Gamlestaden, Norra;29.8;0.0974;0.1880;-0.2006;bada;M
14803013;Östra Göteborg, Kviberg, Västra;14803015;Östra Göteborg, Kviberg, Västra;75.8;0.9275;1.0000;0.1695;bada;M
14803013;Östra Göteborg, Kviberg, Västra;14803011;Östra Göteborg, Bellevue;24.2;0.0725;0.2478;-0.1695;bada;M
14803014;Östra Göteborg, Kviberg, Östra;14803016;Östra Göteborg, Kviberg, Östra;61.3;0.9216;1.0000;0.3086;bada;M
