kod;namn;area_m2;andel_i_majorna;andel_av_majorna;klass
14800533;Västra Centrum, Sandarne;1207782.3;1.0000;0.2594;inne
14800536;Västra Centrum, Kusttorget;467583.5;1.0000;0.1004;inne
14800534;Västra Centrum, Klippan;452276.6;1.0000;0.0971;inne
14800527;Västra Centrum, Skytteskogen;346640.3;1.0000;0.0745;inne
14800526;Västra Centrum, Svalebo;346525.6;1.0000;0.0744;inne
14800548;Västra Centrum, Gatenhielmska;181890.8;1.0000;0.0391;inne
14800540;Västra Centrum, Gråberget Östra;168194.1;1.0000;0.0361;inne
14800538;Västra Centrum, Slottsskogsgat. m fl;137930.5;1.0000;0.0296;inne
14800528;Västra Centrum, Kungsladugård Östra;133588.7;1.0000;0.0287;inne
14800532;Västra Centrum, Sannaplan;122582.5;1.0000;0.0263;inne
14800544;Västra Centrum, Karl Johan;114127.2;1.0000;0.0245;inne
14800539;Västra Centrum, Gråberget Västra;107169.3;1.0000;0.0230;inne
14800541;Västra Centrum, Godhem;97394.7;1.0000;0.0209;inne
14800530;Västra Centrum, Mariaplan;94566.6;1.0000;0.0203;inne
14800529;Västra Centrum, Kungsladugård Västra;94515.4;1.0000;0.0203;inne
14800545;Västra Centrum, Söderlingska Ängen;91005.9;1.0000;0.0195;inne
14800543;Västra Centrum, Klareborgsgatan m fl;84763.9;1.0000;0.0182;inne
14800547;Västra Centrum, Hängmattan;81722.4;1.0000;0.0176;inne
14800542;Västra Centrum, Marieberg;73336.3;1.0000;0.0158;inne
14800537;Västra Centrum, Chapmans Torg;72449.0;1.0000;0.0156;inne
14800546;Västra Centrum, Kommendörsgatan m fl;61747.8;1.0000;0.0133;inne
14800531;Västra Centrum, Silverkällan;59909.6;1.0000;0.0129;inne
14800535;Västra Centrum, Gröna Vallen;57744.5;1.0000;0.0124;inne
