ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2022;rd;14800126;Nordöstra Göteborg, Senapsgatan m fl;Göteborgs kommun;415;1;0;1;416;883;47.11;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800127;Nordöstra Göteborg, Mejramgatan m fl;Göteborgs kommun;437;2;0;2;439;819;53.60;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800128;Nordöstra Göteborg, Lövgärdet Övre;Göteborgs kommun;550;3;0;3;553;936;59.08;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800129;Nordöstra Göteborg, Lövgärdet Nedre;Göteborgs kommun;518;4;0;4;522;886;58.92;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800130;Nordöstra Göteborg, Trädgårdsgärdet;Göteborgs kommun;483;4;3;7;490;804;60.95;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800131;Nordöstra Göteborg, Titteridamm;Göteborgs kommun;669;8;1;9;678;1011;67.06;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800132;Nordöstra Göteborg, Rannebergen S;Göteborgs kommun;586;10;1;11;597;1042;57.29;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800133;Nordöstra Göteborg, Rannebergen C;Göteborgs kommun;604;4;0;4;608;1111;54.73;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800134;Nordöstra Göteborg, Rannebergen N;Göteborgs kommun;734;1;0;1;735;1061;69.27;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800201;Östra Göteborg, Rymdtorget;Göteborgs kommun;404;4;0;4;408;867;47.06;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800202;Östra Göteborg, Gärdsmosse;Göteborgs kommun;504;2;0;5;509;946;53.81;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800203;Östra Göteborg, Tellusgatan m fl;Göteborgs kommun;607;5;0;5;612;1094;55.94;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
