ar_fg;val;kod_2018;namn_2018;giltiga_2018;giltiga_fgval;rostande_2018;rostande_fgval;rostberattigade_2018;rostberattigade_fgval;valdeltagande_2018;valdeltagande_fgval;indelning
2014;rf;14801108;Centrum, Mossen;772;;793;;1015;;78.13;;Modifierad
2014;rf;14801109;Centrum, Olofshöjd;687;638;703;653;1120;1125;62.77;58.04;
2014;rf;14801111;Centrum, Eklanda Norra;942;;954;;1107;;86.18;;Modifierad
2014;rf;14801112;Centrum, Eklanda Södra;951;;963;;1135;;84.85;;Modifierad
2014;rf;14801113;Centrum, Johanneberg, Nedre;1264;;1279;;1444;;88.57;;Modifierad
2014;rf;14801114;Centrum, Johanneberg, Västra;885;;896;;1041;;86.07;;Modifierad
2014;rf;14801115;Centrum, Johanneberg, Östra;937;;946;;1118;;84.62;;Modifierad
2014;rf;14801116;Centrum, Johanneberg, Övre;891;;902;;1106;;81.56;;Modifierad
2014;rf;14801121;Centrum, Landala;1198;1118;1212;1126;1415;1334;85.65;84.41;
2014;rf;14801122;Centrum, Landalabergen m fl;1194;1186;1217;1200;1516;1522;80.28;78.84;
2014;rf;14801123;Centrum, Landalagången m fl;1023;882;1035;892;1302;1182;79.49;75.47;
2014;rf;14801131;Centrum, Doktor Forselius Backe m fl;1023;;1030;;1303;;79.05;;Modifierad
2014;rf;14801132;Centrum, Guldheden Vattentornet;1150;;1169;;1395;;83.80;;Modifierad
2014;rf;14801133;Centrum, Guldheden Östra;935;;949;;1121;;84.66;;Modifierad
2014;rf;14801134;Centrum, Guldheden, Centrala;990;960;1011;974;1217;1205;83.07;80.83;
2014;rf;14801135;Centrum, Guldheden, Norra;1020;;1030;;1156;;89.10;;Modifierad
2014;rf;14801136;Centrum, Guldheden, Södra;1126;1090;1139;1102;1344;1323;84.75;83.30;
2014;rf;14801137;Centrum, Landala Egnahem;1082;;1091;;1190;;91.68;;Modifierad
2014;rf;14801141;Centrum, Lorensberg;1169;;1180;;1357;;86.96;;Modifierad
2014;rf;14801151;Centrum, Fogelbergsparken;983;;992;;1118;;88.73;;Modifierad
2014;rf;14801152;Centrum, Valand;941;950;945;960;1168;1169;80.91;82.12;
2014;rf;14801153;Centrum, Vasastaden, Norra;1034;;1046;;1289;;81.15;;Modifierad
2014;rf;14801154;Centrum, Vasastaden, Södra;1057;;1066;;1228;;86.81;;Modifierad
2014;rf;14801155;Centrum, Vasastaden, Östra;1016;;1026;;1226;;83.69;;Modifierad
2014;rf;14801161;Centrum, Inom Vallgraven;1120;;1133;;1377;;82.28;;Modifierad
2014;rf;14801162;Centrum, Nordstan;956;;963;;1246;;77.29;;Modifierad
2014;rf;14801163;Centrum, Otterhällan;871;;883;;1043;;84.66;;Modifierad
2014;rf;14801171;Centrum, Friggagatan m fl;954;;965;;1176;;82.06;;Modifierad
2014;rf;14801172;Centrum, Gårda, Norra;941;974;948;982;1120;1152;84.64;85.24;
2014;rf;14801173;Centrum, Odinsgatan m fl;957;;973;;1171;;83.09;;Modifierad
2014;rf;14801174;Centrum, Stampen;1179;;1198;;1414;;84.72;;Modifierad
2014;rf;14801175;Centrum, Svingeln;972;;985;;1199;;82.15;;Modifierad
2014;rf;14801181;Centrum, Bohusgatan m fl;678;;693;;789;;87.83;;Modifierad
2014;rf;14801182;Centrum, Gårda, Södra;810;;819;;1017;;80.53;;Modifierad
2014;rf;14801183;Centrum, Heden;1070;;1085;;1264;;85.84;;Modifierad
2014;rf;14801184;Centrum, Hedås;1192;;1205;;1432;;84.15;;Modifierad
2014;rf;14801185;Centrum, Sten Sturegatan m fl;751;;762;;950;;80.21;;Modifierad
2014;rf;14802011;Örgryte-Härlanda, Gubbero;1014;972;1027;984;1284;1240;79.98;79.35;
2014;rf;14802012;Örgryte-Härlanda, Olskroken;1076;1035;1085;1050;1375;1377;78.91;76.25;
2014;rf;14802013;Örgryte-Härlanda, Redberget;996;949;1015;965;1192;1189;85.15;81.16;
2014;rf;14802014;Örgryte-Härlanda, Redbergsplatsen;978;945;987;960;1199;1171;82.32;81.98;
2014;rf;14802021;Örgryte-Härlanda, Bagaregården;1037;;1045;;1205;;86.72;;Modifierad
2014;rf;14802022;Örgryte-Härlanda, Ånäs;1170;;1180;;1364;;86.51;;Modifierad
2014;rf;14802031;Örgryte-Härlanda, Strömmensberg, V;1106;;1122;;1333;;84.17;;Modifierad
2014;rf;14802032;Örgryte-Härlanda, Strömmensberg, Ö;1193;1072;1208;1092;1439;1404;83.95;77.78;
2014;rf;14802041;Örgryte-Härlanda, Kallebäck, Norra;790;;801;;1028;;77.92;;Modifierad
2014;rf;14802042;Örgryte-Härlanda, Kallebäck, Västra;675;;678;;962;;70.48;;Modifierad
2014;rf;14802043;Örgryte-Härlanda, Kallebäck, Östra;895;;907;;1138;;79.70;;Modifierad
2014;rf;14802051;Örgryte-Härlanda, Jakobsdal;1198;1157;1208;1171;1374;1377;87.92;85.04;
2014;rf;14802052;Örgryte-Härlanda, Skår, Norra;972;943;978;950;1095;1082;89.32;87.80;
2014;rf;14802053;Örgryte-Härlanda, Skår, Södra;1121;1055;1127;1064;1239;1226;90.96;86.79;
2014;rf;14802061;Örgryte-Härlanda, Bö;864;863;875;874;986;983;88.74;88.91;
2014;rf;14802062;Örgryte-Härlanda, Örgryte;839;832;846;839;1033;1003;81.90;83.65;
2014;rf;14802071;Örgryte-Härlanda, Stora Torp;897;;904;;996;;90.76;;Modifierad
2014;rf;14802072;Örgryte-Härlanda, Lilla Torp;1387;;1401;;1583;;88.50;;Modifierad
2014;rf;14802081;Örgryte-Härlanda, Danska vägen m fl;1031;;1046;;1255;;83.35;;Modifierad
2014;rf;14802082;Örgryte-Härlanda, Kärralund, Norra;1013;;1022;;1223;;83.57;;Modifierad
2014;rf;14802083;Örgryte-Härlanda, Kärralund, Södra;1099;;1114;;1301;;85.63;;Modifierad
2014;rf;14802084;Örgryte-Härlanda, Lunden, Gamla;1049;;1061;;1263;;84.01;;Modifierad
2014;rf;14802085;Örgryte-Härlanda, Lunden, Nya;959;;974;;1152;;84.55;;Modifierad
2014;rf;14802086;Örgryte-Härlanda, Nobelplatsen;974;;989;;1174;;84.24;;Modifierad
2014;rf;14802087;Örgryte-Härlanda, Sankt Pauli;1103;;1121;;1296;;86.50;;Modifierad
2014;rf;14802088;Örgryte-Härlanda, Överås;898;;908;;1090;;83.30;;Modifierad
2014;rf;14802091;Örgryte-Härlanda, Härlanda;1123;1087;1138;1102;1277;1276;89.12;86.36;
2014;rf;14802101;Örgryte-Härlanda, Kålltorp, Norra;948;;965;;1194;;80.82;;Modifierad
2014;rf;14802102;Örgryte-Härlanda, Kålltorp, Södra;1062;1014;1070;1033;1245;1220;85.94;84.67;
2014;rf;14802103;Örgryte-Härlanda, Kålltorp, Västra;1135;;1150;;1351;;85.12;;Modifierad
2014;rf;14802104;Örgryte-Härlanda, Kålltorp, Östra;1107;;1130;;1356;;83.33;;Modifierad
2014;rf;14802105;Örgryte-Härlanda, Munkebäck, Norra;923;910;941;925;1120;1158;84.02;79.88;
2014;rf;14802106;Örgryte-Härlanda, Munkebäck, Södra;775;;785;;915;;85.79;;Modifierad
2014;rf;14802111;Örgryte-Härlanda, Fräntorp;1250;;1269;;1440;;88.13;;Modifierad
2014;rf;14802112;Örgryte-Härlanda, Torpa;1260;;1274;;1605;;79.38;;Modifierad
2014;rf;14802121;Örgryte-Härlanda, Björkekärr, Norra;817;743;825;756;954;904;86.48;83.63;
2014;rf;14802122;Örgryte-Härlanda, Björkekärr, Södra;1296;1222;1311;1236;1451;1397;90.35;88.48;
2014;rf;14802123;Örgryte-Härlanda, Björkekärr, Västra;1027;1001;1037;1014;1361;1375;76.19;73.75;
2014;rf;14802124;Örgryte-Härlanda, Björkekärr, Östra;1013;;1022;;1352;;75.59;;Modifierad
2014;rf;14802125;Örgryte-Härlanda, Robertshöjd m fl;1168;;1181;;1496;;78.94;;Modifierad
2014;rf;14803011;Östra Göteborg, Bellevue;897;;905;;1222;;74.06;;Modifierad
2014;rf;14803012;Östra Göteborg, Bellevue Park;935;;948;;1095;;86.58;;Modifierad
2014;rf;14803013;Östra Göteborg, Gamlestaden, Norra;1069;;1080;;1439;;75.05;;Modifierad
2014;rf;14803014;Östra Göteborg, Gamlestaden, Södra;745;;760;;957;;79.41;;Modifierad
2014;rf;14803015;Östra Göteborg, Kviberg, Västra;883;;904;;1219;;74.16;;Modifierad
2014;rf;14803016;Östra Göteborg, Kviberg, Östra;899;;907;;1062;;85.40;;Modifierad
2014;rf;14803017;Östra Göteborg, Nylöse;664;;671;;1060;;63.30;;Modifierad
2014;rf;14803021;Östra Göteborg, Fjällbo;1285;1204;1301;1223;1568;1539;82.97;79.47;
2014;rf;14803022;Östra Göteborg, Utby;1346;1287;1356;1308;1495;1476;90.70;88.62;
2014;rf;14803023;Östra Göteborg, Utbynäs;980;920;1001;939;1172;1131;85.41;83.02;
2014;rf;14803031;Östra Göteborg, Förstamajgatan m fl;763;;768;;1197;;64.16;;Modifierad
2014;rf;14803032;Östra Göteborg, Gregorianska g. m fl;904;877;917;886;1427;1503;64.26;58.95;
2014;rf;14803033;Östra Göteborg, Kortedala Centrum;744;;754;;1220;;61.80;;Modifierad
2014;rf;14803034;Östra Göteborg, Kortedala, Södra;971;963;982;972;1310;1339;74.96;72.59;
2014;rf;14803035;Östra Göteborg, Kortedala, Västra;937;;953;;1363;;69.92;;Modifierad
