ar;val;riksdagsvalkrets_id;riksdagsvalkrets_namn;kommun_id;kommun_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801011;Majorna-Linné, Gröna Vallen;25;25;0;0;98;113;0;0;270;299;0;0;146;179;0;0;75;86;0;0;1316
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801012;Majorna-Linné, Klippan;17;22;0;0;73;86;0;0;222;240;0;0;138;167;0;0;93;103;0;0;1161
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801013;Majorna-Linné, Kungsladugård, Västra;19;29;0;0;141;168;0;0;217;264;0;0;107;159;0;0;52;81;0;0;1237
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801014;Majorna-Linné, Kungsladugård, Östra;16;21;0;0;99;114;0;0;280;259;0;0;105;113;0;0;48;75;0;0;1130
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801015;Majorna-Linné, Mariaplan;22;20;0;0;69;91;0;0;236;273;0;0;128;137;0;0;44;44;0;0;1064
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801016;Majorna-Linné, Skytteskogen;33;46;0;0;73;96;0;0;181;193;0;0;187;172;0;0;201;207;0;0;1389
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801017;Majorna-Linné, Svalebo;34;24;0;0;88;108;0;0;197;169;0;0;121;132;0;0;106;170;0;0;1149
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801021;Majorna-Linné, Sandarne;20;24;0;0;135;174;0;0;273;247;0;0;97;122;0;0;54;66;0;0;1212
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801022;Majorna-Linné, Silverkällan;18;16;0;0;81;106;0;0;223;246;0;0;133;142;0;0;53;60;0;0;1078
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801031;Majorna-Linné, Chapmans Torg;20;15;0;0;88;81;0;0;184;156;0;0;99;108;0;0;122;165;0;0;1038
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801032;Majorna-Linné, Godhem;13;21;0;0;89;98;0;0;240;299;0;0;132;132;0;0;92;83;0;0;1199
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801033;Majorna-Linné, Gråberget, Västra;4;9;0;0;86;101;0;0;219;176;0;0;80;78;0;0;69;101;0;0;923
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801034;Majorna-Linné, Gråberget, Östra;4;12;0;0;87;78;0;0;205;180;0;0;109;112;0;0;164;223;0;0;1174
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801035;Majorna-Linné, Hängmattan;20;22;0;0;63;60;0;0;210;241;0;0;139;159;0;0;76;120;0;0;1110
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801036;Majorna-Linné, Majorna;10;16;0;0;87;121;0;0;195;175;0;0;107;126;0;0;114;180;0;0;1131
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801037;Majorna-Linné, Marieberg;13;15;0;0;77;77;0;0;230;256;0;0;126;168;0;0;55;73;0;0;1090
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801038;Majorna-Linné, Slottsskogsgatan m fl;14;9;0;0;76;99;0;0;185;182;0;0;95;120;0;0;95;126;0;0;1001
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801041;Majorna-Linné, Djurgårdsgatan m fl;13;28;0;0;63;95;0;0;270;304;0;0;100;139;0;0;67;63;0;0;1142
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801042;Majorna-Linné, Gatenhielmska;30;23;0;0;105;116;0;0;277;290;0;0;129;125;0;0;100;116;0;0;1311
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801043;Majorna-Linné, Karl Johans torg;26;23;0;0;92;110;0;0;259;285;0;0;98;140;0;0;67;81;0;0;1181
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801044;Majorna-Linné, Klareborgsgatan m fl;18;21;0;0;95;98;0;0;249;271;0;0;85;127;0;0;65;74;0;0;1103
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801045;Majorna-Linné, Söderlingska ängen;29;21;0;0;89;126;0;0;248;284;0;0;129;142;0;0;55;69;0;0;1192
2018;rd;16;Göteborgs kommun;1480;Göteborg;14801051;Majorna-Linné, Masthugget, Nedre;17;22;0;0;84;77;0;0;168;129;0;0;120;125;0;0;118;140;0;0;1000
