ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2010;kf;14801313;Askim, Askim;Göteborg, Väster;925;2;0;2;927;1058;87.62;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801331;Askim, Billdal;Göteborg, Väster;1629;4;0;4;1633;1825;89.48;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801334;Askim, Brottkärr;Göteborg, Väster;732;1;1;2;734;832;88.22;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801311;Askim, Hult;Göteborg, Väster;1119;4;0;4;1123;1255;89.48;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801336;Askim, Lindås;Göteborg, Väster;1086;3;0;3;1089;1201;90.67;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801335;Askim, Lyckhem;Göteborg, Väster;1047;5;0;5;1052;1201;87.59;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801316;Askim, Norra Hovås;Göteborg, Väster;921;5;0;5;926;1098;84.34;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801314;Askim, Norra Sisjön;Göteborg, Väster;1269;7;0;7;1276;1510;84.5;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801332;Askim, Nygård;Göteborg, Väster;1089;2;5;7;1096;1230;89.11;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801312;Askim, Pilegården;Göteborg, Väster;944;15;0;15;959;1211;79.19;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801333;Askim, Skintebo;Göteborg, Väster;1063;11;0;11;1074;1199;89.57;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801321;Askim, Södra Hovås;Göteborg, Väster;863;3;0;3;866;1007;86;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801315;Askim, Södra Sisjön;Göteborg, Väster;1341;5;0;5;1346;1470;91.56;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801322;Askim, Trollåsen;Göteborg, Väster;1154;2;0;2;1156;1301;88.85;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802013;Backa, Aröd;Göteborg, Hisingen;1404;10;0;10;1414;1908;74.11;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802022;Backa, Backa Röd;Göteborg, Hisingen;1012;13;3;16;1028;1686;60.97;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802032;Backa, Backadalen;Göteborg, Hisingen;985;2;0;2;987;1432;68.92;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802012;Backa, Brunnsbo;Göteborg, Hisingen;1140;8;0;8;1148;1616;71.04;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802031;Backa, Bäckebol;Göteborg, Hisingen;696;2;0;2;698;1003;69.59;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802024;Backa, Bällskär;Göteborg, Hisingen;830;8;0;8;838;1009;83.05;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802023;Backa, Norra Backa;Göteborg, Hisingen;1130;13;0;13;1143;1703;67.12;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802033;Backa, Selma Lagerlöfs torg;Göteborg, Hisingen;662;4;0;4;666;1068;62.36;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802041;Backa, Skogome-Sankt Jörgen;Göteborg, Hisingen;1468;9;2;11;1479;1830;80.82;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802034;Backa, Skälltorp;Göteborg, Hisingen;1301;10;4;14;1315;1713;76.77;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802021;Backa, Södra Backa;Göteborg, Hisingen;1054;6;0;6;1060;1362;77.83;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802011;Backa, Tingstad;Göteborg, Hisingen;1104;10;1;11;1115;1445;77.16;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14802035;Backa, Åketorp;Göteborg, Hisingen;1506;10;0;10;1516;1668;90.89;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800413;Bergsjön, Gärdsmosse;Göteborg, Öster;684;7;1;8;692;1556;44.47;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800411;Bergsjön, Gärdsås;Göteborg, Öster;724;1;1;2;726;997;72.82;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800424;Bergsjön, Komettorget;Göteborg, Öster;801;3;1;4;805;1437;56.02;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800414;Bergsjön, Norra Bergsjön;Göteborg, Öster;643;9;0;9;652;1001;65.13;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800423;Bergsjön, Rymdtorget;Göteborg, Öster;492;3;0;3;495;979;50.56;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800412;Bergsjön, Siriusgatan;Göteborg, Öster;1011;11;0;11;1022;1776;57.55;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800421;Bergsjön, Södra Bergsjön;Göteborg, Öster;814;11;0;11;825;1446;57.05;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14800422;Bergsjön, Östra Bergsjön;Göteborg, Öster;853;0;1;1;854;1550;55.1;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801732;Biskopsgården, Badvädersgatan m fl;Göteborg, Hisingen;824;8;0;8;832;1295;64.25;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801751;Biskopsgården, Jättesten;Göteborg, Hisingen;1215;9;0;9;1224;1780;68.76;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801753;Biskopsgården, Kärrsmossen;Göteborg, Hisingen;1264;8;0;8;1272;1780;71.46;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801722;Biskopsgården, Länsmansgårdens Centr;Göteborg, Hisingen;772;6;2;8;780;1284;60.75;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801712;Biskopsgården, Norra Biskopsgården;Göteborg, Hisingen;718;5;0;5;723;1310;55.19;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801723;Biskopsgården, Norra Länsmansgården;Göteborg, Hisingen;773;7;1;8;781;1159;67.39;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
2010;kf;14801731;Biskopsgården, Stackmolnsgatan m fl;Göteborg, Hisingen;1050;6;1;7;1057;1604;65.9;slutligt_valresultat_valdistrikt_K_antal.xls + slutligt_valresultat_valdistrikt_K_procent.xls
