ar;val;parti;roster_areametod;roster_fgval;skillnad;omfattning
2010;rd;KD;477;477;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;L;879;879;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;M;2682;2682;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;MP;3147;3147;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;ND;1;0;-1;delmangd: bara distrikt dar FGVAL finns
2010;rd;PP;119;119;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;RS;4;4;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;S;3033;3033;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;SD;582;582;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;SJVP;0;0;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;SKP;1;1;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;SPI;0;0;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;SVP;1;1;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;V;2878;2878;0;delmangd: bara distrikt dar FGVAL finns
2010;rd;ÖVRIGA_FGVAL;0;4;4;delmangd: bara distrikt dar FGVAL finns
2010;kf;0450;1;1;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;1016;43;43;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;1027;1;0;-1;delmangd: bara distrikt dar FGVAL finns
2010;kf;C;304;304;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;FI;486;486;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;HANDSKRIVNA;13;13;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;K;324;324;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;KD;303;303;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;L;895;895;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;M;2176;2176;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;MP;2828;2828;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;ND;0;0;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;PP;100;100;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;RS;40;40;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;S;3670;3670;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;SD;463;463;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;SOC.P;55;55;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;SPI;0;0;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;TOP;0;1;1;delmangd: bara distrikt dar FGVAL finns
2010;kf;V;2454;2454;0;delmangd: bara distrikt dar FGVAL finns
2010;kf;VÄGV;508;508;0;delmangd: bara distrikt dar FGVAL finns
