kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14805222;Västra Göteborg, Opaltorget, Södra;O;identisk;1;14805222;1.0000;1.0000;ja
14805231;Askim-Frölunda-Högsbo, Askim;O;identisk;1;14805231;1.0000;1.0000;ja
14805232;Askim-Frölunda-Högsbo, Hovås, Norra;O;identisk;1;14805232;1.0000;1.0000;ja
14805233;Askim-Frölunda-Högsbo, Hult;O;identisk;1;14805233;1.0000;1.0000;ja
14805234;Askim-Frölunda-Högsbo, Pilegården;O;identisk;1;14805234;1.0000;1.0000;ja
14805235;Askim-Frölunda-Högsbo, Sisjön, N;M;omritning;2;14805235;0.8838;0.6597;nej
14805236;Askim-Frölunda-Högsbo, Sisjön, S;M;delning;1;14805236;1.0000;0.8091;nej
14805237;Askim-Frölunda-Högsbo, Sisjön, V;M;delning;1;14805235;1.0000;0.3403;nej
14805241;Askim-Frölunda-Högsbo, Hovås, Södra;O;identisk;1;14805241;1.0000;1.0000;ja
14805242;Askim-Frölunda-Högsbo, Trollåsen;O;identisk;1;14805242;1.0000;1.0000;ja
14805251;Askim-Frölunda-Högsbo, Billdal, N;M;omritning;2;14805251;0.6164;0.2073;nej
14805252;Askim-Frölunda-Högsbo, Billdal, S;M;delning;1;14805251;1.0000;0.7922;nej
14805253;Askim-Frölunda-Högsbo, Brottkärr;O;identisk;1;14805252;1.0000;1.0000;nej
