kod_2006;namn_2006;kod_2022;namn_2022;overlapp_m2;andel_av_2006;andel_av_2022
14800101;Backa-Brunnsbo 1;14801022;Norra Hisingen, Tingstad;1389791.7;0.5997;0.9260
14800101;Backa-Brunnsbo 1;14801025;Norra Hisingen, Brunnsbo Norra;883384.1;0.3812;0.7727
14800101;Backa-Brunnsbo 1;14801024;Norra Hisingen, Folkvisegatan m fl;14884.2;0.0064;0.1802
14800101;Backa-Brunnsbo 1;14801019;Norra Hisingen, Backa Södra;11159.0;0.0048;0.0287
14800101;Backa-Brunnsbo 1;14801026;Norra Hisingen, Aröd;5468.5;0.0024;0.0049
14800101;Backa-Brunnsbo 1;14801021;Norra Hisingen, Bällskär;4264.9;0.0018;0.0043
14800101;Backa-Brunnsbo 1;14800917;Centrala Hisingen, Lundbyvassen;4206.3;0.0018;0.0013
14800101;Backa-Brunnsbo 1;14801018;Norra Hisingen, Blendas Gata m fl;3958.2;0.0017;0.0251
14800101;Backa-Brunnsbo 1;14801023;Norra Hisingen, Brunnsbo Södra;212.3;0.0001;0.0015
14800102;Backa-Brunnsbo 2;14801024;Norra Hisingen, Folkvisegatan m fl;67704.4;0.5026;0.8197
14800102;Backa-Brunnsbo 2;14801023;Norra Hisingen, Brunnsbo Södra;66812.9;0.4960;0.4668
14800102;Backa-Brunnsbo 2;14801025;Norra Hisingen, Brunnsbo Norra;155.9;0.0012;0.0001
14800102;Backa-Brunnsbo 2;14801022;Norra Hisingen, Tingstad;24.9;0.0002;0.0000
14800103;Backa-Brunnsbo 3;14801026;Norra Hisingen, Aröd;1099874.6;0.7498;0.9922
14800103;Backa-Brunnsbo 3;14801025;Norra Hisingen, Brunnsbo Norra;113899.2;0.0776;0.0996
14800103;Backa-Brunnsbo 3;14801022;Norra Hisingen, Tingstad;109943.6;0.0749;0.0733
14800103;Backa-Brunnsbo 3;14801023;Norra Hisingen, Brunnsbo Södra;76105.3;0.0519;0.5317
14800103;Backa-Brunnsbo 3;14801015;Norra Hisingen, Sankt Jörgen;66836.9;0.0456;0.0795
14800103;Backa-Brunnsbo 3;14801027;Norra Hisingen, Tuve Södra;267.2;0.0002;0.0001
14800103;Backa-Brunnsbo 3;14801024;Norra Hisingen, Folkvisegatan m fl;4.9;0.0000;0.0001
14800103;Backa-Brunnsbo 3;14800916;Centrala Hisingen, Backaplan;0.7;0.0000;0.0000
14800103;Backa-Brunnsbo 3;14801016;Norra Hisingen, Backa Röd;0.0;0.0000;0.0000
14800104;Backa-Brunnsbo 4;14801016;Norra Hisingen, Backa Röd;529600.8;0.6583;0.8309
14800104;Backa-Brunnsbo 4;14801018;Norra Hisingen, Blendas Gata m fl;104950.1;0.1305;0.6656
14800104;Backa-Brunnsbo 4;14801025;Norra Hisingen, Brunnsbo Norra;83911.8;0.1043;0.0734
14800104;Backa-Brunnsbo 4;14801017;Norra Hisingen, Julias Gata m fl;82226.9;0.1022;1.0000
14800104;Backa-Brunnsbo 4;14801026;Norra Hisingen, Aröd;2831.1;0.0035;0.0026
14800104;Backa-Brunnsbo 4;14801019;Norra Hisingen, Backa Södra;463.3;0.0006;0.0012
14800104;Backa-Brunnsbo 4;14801015;Norra Hisingen, Sankt Jörgen;438.3;0.0005;0.0005
14800104;Backa-Brunnsbo 4;14801014;Norra Hisingen, Selma Lagerlöfs Torg;66.1;0.0001;0.0001
14800105;Backa-Brunnsbo 5;14801019;Norra Hisingen, Backa Södra;177936.4;0.4903;0.4569
14800105;Backa-Brunnsbo 5;14801016;Norra Hisingen, Backa Röd;107767.0;0.2970;0.1691
14800105;Backa-Brunnsbo 5;14801020;Norra Hisingen, Backa Norra;76718.1;0.2114;0.0924
14800105;Backa-Brunnsbo 5;14801014;Norra Hisingen, Selma Lagerlöfs Torg;352.9;0.0010;0.0005
14800105;Backa-Brunnsbo 5;14801021;Norra Hisingen, Bällskär;102.9;0.0003;0.0001
14800106;Backa-Brunnsbo 6;14801021;Norra Hisingen, Bällskär;775084.0;0.5752;0.7891
14800106;Backa-Brunnsbo 6;14801020;Norra Hisingen, Backa Norra;572137.6;0.4246;0.6892
14800106;Backa-Brunnsbo 6;14801011;Norra Hisingen, Backadalen;181.2;0.0001;0.0002
14800106;Backa-Brunnsbo 6;14801019;Norra Hisingen, Backa Södra;48.1;0.0000;0.0001
14800106;Backa-Brunnsbo 6;14801022;Norra Hisingen, Tingstad;0.6;0.0000;0.0000
14800107;Backa-Brunnsbo 7;14801021;Norra Hisingen, Bällskär;202721.0;0.3943;0.2064
14800107;Backa-Brunnsbo 7;14801019;Norra Hisingen, Backa Södra;199845.5;0.3887;0.5131
14800107;Backa-Brunnsbo 7;14801025;Norra Hisingen, Brunnsbo Norra;61889.7;0.1204;0.0541
14800107;Backa-Brunnsbo 7;14801018;Norra Hisingen, Blendas Gata m fl;48770.9;0.0949;0.3093
14800107;Backa-Brunnsbo 7;14801022;Norra Hisingen, Tingstad;899.2;0.0017;0.0006
14800201;Biskopsgården 1;14800808;Västra Hisingen, Treröset;162932.2;0.7004;0.9995
14800201;Biskopsgården 1;14800812;Västra Hisingen, Väderlekstorget;59014.7;0.2537;0.1223
14800201;Biskopsgården 1;14800813;Västra Hisingen, Biskopsgården Norra;5288.4;0.0227;0.0191
14800201;Biskopsgården 1;14800810;Västra Hisingen, Blåsvädersgat. m fl;5218.3;0.0224;0.0421
14800201;Biskopsgården 1;14800809;Västra Hisingen, Vårväderstorget;188.0;0.0008;0.0016
14800201;Biskopsgården 1;14800804;Västra Hisingen, Önskevädersg. m fl;0.0;0.0000;0.0000
14800202;Biskopsgården 2;14800809;Västra Hisingen, Vårväderstorget;120669.6;0.7589;0.9979
14800202;Biskopsgården 2;14800810;Västra Hisingen, Blåsvädersgat. m fl;20771.9;0.1306;0.1675
14800202;Biskopsgården 2;14800811;Västra Hisingen, Biskopsgården Södra;17544.9;0.1103;0.0089
14800202;Biskopsgården 2;14800808;Västra Hisingen, Treröset;19.6;0.0001;0.0001
14800203;Biskopsgården 3;14800811;Västra Hisingen, Biskopsgården Södra;1960993.7;0.9680;0.9911
14800203;Biskopsgården 3;14800810;Västra Hisingen, Blåsvädersgat. m fl;64633.1;0.0319;0.5213
14800203;Biskopsgården 3;14800820;Västra Hisingen, Amhult-Arendal;83.5;0.0000;0.0000
14800203;Biskopsgården 3;14800814;Västra Hisingen, Svarte Mosse;79.1;0.0000;0.0001
14800203;Biskopsgården 3;14800812;Västra Hisingen, Väderlekstorget;54.2;0.0000;0.0001
14800203;Biskopsgården 3;14800809;Västra Hisingen, Vårväderstorget;19.5;0.0000;0.0002
14800203;Biskopsgården 3;14800808;Västra Hisingen, Treröset;0.6;0.0000;0.0000
14800204;Biskopsgården 4;14800812;Västra Hisingen, Väderlekstorget;421180.2;0.8807;0.8726
14800204;Biskopsgården 4;14800810;Västra Hisingen, Blåsvädersgat. m fl;33358.4;0.0698;0.2691
14800204;Biskopsgården 4;14800813;Västra Hisingen, Biskopsgården Norra;23602.1;0.0494;0.0852
14800204;Biskopsgården 4;14800811;Västra Hisingen, Biskopsgården Södra;56.5;0.0001;0.0000
14800204;Biskopsgården 4;14800814;Västra Hisingen, Svarte Mosse;16.7;0.0000;0.0000
14800205;Biskopsgården 5;14800814;Västra Hisingen, Svarte Mosse;1158752.2;0.8678;0.9999
14800205;Biskopsgården 5;14800813;Västra Hisingen, Biskopsgården Norra;133713.0;0.1001;0.4828
14800205;Biskopsgården 5;14800816;Västra Hisingen, Länsmansgården S;25646.5;0.0192;0.0765
14800205;Biskopsgården 5;14800815;Västra Hisingen, Friskväderstorget;16570.8;0.0124;0.1702
14800205;Biskopsgården 5;14800812;Västra Hisingen, Väderlekstorget;473.6;0.0004;0.0010
14800205;Biskopsgården 5;14800820;Västra Hisingen, Amhult-Arendal;144.0;0.0001;0.0000
14800205;Biskopsgården 5;14800818;Västra Hisingen, Länsmansgården C;39.6;0.0000;0.0000
14800206;Biskopsgården 6;14800813;Västra Hisingen, Biskopsgården Norra;113820.7;0.5091;0.4110
14800206;Biskopsgården 6;14800815;Västra Hisingen, Friskväderstorget;76509.8;0.3422;0.7858
14800206;Biskopsgården 6;14800816;Västra Hisingen, Länsmansgården S;31219.9;0.1397;0.0931
14800206;Biskopsgården 6;14800812;Västra Hisingen, Väderlekstorget;1923.5;0.0086;0.0040
14800206;Biskopsgården 6;14800803;Västra Hisingen, Väderbodarna m fl;58.2;0.0003;0.0006
14800206;Biskopsgården 6;14800814;Västra Hisingen, Svarte Mosse;19.2;0.0001;0.0000
14800301;Björlanda 1;14800835;Västra Hisingen, Kvisljungeby;3567520.5;0.5014;0.7734
14800301;Björlanda 1;14800836;Västra Hisingen, Björlanda;2607257.4;0.3664;0.1176
14800301;Björlanda 1;14800833;Västra Hisingen, Älvegården;885624.2;0.1245;0.4023
14800301;Björlanda 1;14800820;Västra Hisingen, Amhult-Arendal;54890.3;0.0077;0.0018
14800301;Björlanda 1;14800834;Västra Hisingen, Lilleby;0.0;0.0000;0.0000
14800302;Björlanda 2;14800834;Västra Hisingen, Lilleby;11157947.9;0.8398;1.0000
14800302;Björlanda 2;14800833;Västra Hisingen, Älvegården;1272735.4;0.0958;0.5782
14800302;Björlanda 2;14800832;Västra Hisingen, Änghagen;653330.5;0.0492;0.5399
14800302;Björlanda 2;14800835;Västra Hisingen, Kvisljungeby;97238.3;0.0073;0.0211
14800302;Björlanda 2;14800831;Västra Hisingen, Domarringen m fl;39269.0;0.0030;0.0243
14800302;Björlanda 2;14800820;Västra Hisingen, Amhult-Arendal;37323.4;0.0028;0.0012
14800302;Björlanda 2;14800825;Västra Hisingen, Tumlehed;26286.0;0.0020;0.0045
14800302;Björlanda 2;14800836;Västra Hisingen, Björlanda;567.8;0.0000;0.0000
14800303;Björlanda 3;14800836;Västra Hisingen, Björlanda;19482223.3;0.7540;0.8785
14800303;Björlanda 3;14800837;Västra Hisingen, Nolvik;6152009.3;0.2381;0.9853
14800303;Björlanda 3;14800835;Västra Hisingen, Kvisljungeby;195695.6;0.0076;0.0424
14800303;Björlanda 3;14801033;Norra Hisingen, Tången;866.9;0.0000;0.0001
14800303;Björlanda 3;14801034;Norra Hisingen, Säve;287.9;0.0000;0.0000
14800303;Björlanda 3;14800834;Västra Hisingen, Lilleby;26.7;0.0000;0.0000
