kod_2022;namn_2022;klass_2022;antal_2006;kod_2006;namn_2006;andel_av_2022;andel_av_2006;overlapp_m2;huvudkalla
14800526;Västra Centrum, Svalebo;omritning;2;14808405;Kungsladugård-Sanna 5;0.6632;0.8143;229817.5;ja
14800526;Västra Centrum, Svalebo;omritning;2;14808407;Kungsladugård-Sanna 7;0.3365;0.0824;116602.5;ja
14800527;Västra Centrum, Skytteskogen;omritning;2;14808404;Kungsladugård-Sanna 4;0.8487;0.7716;294180.6;ja
14800527;Västra Centrum, Skytteskogen;omritning;2;14808405;Kungsladugård-Sanna 5;0.1512;0.1857;52409.4;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14808403;Kungsladugård-Sanna 3;0.8442;0.8047;112781.5;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14808404;Kungsladugård-Sanna 4;0.1533;0.0537;20472.6;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14808504;Majorna 4;0.0023;0.0031;307.6;nej
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14808404;Kungsladugård-Sanna 4;0.6435;0.1595;60824.4;ja
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14808403;Kungsladugård-Sanna 3;0.2892;0.1950;27335.9;ja
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14808402;Kungsladugård-Sanna 2;0.0672;0.0571;6348.0;ja
14800530;Västra Centrum, Mariaplan;omritning;2;14808402;Kungsladugård-Sanna 2;0.9393;0.7987;88823.4;ja
14800530;Västra Centrum, Mariaplan;omritning;2;14808404;Kungsladugård-Sanna 4;0.0603;0.0150;5702.5;ja
14800531;Västra Centrum, Silverkällan;delning;1;14808406;Kungsladugård-Sanna 6;0.9998;0.3346;59895.0;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14808407;Kungsladugård-Sanna 7;0.6532;0.0566;80075.8;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14808406;Kungsladugård-Sanna 6;0.2847;0.1950;34900.5;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14808402;Kungsladugård-Sanna 2;0.0620;0.0683;7600.9;ja
14800533;Västra Centrum, Sandarne;delning;1;14808407;Kungsladugård-Sanna 7;0.9999;0.8538;1207678.5;ja
