ar;val;valkrets;parti;fasta;utjamning;totalt;kalla
2006;kf;Göteborg;M;20;0;20;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;L;9;0;9;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;MP;7;0;7;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;V;7;0;7;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;KD;5;0;5;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;C;1;0;1;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg;SD;1;0;1;dl2006/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2006;kf;Göteborg 1;S;10;0;10;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;M;4;0;4;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;L;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;V;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;KD;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;MP;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 1;SD;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148001 GILTIGA MANDAT
2006;kf;Göteborg 2;S;9;0;9;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
2006;kf;Göteborg 2;M;4;0;4;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
2006;kf;Göteborg 2;L;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
2006;kf;Göteborg 2;MP;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
2006;kf;Göteborg 2;V;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
