ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;kf;riket;KomBä;KOMBÄ;277;0.00;6532135;6613451;7861590
2018;kf;riket;KomP;KOMP;1000;0.02;6532135;6613451;7861590
2018;kf;riket;Komv;KOMV;284;0.00;6532135;6613451;7861590
2018;kf;riket;Kons;KONS;1171;0.02;6532135;6613451;7861590
2018;kf;riket;KOSA;KOSA;852;0.01;6532135;6613451;7861590
2018;kf;riket;Kp;KP;264;0.00;6532135;6613451;7861590
2018;kf;riket;KrVP;KRVP;1596;0.02;6532135;6613451;7861590
2018;kf;riket;KRÖ;KRÖ;294;0.00;6532135;6613451;7861590
2018;kf;riket;KV;KV;678;0.01;6532135;6613451;7861590
2018;kf;riket;KviP;KVIP;101;0.00;6532135;6613451;7861590
2018;kf;riket;KvP;KVP;226;0.00;6532135;6613451;7861590
2018;kf;riket;KVS;KVS;359;0.01;6532135;6613451;7861590
2018;kf;riket;KVäl;KVÄL;596;0.01;6532135;6613451;7861590
2018;kf;riket;KXP;KXP;326;0.00;6532135;6613451;7861590
2018;kf;riket;Lap;LAP;1032;0.02;6532135;6613451;7861590
2018;kf;riket;LibVÅ;LIBVÅ;78;0.00;6532135;6613451;7861590
2018;kf;riket;LjP;LJP;828;0.01;6532135;6613451;7861590
2018;kf;riket;LP;LP;4249;0.07;6532135;6613451;7861590
2018;kf;riket;LP.NU;LP.NU;2070;0.03;6532135;6613451;7861590
2018;kf;riket;LPo;LPO;10866;0.17;6532135;6613451;7861590
2018;kf;riket;MaP;MAP;754;0.01;6532135;6613451;7861590
2018;kf;riket;Mdem;MDEM;69;0.00;6532135;6613451;7861590
2018;kf;riket;MED;MED;10155;0.16;6532135;6613451;7861590
2018;kf;riket;MedP;MEDP;281;0.00;6532135;6613451;7861590
2018;kf;riket;MFR;MFR;204;0.00;6532135;6613451;7861590
2018;kf;riket;MG;MG;352;0.01;6532135;6613451;7861590
2018;kf;riket;ML;ML;315;0.00;6532135;6613451;7861590
2018;kf;riket;MOP;MOP;2139;0.03;6532135;6613451;7861590
2018;kf;riket;MPPS;MPPS;381;0.01;6532135;6613451;7861590
2018;kf;riket;MV;MV;417;0.01;6532135;6613451;7861590
2018;kf;riket;NB;NB;256;0.00;6532135;6613451;7861590
2018;kf;riket;NE;NE;2654;0.04;6532135;6613451;7861590
2018;kf;riket;NKP;NKP;438;0.01;6532135;6613451;7861590
2018;kf;riket;NL;NL;5642;0.09;6532135;6613451;7861590
2018;kf;riket;NMR;NMR;373;0.01;6532135;6613451;7861590
2018;kf;riket;nop;NOP;251;0.00;6532135;6613451;7861590
2018;kf;riket;NOR;NOR;635;0.01;6532135;6613451;7861590
2018;kf;riket;NORRP;NORRP;89;0.00;6532135;6613451;7861590
2018;kf;riket;NP;NP;2096;0.03;6532135;6613451;7861590
2018;kf;riket;NU;NU;2820;0.04;6532135;6613451;7861590
2018;kf;riket;NYREF;NYREF;20;0.00;6532135;6613451;7861590
2018;kf;riket;OF;OF;76;0.00;6532135;6613451;7861590
2018;kf;riket;Ofa;OFA;725;0.01;6532135;6613451;7861590
2018;kf;riket;OPA;OPA;211;0.00;6532135;6613451;7861590
