kod_2018;namn_2018;kod_2022;namn_2022;overlapp_m2;andel_av_2018;andel_av_2022
14801011;Majorna-Linné, Gröna Vallen;14800535;Västra Centrum, Gröna Vallen;51559.2;0.4993;0.8929
14801011;Majorna-Linné, Gröna Vallen;14800530;Västra Centrum, Mariaplan;49284.3;0.4773;0.5212
14801011;Majorna-Linné, Gröna Vallen;14800538;Västra Centrum, Slottsskogsgat. m fl;2338.7;0.0227;0.0170
14801011;Majorna-Linné, Gröna Vallen;14800534;Västra Centrum, Klippan;64.5;0.0006;0.0001
14801011;Majorna-Linné, Gröna Vallen;14800531;Västra Centrum, Silverkällan;6.4;0.0001;0.0001
14801012;Majorna-Linné, Klippan;14800534;Västra Centrum, Klippan;442201.1;0.9861;0.9777
14801012;Majorna-Linné, Klippan;14800535;Västra Centrum, Gröna Vallen;6183.0;0.0138;0.1071
14801012;Majorna-Linné, Klippan;14800533;Västra Centrum, Sandarne;37.9;0.0001;0.0000
14801012;Majorna-Linné, Klippan;14800933;Centrala Hisingen, Färjenäs;10.9;0.0000;0.0000
14801012;Majorna-Linné, Klippan;14800536;Västra Centrum, Kusttorget;1.0;0.0000;0.0000
14801012;Majorna-Linné, Klippan;14800532;Västra Centrum, Sannaplan;0.8;0.0000;0.0000
14801012;Majorna-Linné, Klippan;14800820;Västra Hisingen, Amhult-Arendal;0.0;0.0000;0.0000
14801013;Majorna-Linné, Kungsladugård, Västra;14800529;Västra Centrum, Kungsladugård Västra;73850.3;0.7155;0.7814
14801013;Majorna-Linné, Kungsladugård, Västra;14800530;Västra Centrum, Mariaplan;21659.5;0.2098;0.2290
14801013;Majorna-Linné, Kungsladugård, Västra;14800532;Västra Centrum, Sannaplan;7600.6;0.0736;0.0620
14801013;Majorna-Linné, Kungsladugård, Västra;14800528;Västra Centrum, Kungsladugård Östra;107.2;0.0010;0.0008
14801013;Majorna-Linné, Kungsladugård, Västra;14800533;Västra Centrum, Sandarne;0.7;0.0000;0.0000
14801013;Majorna-Linné, Kungsladugård, Västra;14800531;Västra Centrum, Silverkällan;0.4;0.0000;0.0000
14801013;Majorna-Linné, Kungsladugård, Västra;14800538;Västra Centrum, Slottsskogsgat. m fl;0.2;0.0000;0.0000
14801014;Majorna-Linné, Kungsladugård, Östra;14800528;Västra Centrum, Kungsladugård Östra;112807.4;0.9155;0.8444
14801014;Majorna-Linné, Kungsladugård, Östra;14800529;Västra Centrum, Kungsladugård Västra;10392.4;0.0843;0.1100
14801014;Majorna-Linné, Kungsladugård, Östra;14800538;Västra Centrum, Slottsskogsgat. m fl;14.5;0.0001;0.0001
14801014;Majorna-Linné, Kungsladugård, Östra;14800541;Västra Centrum, Godhem;1.4;0.0000;0.0000
14801015;Majorna-Linné, Mariaplan;14800531;Västra Centrum, Silverkällan;52144.0;0.6869;0.8704
14801015;Majorna-Linné, Mariaplan;14800530;Västra Centrum, Mariaplan;23618.3;0.3111;0.2498
14801015;Majorna-Linné, Mariaplan;14800534;Västra Centrum, Klippan;134.2;0.0018;0.0003
14801015;Majorna-Linné, Mariaplan;14800532;Västra Centrum, Sannaplan;14.2;0.0002;0.0001
14801016;Majorna-Linné, Skytteskogen;14800527;Västra Centrum, Skytteskogen;335874.0;0.9164;0.9689
14801016;Majorna-Linné, Skytteskogen;14800528;Västra Centrum, Kungsladugård Östra;20342.9;0.0555;0.1523
14801016;Majorna-Linné, Skytteskogen;14800529;Västra Centrum, Kungsladugård Västra;10271.2;0.0280;0.1087
14801016;Majorna-Linné, Skytteskogen;14800533;Västra Centrum, Sandarne;38.6;0.0001;0.0000
14801016;Majorna-Linné, Skytteskogen;14800526;Västra Centrum, Svalebo;2.4;0.0000;0.0000
14801016;Majorna-Linné, Skytteskogen;14800525;Västra Centrum, Änggården;0.4;0.0000;0.0000
14801017;Majorna-Linné, Svalebo;14800526;Västra Centrum, Svalebo;346467.3;0.9699;0.9998
14801017;Majorna-Linné, Svalebo;14800527;Västra Centrum, Skytteskogen;10733.4;0.0300;0.0310
14801017;Majorna-Linné, Svalebo;14800607;Sydvästra Göteborg, Högsbotorp Östra;5.4;0.0000;0.0000
14801017;Majorna-Linné, Svalebo;14800603;Sydvästra Göteborg, Högsbohöjd Östra;2.7;0.0000;0.0000
14801017;Majorna-Linné, Svalebo;14800533;Västra Centrum, Sandarne;0.0;0.0000;0.0000
14801017;Majorna-Linné, Svalebo;14800608;Sydvästra Göteborg, Marklandsgatan;0.0;0.0000;0.0000
14801017;Majorna-Linné, Svalebo;14800601;Sydvästra Göteborg, Högsbohöjd Norra;0.0;0.0000;0.0000
14801021;Majorna-Linné, Sandarne;14800533;Västra Centrum, Sandarne;1207701.4;0.9844;0.9999
14801021;Majorna-Linné, Sandarne;14800534;Västra Centrum, Klippan;9859.9;0.0080;0.0218
14801021;Majorna-Linné, Sandarne;14800532;Västra Centrum, Sannaplan;9085.3;0.0074;0.0741
14801021;Majorna-Linné, Sandarne;14800705;Västra Göteborg, Nya Varvet;77.2;0.0001;0.0001
14801021;Majorna-Linné, Sandarne;14800706;Västra Göteborg, Kungsten;61.3;0.0000;0.0001
14801021;Majorna-Linné, Sandarne;14800601;Sydvästra Göteborg, Högsbohöjd Norra;17.7;0.0000;0.0001
14801021;Majorna-Linné, Sandarne;14800529;Västra Centrum, Kungsladugård Västra;1.5;0.0000;0.0000
14801021;Majorna-Linné, Sandarne;14800820;Västra Hisingen, Amhult-Arendal;0.7;0.0000;0.0000
14801021;Majorna-Linné, Sandarne;14800603;Sydvästra Göteborg, Högsbohöjd Östra;0.0;0.0000;0.0000
14801021;Majorna-Linné, Sandarne;14800526;Västra Centrum, Svalebo;0.0;0.0000;0.0000
14801022;Majorna-Linné, Silverkällan;14800532;Västra Centrum, Sannaplan;105881.6;0.9317;0.8638
14801022;Majorna-Linné, Silverkällan;14800531;Västra Centrum, Silverkällan;7758.8;0.0683;0.1295
14801022;Majorna-Linné, Silverkällan;14800534;Västra Centrum, Klippan;1.6;0.0000;0.0000
14801022;Majorna-Linné, Silverkällan;14800533;Västra Centrum, Sandarne;0.0;0.0000;0.0000
14801031;Majorna-Linné, Chapmans Torg;14800537;Västra Centrum, Chapmans Torg;72438.9;0.9999;0.9999
14801031;Majorna-Linné, Chapmans Torg;14800534;Västra Centrum, Klippan;5.0;0.0001;0.0000
14801031;Majorna-Linné, Chapmans Torg;14800536;Västra Centrum, Kusttorget;2.3;0.0000;0.0000
14801031;Majorna-Linné, Chapmans Torg;14800538;Västra Centrum, Slottsskogsgat. m fl;0.0;0.0000;0.0000
14801031;Majorna-Linné, Chapmans Torg;14800535;Västra Centrum, Gröna Vallen;0.0;0.0000;0.0000
14801032;Majorna-Linné, Godhem;14800541;Västra Centrum, Godhem;92866.7;0.9444;0.9535
14801032;Majorna-Linné, Godhem;14800538;Västra Centrum, Slottsskogsgat. m fl;5139.9;0.0523;0.0373
14801032;Majorna-Linné, Godhem;14800528;Västra Centrum, Kungsladugård Östra;315.1;0.0032;0.0024
14801032;Majorna-Linné, Godhem;14800540;Västra Centrum, Gråberget Östra;16.8;0.0002;0.0001
14801032;Majorna-Linné, Godhem;14800544;Västra Centrum, Karl Johan;0.3;0.0000;0.0000
14801032;Majorna-Linné, Godhem;14800545;Västra Centrum, Söderlingska Ängen;0.1;0.0000;0.0000
14801032;Majorna-Linné, Godhem;14800543;Västra Centrum, Klareborgsgatan m fl;0.0;0.0000;0.0000
14801033;Majorna-Linné, Gråberget, Västra;14800540;Västra Centrum, Gråberget Östra;146610.1;0.9997;0.8717
14801033;Majorna-Linné, Gråberget, Västra;14800539;Västra Centrum, Gråberget Västra;36.8;0.0003;0.0003
14801033;Majorna-Linné, Gråberget, Västra;14800538;Västra Centrum, Slottsskogsgat. m fl;2.0;0.0000;0.0000
