kod;namn;area_m2;andel_i_majorna;andel_av_majorna;klass
14800921;Majorna, Sandarne;1414424.6;0.9999;0.3038;inne
14800916;Majorna, Klippan;409944.1;1.0000;0.0881;inne
14800932;Majorna, Majorna;394854.7;0.9999;0.0848;inne
14800912;Majorna, Skytteskogen;381233.2;1.0000;0.0819;inne
14800911;Majorna, Svalebo;282234.5;1.0000;0.0606;inne
14800931;Majorna, Slottsskogsgatan m fl;247307.5;1.0000;0.0531;inne
14800934;Majorna, Gråberget;204979.3;1.0000;0.0440;inne
14800944;Majorna, Gatenhielmska;181894.0;0.9999;0.0391;inne
14800915;Majorna, Silverkällan;179009.3;1.0000;0.0385;inne
14800935;Majorna, Marieberg;168261.6;1.0000;0.0361;inne
14800913;Majorna, Kungsladugård;140163.3;1.0000;0.0301;inne
14800941;Majorna, Söderlingska ängen;137687.3;1.0000;0.0296;inne
14800942;Majorna, Karl Johans torg;124806.9;1.0000;0.0268;inne
14800914;Majorna, Mariaplan;111209.6;1.0000;0.0239;inne
14800936;Majorna, Godhem;98338.9;1.0000;0.0211;inne
14800943;Majorna, Djurgårdsgatan m fl;96022.3;1.0000;0.0206;inne
14800933;Majorna, Hängmattan;81727.0;1.0000;0.0176;inne
