ar;lokalid;lokal;totalt;antal_dagar;forsta_dag;sista_dag;rang_goteborg;andel_goteborg_procent;storsta_dag_antal;storsta_dag;antal_valdagen
2014;6868;Altplatsens äldreboende;47;1;2014-09-02;2014-09-02;35;0.03;47;2014-09-02;0
2014;6871;Backahus;18;1;2014-09-02;2014-09-02;60;0.01;18;2014-09-02;0
2014;6873;Bergsjöhöjds boende;31;1;2014-09-09;2014-09-09;40;0.02;31;2014-09-09;0
2014;6876;Björkekärrs hus;32;1;2014-08-29;2014-08-29;39;0.02;32;2014-08-29;0
2014;6877;Björkåshemmet;14;1;2014-09-02;2014-09-02;65;0.01;14;2014-09-02;0
2014;6879;Dicksons hus;59;1;2014-09-08;2014-09-08;34;0.04;59;2014-09-08;0
2014;6882;Fiskebäcks äldreboende/Capio;29;1;2014-09-02;2014-09-02;44;0.02;29;2014-09-02;0
2014;6886;Fridkulla äldreboende;21;1;2014-08-29;2014-08-29;57;0.01;21;2014-08-29;0
2014;6887;Fyrväpplingens äldreboende;31;1;2014-09-05;2014-09-05;40;0.02;31;2014-09-05;0
2014;6888;Gerdas Gård;35;1;2014-09-01;2014-09-01;37;0.02;35;2014-09-01;0
2014;6891;Granlidens äldreboende;31;1;2014-09-02;2014-09-02;40;0.02;31;2014-09-02;0
2014;6892;Grevegårdens äldreboende;20;1;2014-09-02;2014-09-02;58;0.01;20;2014-09-02;0
2014;6894;Gunnareds äldreboende;9;1;2014-09-09;2014-09-09;69;0.01;9;2014-09-09;0
2014;6896;Häktet Polishuset;70;1;2014-09-12;2014-09-12;32;0.05;70;2014-09-12;0
2014;6897;Högsbo sjukhus/SU Geriatrik;13;1;2014-09-03;2014-09-03;67;0.01;13;2014-09-03;0
2014;6899;KVA Högsbo;43;1;2014-09-12;2014-09-12;36;0.03;43;2014-09-12;0
2014;6900;KVA Skogome;95;1;2014-09-06;2014-09-06;30;0.06;95;2014-09-06;0
2014;6903;Kaverös Äng;17;1;2014-09-03;2014-09-03;61;0.01;17;2014-09-03;0
2014;6904;Krokslätts äldreboende/Örgrytehemmet;15;1;2014-08-29;2014-08-29;62;0.01;15;2014-08-29;0
2014;6905;Kvibergs äldreboende;20;1;2014-09-05;2014-09-05;58;0.01;20;2014-09-05;0
2014;6911;Lotsens äldreboende, Attendo Care;15;1;2014-09-01;2014-09-01;62;0.01;15;2014-09-01;0
2014;6912;Lövgärdets äldreboende;23;1;2014-09-09;2014-09-09;51;0.02;23;2014-09-09;0
