ar;lokalid;lokal;totalt;antal_dagar;forsta_dag;sista_dag;rang_goteborg;andel_goteborg_procent;storsta_dag_antal;storsta_dag;antal_valdagen
2014;6915;Nya Varvets äldreboende;11;1;2014-09-04;2014-09-04;68;0.01;11;2014-09-04;0
2014;6916;Rågården;24;1;2014-09-08;2014-09-08;49;0.02;24;2014-09-08;0
2014;6926;Stiftelsen Neuberghska ålderdomshemm;30;1;2014-09-03;2014-09-03;43;0.02;30;2014-09-03;0
2014;6927;Otium, stiftelsen;26;1;2014-08-29;2014-08-29;47;0.02;26;2014-08-29;0
2014;6928;Styrsöhemmet;15;1;2014-09-05;2014-09-05;62;0.01;15;2014-09-05;0
2014;6929;Svaleboskogens  äldreboende;23;1;2014-09-03;2014-09-03;51;0.02;23;2014-09-03;0
2014;6932;Uggledals äldreboende;23;1;2014-09-03;2014-09-03;51;0.02;23;2014-09-03;0
2014;6933;Vasahemmet;23;1;2014-09-04;2014-09-04;51;0.02;23;2014-09-04;0
2014;6939;Åkerhus äldreboende;71;1;2014-09-11;2014-09-11;31;0.05;71;2014-09-11;0
2014;6940;Änggårdsbackens äldreboende tre stif;61;1;2014-09-03;2014-09-03;33;0.04;61;2014-09-03;0
2014;8296;Tuve bibliotek;2497;13;2014-08-27;2014-09-12;17;1.63;426;2014-09-12;0
2014;8324;Kyrkbyns bibliotek;2089;10;2014-08-27;2014-09-11;23;1.36;517;2014-09-11;0
2014;8325;Biskopsgårdens bibliotek;3712;16;2014-08-27;2014-09-13;14;2.42;460;2014-09-13;0
2014;8327;Backa bibliotek;4449;16;2014-08-27;2014-09-13;8;2.91;518;2014-09-12;0
2014;8328;Älvstrandens bibliotek;2181;13;2014-08-27;2014-09-12;21;1.42;419;2014-09-12;0
2014;8329;Torslanda bibliotek;2495;15;2014-08-27;2014-09-13;18;1.63;472;2014-09-13;0
2014;8330;Kulturhuset Vingen;2102;13;2014-08-27;2014-09-12;22;1.37;345;2014-09-12;0
2014;8332;Kärra bibliotek;2409;14;2014-08-27;2014-09-12;19;1.57;393;2014-09-11;0
2014;8338;Kulturhuset Blå Stället;4194;16;2014-08-27;2014-09-13;10;2.74;521;2014-09-13;0
2014;8339;Hammarkullens bibliotek;1132;13;2014-08-27;2014-09-12;27;0.74;173;2014-09-11;0
2014;8340;Hjällbo bibliotek;1310;13;2014-08-27;2014-09-12;26;0.86;201;2014-09-12;0
2014;8341;Bergsjöns bibliotek;1450;16;2014-08-27;2014-09-13;25;0.95;183;2014-09-13;0
2014;8342;Kortedala bibliotek;3541;16;2014-08-27;2014-09-13;15;2.31;383;2014-09-11;0
2014;8343;Gamlestadens bibliotek;2409;16;2014-08-27;2014-09-13;19;1.57;396;2014-09-11;0
2014;8349;Stadsbiblioteket;15667;18;2014-08-27;2014-09-13;2;10.23;2187;2014-09-12;0
2014;8351;Linnéstadens bibliotek;6940;15;2014-08-27;2014-09-13;4;4.53;973;2014-09-12;0
2014;8352;Guldhedens bibliotek;2710;15;2014-08-27;2014-09-13;16;1.77;479;2014-09-11;0
2014;8355;Styrsö bibliotek;498;11;2014-08-28;2014-09-13;28;0.33;117;2014-09-09;0
2014;8357;Majornas bibliotek;6667;16;2014-08-27;2014-09-13;5;4.35;886;2014-09-11;0
2014;8358;Högsbo bibliotek;4187;16;2014-08-27;2014-09-13;11;2.73;569;2014-09-11;0
2014;8359;Västra Frölunda bibliotek;12801;18;2014-08-27;2014-09-13;3;8.36;1253;2014-09-12;0
2014;8360;Askims bibliotek;4278;13;2014-08-27;2014-09-12;9;2.79;615;2014-09-11;0
2014;8362;Stadsdelskontor Västra Göteborg;2077;13;2014-08-27;2014-09-12;24;1.36;330;2014-09-12;0
2014;8554;Asperö skola;0;0;;;71;0.00;0;;0
2014;8555;Vrångö skola, Vrångöhuset;0;0;;;71;0.00;0;;0
2014;8991;Östra Sjukhuset;3832;18;2014-08-27;2014-09-13;13;2.50;558;2014-09-12;0
2014;8997;Sahlgrenska sjukhuset;4097;18;2014-08-27;2014-09-13;12;2.68;652;2014-09-12;0
2014;10262;Lundby bibliotek;5030;16;2014-08-27;2014-09-13;7;3.29;637;2014-09-11;0
2014;10351;Toftaåsens äldrecenter;26;1;2014-09-04;2014-09-04;47;0.02;26;2014-09-04;0
2014;12482;Kulturhuset Kåken;6631;18;2014-08-27;2014-09-13;6;4.33;864;2014-09-11;0
2014;13352;Sankt Jörgens Äldreboende;23;1;2014-09-05;2014-09-05;51;0.02;23;2014-09-05;0
2014;13354;Geråshus Äldreboende;34;1;2014-09-01;2014-09-01;38;0.02;34;2014-09-01;0
2014;14145;Äldreboendet Götaholm;7;1;2014-09-08;2014-09-08;70;0.00;7;2014-09-08;0
2014;14223;Stiftelsen Vegahusen 55;111;1;2014-09-11;2014-09-11;29;0.07;111;2014-09-11;0
2014;14228;Gråbergets vård och äldreboende;28;2;2014-09-01;2014-09-12;45;0.02;14;2014-09-01;0
2014;14231;Bagaregårdens äldreboende;27;1;2014-09-08;2014-09-08;46;0.02;27;2014-09-08;0
2014;14903;Nordstan;40415;19;2014-08-27;2014-09-14;1;26.40;3509;2014-09-12;3022
2014;15016;Sockenvägen 28 äldreboende;14;1;2014-09-04;2014-09-04;65;0.01;14;2014-09-04;0
2014;15017;Byalagsgatan 3 äldreboende;24;1;2014-09-05;2014-09-05;49;0.02;24;2014-09-05;0
2014;15018;Sehlstedtsgatan 12;22;1;2014-09-11;2014-09-11;56;0.01;22;2014-09-11;0
