kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800632;Örgryte, Redbergslid;14802501;Bagaregården-Redbergslid 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 249,51,132,33,399,105,84,31 (summa 1084) mot 2006 14802501, geometri 100.0/100.0 procent, namn olika
14800641;Örgryte, Västra Kallebäck;14803604;Skår-Kallebäck 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 268,39,146,59,399,73,104,26 (summa 1114) mot 2006 14803604, geometri 100.0/100.0 procent, namn olika
14800642;Örgryte, Östra Kallebäck;14803605;Skår-Kallebäck 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 217,17,95,35,303,55,54,35 (summa 811) mot 2006 14803605, geometri 100.0/100.0 procent, namn olika
14800651;Örgryte, Södra Skår;14803603;Skår-Kallebäck 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 536,32,167,53,108,16,41,8 (summa 961) mot 2006 14803603, geometri 100.0/100.0 procent, namn olika
14800652;Örgryte, Jakobsdal;14803601;Skår-Kallebäck 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 493,40,165,55,199,28,62,14 (summa 1056) mot 2006 14803601, geometri 100.0/100.0 procent, namn olika
14800653;Örgryte, Norra Skår;14803602;Skår-Kallebäck 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 524,26,149,47,107,15,43,9 (summa 920) mot 2006 14803602, geometri 100.0/100.0 procent, namn olika
14800661;Örgryte, Örgryte;14803801;Överås-Kärralund 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 435,15,123,52,118,15,40,6 (summa 804) mot 2006 14803801, geometri 100.0/100.0 procent, namn olika
14800662;Örgryte, Bö;14803802;Överås-Kärralund 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 334,31,140,52,124,28,67,8 (summa 784) mot 2006 14803802, geometri 100.0/100.0 procent, namn olika
14800671;Örgryte, Torp;14803803;Överås-Kärralund 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 486,54,226,70,356,57,145,16 (summa 1410) mot 2006 14803803, geometri 100.0/100.0 procent, namn olika
14800681;Örgryte, Överås;14805401;Lunden 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 337,42,124,55,426,68,102,29 (summa 1183) mot 2006 14805401, geometri 100.0/100.0 procent, namn olika
14800682;Örgryte, Gamla Lunden;14805402;Lunden 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 276,40,129,34,367,59,122,31 (summa 1058) mot 2006 14805402, geometri 100.0/100.0 procent, namn olika
14800683;Örgryte, Nobelplatsen;14805404;Lunden 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 201,33,122,35,328,69,108,24 (summa 920) mot 2006 14805404, geometri 100.0/100.0 procent, namn olika
14800684;Örgryte, Sankt Pauli;14805403;Lunden 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 242,36,105,65,323,47,86,25 (summa 929) mot 2006 14805403, geometri 100.0/100.0 procent, namn olika
14800685;Örgryte, Nya Lunden-Prästgårdsängen;14805405;Lunden 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 434,52,172,58,316,65,108,27 (summa 1232) mot 2006 14805405, geometri 100.0/100.0 procent, namn olika
14800686;Örgryte, Kärralund;14805406;Lunden 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 438,44,173,66,302,81,120,26 (summa 1250) mot 2006 14805406, geometri 100.0/100.0 procent, namn olika
14800711;Centrum, Burås;14805306;Krokslätt 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 354,47,164,69,324,56,93,20 (summa 1127) mot 2006 14805306, geometri 100.0/99.8 procent, namn olika
14800712;Centrum, Mossen;14805307;Krokslätt 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 251,40,132,34,244,53,109,15 (summa 878) mot 2006 14805307, geometri 100.0/100.0 procent, namn olika
14800713;Centrum, Framnäs;14805305;Krokslätt 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 380,40,141,65,335,88,139,26 (summa 1214) mot 2006 14805305, geometri 100.0/100.0 procent, namn olika
14800714;Centrum, Olofshöjd;14805304;Krokslätt 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 168,43,93,25,159,75,136,6 (summa 705) mot 2006 14805304, geometri 100.0/100.0 procent, namn olika
14800715;Centrum, Krokslätt;14805303;Krokslätt 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 385,46,170,64,355,51,127,24 (summa 1222) mot 2006 14805303, geometri 100.0/100.0 procent, namn olika
14800716;Centrum, Kristinehöjd;14805302;Krokslätt 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 358,27,107,52,242,52,83,16 (summa 937) mot 2006 14805302, geometri 100.0/100.0 procent, namn olika
14800717;Centrum, Getebergsäng;14805301;Krokslätt 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 339,28,115,44,211,35,79,13 (summa 864) mot 2006 14805301, geometri 100.0/100.0 procent, namn olika
14800721;Centrum, Nedre Johanneberg;14805204;Johanneberg-Landala 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 572,41,177,60,184,31,78,20 (summa 1163) mot 2006 14805204, geometri 100.0/100.0 procent, namn olika
14800722;Centrum, Övre Johanneberg;14805203;Johanneberg-Landala 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 408,55,173,47,228,51,128,21 (summa 1111) mot 2006 14805203, geometri 100.0/100.0 procent, namn olika
14800723;Centrum, Eklanda;14805201;Johanneberg-Landala 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 428,82,187,62,287,64,125,17 (summa 1252) mot 2006 14805201, geometri 100.0/100.0 procent, namn olika
14800724;Centrum, Södra Johanneberg;14805202;Johanneberg-Landala 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 384,53,164,48,252,34,87,27 (summa 1049) mot 2006 14805202, geometri 100.0/100.0 procent, namn olika
14800731;Centrum, Landalabergen m fl;14805207;Johanneberg-Landala 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 355,47,166,65,423,99,131,27 (summa 1313) mot 2006 14805207, geometri 100.0/100.0 procent, namn olika
14800732;Centrum, Landala;14805206;Johanneberg-Landala 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 388,40,159,60,222,45,86,16 (summa 1016) mot 2006 14805206, geometri 100.0/100.0 procent, namn olika
14800733;Centrum, Landalagången m fl;14805205;Johanneberg-Landala 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 139,22,70,27,210,64,65,24 (summa 621) mot 2006 14805205, geometri 100.0/100.0 procent, namn olika
14800741;Centrum, Guldheden vattentornet;14805105;Guldheden 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 244,43,117,69,373,118,172,39 (summa 1175) mot 2006 14805105, geometri 100.0/100.0 procent, namn olika
14800742;Centrum, Centrala Guldheden;14805106;Guldheden 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 191,35,91,44,286,69,107,28 (summa 851) mot 2006 14805106, geometri 100.0/100.0 procent, namn olika
14800743;Centrum, Norra Guldheden;14805101;Guldheden 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 356,59,191,61,226,55,129,15 (summa 1092) mot 2006 14805101, geometri 100.0/100.0 procent, namn olika
14800744;Centrum, Landala Egnahem;14805102;Guldheden 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 286,54,136,45,211,81,135,20 (summa 968) mot 2006 14805102, geometri 100.0/100.0 procent, namn olika
14800745;Centrum, Södra Guldheden;14805104;Guldheden 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 201,50,119,70,294,70,111,28 (summa 943) mot 2006 14805104, geometri 100.0/100.0 procent, namn olika
14800746;Centrum, Doktor Forselius gata m fl;14805103;Guldheden 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 241,34,99,72,292,76,99,22 (summa 935) mot 2006 14805103, geometri 100.0/100.0 procent, namn olika
14800751;Centrum, Lorensberg;14806007;Vasastaden-Centrum 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 609,27,160,58,187,36,66,17 (summa 1160) mot 2006 14806007, geometri 100.0/100.0 procent, namn olika
14800761;Centrum, Södra Vasastaden;14806006;Vasastaden-Centrum 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 500,42,213,65,260,64,119,14 (summa 1277) mot 2006 14806006, geometri 100.0/100.0 procent, namn olika
14800762;Centrum, Norra Vasastaden;14806004;Vasastaden-Centrum 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 477,38,135,101,226,45,89,18 (summa 1129) mot 2006 14806004, geometri 100.0/100.0 procent, namn olika
14800763;Centrum, Valand;14806003;Vasastaden-Centrum 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 407,28,145,31,156,18,58,23 (summa 866) mot 2006 14806003, geometri 100.0/100.0 procent, namn olika
14800764;Centrum, Östra Vasastaden;14806005;Vasastaden-Centrum 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 462,35,141,37,231,36,59,20 (summa 1021) mot 2006 14806005, geometri 100.0/100.0 procent, namn olika
14800771;Centrum, Inom Vallgraven;14806002;Vasastaden-Centrum 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 513,54,152,38,281,51,108,20 (summa 1217) mot 2006 14806002, geometri 100.0/100.0 procent, namn olika
14800772;Centrum, Nordstan-Otterhällan;14806001;Vasastaden-Centrum 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 417,33,137,46,334,77,112,22 (summa 1178) mot 2006 14806001, geometri 100.0/100.0 procent, namn olika
14800781;Centrum, Odinsgatan-Stampen;14805803;Stampen-Heden 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 366,22,165,35,402,68,77,27 (summa 1162) mot 2006 14805803, geometri 100.0/100.0 procent, namn olika
14800782;Centrum, Gullbergsvass-Svingeln;14805801;Stampen-Heden 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 241,30,108,30,250,60,98,16 (summa 833) mot 2006 14805801, geometri 100.0/100.0 procent, namn olika
14800783;Centrum, Friggagatan-Stampen;14805802;Stampen-Heden 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 309,28,129,38,375,63,93,32 (summa 1067) mot 2006 14805802, geometri 100.0/100.0 procent, namn olika
14800791;Centrum, Hedås-Gårda;14805806;Stampen-Heden 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 569,31,172,61,271,57,104,29 (summa 1294) mot 2006 14805806, geometri 100.0/100.0 procent, namn olika
14800792;Centrum, Södra Heden;14805805;Stampen-Heden 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 509,31,148,40,233,43,42,21 (summa 1067) mot 2006 14805805, geometri 100.0/100.0 procent, namn olika
14800793;Centrum, Norra Heden-Gårda;14805804;Stampen-Heden 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 573,33,151,57,388,66,91,17 (summa 1376) mot 2006 14805804, geometri 100.0/100.0 procent, namn olika
14800811;Linnéstaden, Övre Masthugget;14805505;Masthugget 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 175,30,117,25,320,176,262,20 (summa 1125) mot 2006 14805505, geometri 100.0/100.0 procent, namn olika
14800812;Linnéstaden, Stigberget;14805506;Masthugget 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 181,29,116,54,312,172,192,25 (summa 1081) mot 2006 14805506, geometri 100.0/100.0 procent, namn olika
14800813;Linnéstaden, Masthuggstorget;14805501;Masthugget 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 228,27,94,23,311,85,92,15 (summa 875) mot 2006 14805501, geometri 100.0/100.0 procent, namn olika
14800814;Linnéstaden, Nedre Masthugget;14805507;Masthugget 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 160,22,108,39,269,189,161,18 (summa 966) mot 2006 14805507, geometri 100.0/100.0 procent, namn olika
14800815;Linnéstaden, Oscar Fredrik;14805502;Masthugget 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 180,42,101,27,242,146,170,8 (summa 916) mot 2006 14805502, geometri 100.0/100.0 procent, namn olika
14800816;Linnéstaden, Vegastaden;14805503;Masthugget 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 187,24,87,21,252,132,115,22 (summa 840) mot 2006 14805503, geometri 100.0/100.0 procent, namn olika
14800817;Linnéstaden, Slottsskogen;14805504;Masthugget 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 177,18,74,26,270,77,95,25 (summa 762) mot 2006 14805504, geometri 100.0/100.0 procent, namn olika
14800821;Linnéstaden, Änggården;14805005;Annedal-Haga 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 310,24,140,69,178,47,96,10 (summa 874) mot 2006 14805005, geometri 100.0/100.0 procent, namn olika
14800831;Linnéstaden, Skansberget;14805002;Annedal-Haga 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 294,48,138,31,313,147,204,17 (summa 1192) mot 2006 14805002, geometri 100.0/100.0 procent, namn olika
14800832;Linnéstaden, Haga;14805001;Annedal-Haga 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 333,39,123,43,344,163,187,25 (summa 1257) mot 2006 14805001, geometri 100.0/100.0 procent, namn olika
14800841;Linnéstaden, Annedal;14805004;Annedal-Haga 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 317,42,121,69,413,103,145,28 (summa 1238) mot 2006 14805004, geometri 100.0/100.0 procent, namn olika
14800842;Linnéstaden, Nilssonsberg;14805003;Annedal-Haga 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 465,47,194,82,336,75,125,37 (summa 1361) mot 2006 14805003, geometri 100.0/100.0 procent, namn olika
14800851;Linnéstaden, Linnéplatsen;14805605;Olivedal 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 293,22,138,39,159,59,88,8 (summa 806) mot 2006 14805605, geometri 100.0/100.0 procent, namn olika
14800852;Linnéstaden, Olivedal;14805606;Olivedal 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 366,46,158,32,351,147,138,21 (summa 1259) mot 2006 14805606, geometri 100.0/100.0 procent, namn olika
14800853;Linnéstaden, Långgatorna;14805601;Olivedal 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 376,45,171,30,298,116,160,17 (summa 1213) mot 2006 14805601, geometri 100.0/100.0 procent, namn olika
14800854;Linnéstaden, Linné;14805607;Olivedal 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 396,34,181,43,254,103,114,15 (summa 1140) mot 2006 14805607, geometri 100.0/100.0 procent, namn olika
14800855;Linnéstaden, Risåsen;14805602;Olivedal 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 284,25,139,43,200,76,129,18 (summa 914) mot 2006 14805602, geometri 100.0/100.0 procent, namn olika
14800856;Linnéstaden, Kommendantsängen;14805603;Olivedal 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 299,32,145,36,223,86,132,19 (summa 972) mot 2006 14805603, geometri 100.0/100.0 procent, namn olika
14800857;Linnéstaden, Sveaplan;14805604;Olivedal 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 400,27,169,50,278,61,87,11 (summa 1083) mot 2006 14805604, geometri 100.0/100.0 procent, namn olika
14800911;Majorna, Svalebo;14808405;Kungsladugård-Sanna 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 160,35,96,51,281,86,132,30 (summa 871) mot 2006 14808405, geometri 100.0/100.0 procent, namn olika
14800912;Majorna, Skytteskogen;14808404;Kungsladugård-Sanna 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 264,42,172,42,309,152,236,18 (summa 1235) mot 2006 14808404, geometri 100.0/100.0 procent, namn olika
14800913;Majorna, Kungsladugård;14808403;Kungsladugård-Sanna 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 115,36,94,29,304,170,185,21 (summa 954) mot 2006 14808403, geometri 100.0/100.0 procent, namn olika
14800914;Majorna, Mariaplan;14808402;Kungsladugård-Sanna 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 126,27,63,23,284,173,199,23 (summa 918) mot 2006 14808402, geometri 100.0/100.0 procent, namn olika
14800915;Majorna, Silverkällan;14808406;Kungsladugård-Sanna 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 132,25,78,19,326,214,230,24 (summa 1048) mot 2006 14808406, geometri 100.0/100.0 procent, namn olika
14800916;Majorna, Klippan;14808401;Kungsladugård-Sanna 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 126,28,73,18,341,189,183,24 (summa 982) mot 2006 14808401, geometri 100.0/100.0 procent, namn olika
14800921;Majorna, Sandarne;14808407;Kungsladugård-Sanna 7;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 163,33,88,34,395,208,157,43 (summa 1121) mot 2006 14808407, geometri 100.0/100.0 procent, namn olika
14800931;Majorna, Slottsskogsgatan m fl;14808505;Majorna 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 273,40,121,55,452,134,168,35 (summa 1278) mot 2006 14808505, geometri 100.0/100.0 procent, namn olika
14800932;Majorna, Majorna;14808501;Majorna 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 219,27,86,49,305,90,92,22 (summa 890) mot 2006 14808501, geometri 100.0/100.0 procent, namn olika
14800933;Majorna, Hängmattan;14808502;Majorna 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 159,26,83,20,291,114,85,20 (summa 798) mot 2006 14808502, geometri 100.0/100.0 procent, namn olika
14800934;Majorna, Gråberget;14808506;Majorna 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 266,37,135,74,415,136,124,32 (summa 1219) mot 2006 14808506, geometri 100.0/100.0 procent, namn olika
14800935;Majorna, Marieberg;14808503;Majorna 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 172,34,124,39,376,222,225,27 (summa 1219) mot 2006 14808503, geometri 100.0/100.0 procent, namn olika
14800936;Majorna, Godhem;14808504;Majorna 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 143,37,90,48,265,124,142,15 (summa 864) mot 2006 14808504, geometri 100.0/100.0 procent, namn olika
14800941;Majorna, Söderlingska ängen;14805903;Stigberget 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 126,41,80,25,308,155,161,25 (summa 921) mot 2006 14805903, geometri 100.0/100.0 procent, namn olika
14800942;Majorna, Karl Johans torg;14805904;Stigberget 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 123,28,107,28,389,215,261,22 (summa 1173) mot 2006 14805904, geometri 100.0/100.0 procent, namn olika
14800943;Majorna, Djurgårdsgatan m fl;14805902;Stigberget 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 159,33,108,28,330,202,216,25 (summa 1101) mot 2006 14805902, geometri 100.0/100.0 procent, namn olika
14800944;Majorna, Gatenhielmska;14805901;Stigberget 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 160,27,78,25,260,147,163,12 (summa 872) mot 2006 14805901, geometri 100.0/100.0 procent, namn olika
14801011;Högsbo, Södra Kaverös;14808301;Kaverös-Flatås 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 195,39,119,77,531,78,89,49 (summa 1177) mot 2006 14808301, geometri 100.0/100.0 procent, namn olika
14801012;Högsbo, Norra Kaverös;14808302;Kaverös-Flatås 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 207,30,118,79,545,109,89,41 (summa 1218) mot 2006 14808302, geometri 100.0/100.0 procent, namn olika
14801021;Högsbo, Östra Flatås;14808304;Kaverös-Flatås 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 155,17,78,38,398,68,51,37 (summa 842) mot 2006 14808304, geometri 100.0/100.0 procent, namn olika
14801022;Högsbo, Västra Flatås;14808303;Kaverös-Flatås 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 236,27,152,67,474,64,64,45 (summa 1129) mot 2006 14808303, geometri 100.0/100.0 procent, namn olika
14801031;Högsbo, Södra Högsbohöjd;14808106;Högsbotorp-Högsbohöjd 6;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 199,33,103,59,480,95,88,31 (summa 1088) mot 2006 14808106, geometri 100.0/100.0 procent, namn olika
14801032;Högsbo, Norra Högsbohöjd;14808105;Högsbotorp-Högsbohöjd 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 115,32,88,43,407,131,122,38 (summa 976) mot 2006 14808105, geometri 100.0/100.0 procent, namn olika
14801041;Högsbo, Högsbo;14808103;Högsbotorp-Högsbohöjd 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 139,19,62,61,443,74,74,39 (summa 911) mot 2006 14808103, geometri 100.0/100.0 procent, namn olika
14801042;Högsbo, Västra Högsbotorp;14808104;Högsbotorp-Högsbohöjd 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 112,21,67,33,343,86,100,44 (summa 806) mot 2006 14808104, geometri 100.0/100.0 procent, namn olika
14801043;Högsbo, Marklandsgatan m fl;14808101;Högsbotorp-Högsbohöjd 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 229,30,118,77,438,74,88,29 (summa 1083) mot 2006 14808101, geometri 100.0/100.0 procent, namn olika
14801044;Högsbo, Östra Högsbotorp;14808102;Högsbotorp-Högsbohöjd 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 215,33,85,42,450,72,75,37 (summa 1009) mot 2006 14808102, geometri 100.0/100.0 procent, namn olika
14801111;Älvsborg, Södra Fiskebäck;14807704;Fiskebäck-Långedrag 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 276,21,113,200,147,7,17,9 (summa 790) mot 2006 14807704, geometri 100.0/100.0 procent, namn olika
14801112;Älvsborg, Norra Fiskebäck;14807703;Fiskebäck-Långedrag 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 450,35,191,202,251,31,60,29 (summa 1249) mot 2006 14807703, geometri 100.0/100.0 procent, namn olika
14801113;Älvsborg, Påvelund;14807701;Fiskebäck-Långedrag 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 566,46,193,118,284,39,50,24 (summa 1320) mot 2006 14807701, geometri 100.0/100.0 procent, namn olika
14801114;Älvsborg, Björnekulla;14807702;Fiskebäck-Långedrag 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 460,36,168,146,364,30,38,26 (summa 1268) mot 2006 14807702, geometri 100.0/100.0 procent, namn olika
