ar_fg;val;kod_2010;namn_2010;giltiga_2010;giltiga_fgval;rostande_2010;rostande_fgval;rostberattigade_2010;rostberattigade_fgval;valdeltagande_2010;valdeltagande_fgval;indelning
2006;rf;14800711;Centrum, Burås;1160;1152;1174;1185;1469;1474;79.92;80.39;
2006;rf;14800742;Centrum, Centrala Guldheden;910;843;930;870;1176;1105;79.08;78.73;
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;962;957;975;969;1219;1232;79.98;78.65;
2006;rf;14800723;Centrum, Eklanda;1243;1244;1254;1269;1652;1771;75.91;71.65;
2006;rf;14800713;Centrum, Framnäs;1391;1204;1418;1237;1851;1702;76.61;72.68;
2006;rf;14800783;Centrum, Friggagatan-Stampen;1105;1076;1123;1094;1491;1476;75.32;74.12;
2006;rf;14800717;Centrum, Getebergsäng;898;857;906;876;1082;1067;83.73;82.10;
2006;rf;14800741;Centrum, Guldheden vattentornet;1207;1180;1234;1206;1545;1530;79.87;78.82;
2006;rf;14800782;Centrum, Gullbergsvass-Svingeln;1433;835;1460;854;1859;1150;78.54;74.26;
2006;rf;14800791;Centrum, Hedås-Gårda;1375;1317;1388;1344;1772;1765;78.33;76.15;
2006;rf;14800771;Centrum, Inom Vallgraven;1313;1229;1328;1255;1678;1622;79.14;77.37;
2006;rf;14800716;Centrum, Kristinehöjd;999;939;1017;970;1354;1300;75.11;74.62;
2006;rf;14800715;Centrum, Krokslätt;1367;1238;1396;1272;1759;1689;79.36;75.31;
2006;rf;14800732;Centrum, Landala;1044;1021;1062;1034;1321;1301;80.39;79.48;
2006;rf;14800744;Centrum, Landala Egnahem;1033;980;1046;999;1273;1256;82.17;79.54;
2006;rf;14800731;Centrum, Landalabergen m fl;1355;1327;1378;1361;1747;1728;78.88;78.76;
2006;rf;14800733;Centrum, Landalagången m fl;707;630;714;648;1004;939;71.12;69.01;
2006;rf;14800751;Centrum, Lorensberg;1268;1151;1276;1168;1568;1511;81.38;77.30;
2006;rf;14800712;Centrum, Mossen;1027;875;1050;898;1516;1295;69.26;69.34;
2006;rf;14800721;Centrum, Nedre Johanneberg;1518;1156;1552;1185;1900;1446;81.68;81.95;
2006;rf;14800772;Centrum, Nordstan-Otterhällan;1298;1189;1321;1208;1663;1614;79.43;74.85;
2006;rf;14800743;Centrum, Norra Guldheden;1177;1086;1198;1105;1415;1363;84.66;81.07;
2006;rf;14800793;Centrum, Norra Heden-Gårda;1564;1386;1580;1410;1913;1749;82.59;80.62;
2006;rf;14800762;Centrum, Norra Vasastaden;1188;1130;1203;1147;1554;1564;77.41;73.34;
2006;rf;14800781;Centrum, Odinsgatan-Stampen;1229;1157;1260;1187;1589;1591;79.30;74.61;
2006;rf;14800714;Centrum, Olofshöjd;658;736;697;768;1177;1204;59.22;63.79;
2006;rf;14800745;Centrum, Södra Guldheden;1036;935;1055;958;1296;1241;81.40;77.20;
2006;rf;14800792;Centrum, Södra Heden;1158;1068;1176;1095;1452;1420;80.99;77.11;
2006;rf;14800724;Centrum, Södra Johanneberg;1128;1045;1151;1082;1426;1408;80.72;76.85;
2006;rf;14800761;Centrum, Södra Vasastaden;1326;1292;1340;1320;1648;1630;81.31;80.98;
2006;rf;14800763;Centrum, Valand;867;865;876;874;1107;1107;79.13;78.95;
2006;rf;14800764;Centrum, Östra Vasastaden;1189;1037;1197;1052;1497;1405;79.96;74.88;
2006;rf;14800722;Centrum, Övre Johanneberg;1107;1108;1128;1152;1514;1551;74.50;74.27;
2006;rf;14800841;Linnéstaden, Annedal;1330;1245;1346;1283;1773;1736;75.92;73.91;
2006;rf;14800832;Linnéstaden, Haga;1405;1283;1424;1302;1778;1676;80.09;77.68;
2006;rf;14800856;Linnéstaden, Kommendantsängen;1013;979;1022;995;1250;1228;81.76;81.03;
2006;rf;14800854;Linnéstaden, Linné;1225;1163;1239;1177;1507;1476;82.22;79.74;
2006;rf;14800851;Linnéstaden, Linnéplatsen;870;805;876;832;1046;1010;83.75;82.38;
2006;rf;14800853;Linnéstaden, Långgatorna;1323;1212;1344;1238;1665;1621;80.72;76.37;
2006;rf;14800813;Linnéstaden, Masthuggstorget;1055;905;1074;930;1371;1298;78.34;71.65;
2006;rf;14800814;Linnéstaden, Nedre Masthugget;1138;1042;1147;1068;1323;1318;86.70;81.03;
2006;rf;14800842;Linnéstaden, Nilssonsberg;1428;1362;1447;1391;1765;1744;81.98;79.76;
2006;rf;14800852;Linnéstaden, Olivedal;1333;1268;1347;1286;1635;1603;82.39;80.22;
2006;rf;14800815;Linnéstaden, Oscar Fredrik;1037;973;1050;997;1295;1297;81.08;76.87;
2006;rf;14800855;Linnéstaden, Risåsen;961;932;979;963;1207;1205;81.11;79.92;
2006;rf;14800831;Linnéstaden, Skansberget;1291;1224;1307;1251;1597;1557;81.84;80.35;
2006;rf;14800817;Linnéstaden, Slottsskogen;877;766;892;781;1115;1075;80.00;72.65;
2006;rf;14800812;Linnéstaden, Stigberget;1186;1125;1202;1144;1525;1569;78.82;72.91;
2006;rf;14800857;Linnéstaden, Sveaplan;1136;1080;1141;1103;1351;1343;84.46;82.13;
2006;rf;14800816;Linnéstaden, Vegastaden;957;854;963;862;1206;1154;79.85;74.70;
2006;rf;14800821;Linnéstaden, Änggården;914;883;926;892;1228;1219;75.41;73.17;
2006;rf;14800811;Linnéstaden, Övre Masthugget;1267;1194;1279;1221;1492;1497;85.72;81.56;
2006;rf;14800943;Majorna, Djurgårdsgatan m fl;1252;1175;1269;1206;1538;1533;82.51;78.67;
2006;rf;14800944;Majorna, Gatenhielmska;972;914;990;938;1239;1220;79.90;76.89;
2006;rf;14800942;Majorna, Karl Johans torg;1445;1235;1463;1278;1765;1723;82.89;74.17;
2006;rf;14800941;Majorna, Söderlingska ängen;1061;958;1074;983;1373;1338;78.22;73.47;
2006;rf;14800682;Örgryte, Gamla Lunden;1142;1059;1166;1094;1479;1467;78.84;74.57;
2006;rf;14800611;Örgryte, Gubbero;1339;1323;1369;1365;1844;1812;74.24;75.33;
2006;rf;14800686;Örgryte, Kärralund;1325;1246;1339;1270;1615;1548;82.91;82.04;
2006;rf;14800683;Örgryte, Nobelplatsen;975;917;996;949;1317;1283;75.63;73.97;
2006;rf;14800685;Örgryte, Nya Lunden-Prästgårdsängen;1276;1244;1295;1281;1598;1612;81.04;79.47;
2006;rf;14800612;Örgryte, Olskroken;995;942;1008;976;1351;1326;74.61;73.60;
2006;rf;14800613;Örgryte, Redberget;1313;1246;1340;1291;1743;1748;76.88;73.86;
2006;rf;14800684;Örgryte, Sankt Pauli;1016;922;1042;948;1326;1282;78.58;73.95;
2006;rf;14800681;Örgryte, Överås;1294;1186;1327;1226;1749;1680;75.87;72.98;
2006;rf;14800003;Onsdagsdistrikt;2463;2059;;;;;;;
2006;rf;14802013;Backa, Aröd;1368;1260;1389;1297;1908;1769;72.80;73.32;
2006;rf;14802022;Backa, Backa Röd;999;932;1018;953;1686;1600;60.38;59.56;
2006;rf;14802032;Backa, Backadalen;961;947;966;962;1432;1436;67.46;66.99;
2006;rf;14802012;Backa, Brunnsbo;1107;1037;1116;1073;1616;1596;69.06;67.23;
2006;rf;14802031;Backa, Bäckebol;683;634;689;641;1003;998;68.69;64.23;
2006;rf;14802024;Backa, Bällskär;805;785;819;797;1009;970;81.17;82.16;
2006;rf;14802023;Backa, Norra Backa;1095;1054;1114;1065;1703;1642;65.41;64.86;
2006;rf;14802033;Backa, Selma Lagerlöfs torg;654;650;659;665;1068;1054;61.70;63.09;
2006;rf;14802041;Backa, Skogome-Sankt Jörgen;1436;1266;1458;1283;1830;1620;79.67;79.20;
2006;rf;14802034;Backa, Skälltorp;1268;1202;1284;1225;1713;1716;74.96;71.39;
2006;rf;14802021;Backa, Södra Backa;1026;1004;1037;1031;1362;1347;76.14;76.54;
2006;rf;14802011;Backa, Tingstad;1081;1008;1092;1030;1445;1397;75.57;73.73;
2006;rf;14802035;Backa, Åketorp;1460;1380;1478;1407;1668;1621;88.61;86.80;
2006;rf;14801732;Biskopsgården, Badvädersgatan m fl;781;772;790;785;1295;1294;61.00;60.66;
2006;rf;14801751;Biskopsgården, Jättesten;1177;1165;1193;1190;1780;1783;67.02;66.74;
2006;rf;14801753;Biskopsgården, Kärrsmossen;1223;1053;1233;1072;1780;1532;69.27;69.97;
2006;rf;14801722;Biskopsgården, Länsmansgårdens Centr;756;760;765;786;1284;1364;59.58;57.62;
2006;rf;14801712;Biskopsgården, Norra Biskopsgården;705;667;711;676;1310;1334;54.27;50.67;
2006;rf;14801723;Biskopsgården, Norra Länsmansgården;764;714;774;729;1159;1173;66.78;62.15;
2006;rf;14801731;Biskopsgården, Stackmolnsgatan m fl;1020;927;1032;942;1604;1554;64.34;60.62;
2006;rf;14801711;Biskopsgården, Svarte Mosse;888;834;891;839;1625;1674;54.83;50.12;
2006;rf;14801752;Biskopsgården, Svartedalen;961;1000;978;1027;1526;1500;64.09;68.47;
2006;rf;14801741;Biskopsgården, Södra Biskopsgården;762;719;770;731;1183;1180;65.09;61.95;
2006;rf;14801721;Biskopsgården, Södra Länsmansgården;627;571;631;578;1026;989;61.50;58.44;
2006;rf;14801743;Biskopsgården, Treröset;985;935;994;958;1556;1615;63.88;59.32;
2006;rf;14801744;Biskopsgården, Vårväderstorget;1039;890;1047;912;1704;1659;61.44;54.97;
2006;rf;14801742;Biskopsgården, Väderlekstorget;627;634;632;653;992;1171;63.71;55.76;
2006;rf;14802112;Kärra-Rödbo, Gerrebacka-Ingebäck;1115;907;1126;937;1368;1202;82.31;77.95;
2006;rf;14802111;Kärra-Rödbo, Mysterna-Svankällan;1123;1050;1139;1077;1316;1271;86.55;84.74;
2006;rf;14802114;Kärra-Rödbo, Norra Kärra;911;870;922;882;1153;1148;79.97;76.83;
2006;rf;14802121;Kärra-Rödbo, Rödbo;520;502;524;511;673;638;77.86;80.09;
2006;rf;14802116;Kärra-Rödbo, Södra Kärra;1030;985;1042;1010;1293;1279;80.59;78.97;
2006;rf;14802113;Kärra-Rödbo, Västra Kärra;951;916;966;940;1231;1209;78.47;77.75;
2006;rf;14802115;Kärra-Rödbo, Östra Kärra;980;962;997;980;1339;1288;74.46;76.09;
2006;rf;14801822;Lundby, Bjurslätt;1043;974;1049;989;1574;1590;66.65;62.20;
2006;rf;14801821;Lundby, Flunsås;994;917;1020;935;1485;1451;68.69;64.44;
2006;rf;14801831;Lundby, Hilldedal;1160;891;1175;916;1634;1328;71.91;68.98;
2006;rf;14801854;Lundby, Kyrkbyn;825;800;839;819;1140;1158;73.60;70.73;
2006;rf;14801843;Lundby, Kärrdalen;1131;1040;1140;1059;1391;1353;81.96;78.27;
2006;rf;14801811;Lundby, Lindholmen;1729;;1764;;2114;;83.44;;Modifierad
2006;rf;14801816;Lundby, Lundbyvassen;479;;495;;701;;70.61;;Modifierad
2006;rf;14801853;Lundby, Norra Bräcke;1028;924;1049;941;1333;1289;78.69;73.00;
2006;rf;14801823;Lundby, Norra Kvillebäcken;1015;904;1033;938;1414;1404;73.06;66.81;
2006;rf;14801855;Lundby, Norra Lundby;667;699;683;720;1076;1061;63.48;67.86;
2006;rf;14801842;Lundby, Norra Tolered;902;852;915;862;1114;1110;82.14;77.66;
2006;rf;14801858;Lundby, Sannegården;1057;;1066;;1255;;84.94;;Modifierad
2006;rf;14801832;Lundby, Slätta Damm;1007;980;1022;998;1439;1405;71.02;71.03;
2006;rf;14801852;Lundby, Södra Bräcke;849;778;861;806;1152;1125;74.74;71.64;
2006;rf;14801825;Lundby, Södra Kvillebäcken;966;887;986;927;1504;1549;65.56;59.85;
2006;rf;14801856;Lundby, Södra Lundby;768;695;782;718;1137;1064;68.78;67.48;
2006;rf;14801841;Lundby, Södra Tolered;925;864;941;888;1131;1123;83.20;79.07;
2006;rf;14801814;Lundby, Västra Brämaregården;1110;1069;1123;1099;1584;1557;70.90;70.58;
2006;rf;14801851;Lundby, Västra Eriksberg;1638;;1662;;1971;;84.32;;Modifierad
2006;rf;14801812;Lundby, Västra Rambergsstaden;1164;1007;1174;1036;1797;1761;65.33;58.83;
2006;rf;14801824;Lundby, Wieselgrensplatsen;795;699;810;716;1212;1205;66.83;59.42;
2006;rf;14801815;Lundby, Östra Brämaregården;959;;977;;1416;;69.00;;Modifierad
2006;rf;14801857;Lundby, Östra Eriksberg;1408;;1430;;1654;;86.46;;Modifierad
2006;rf;14801813;Lundby, Östra Rambergsstaden;1278;1163;1301;1192;1756;1688;74.09;70.62;
2006;rf;14801625;Torslanda, Amhult-Arendal;1061;824;1076;834;1413;1035;76.15;80.58;
2006;rf;14801613;Torslanda, Andalen;1492;1264;1513;1285;1699;1481;89.05;86.77;
2006;rf;14801632;Torslanda, Björlanda;1316;1196;1332;1227;1577;1472;84.46;83.36;
2006;rf;14801622;Torslanda, Domarringen m fl;1254;1202;1278;1232;1476;1459;86.59;84.44;
2006;rf;14801611;Torslanda, Hjuvik;1348;1233;1360;1251;1551;1408;87.69;88.85;
2006;rf;14801612;Torslanda, Hällsvik;1244;1193;1253;1219;1436;1375;87.26;88.65;
2006;rf;14801633;Torslanda, Kvisljungeby;1202;1053;1210;1072;1439;1284;84.09;83.49;
2006;rf;14801631;Torslanda, Lilleby;1773;;1802;;2106;;85.57;;Modifierad
2006;rf;14801624;Torslanda, Nolered;1201;1159;1216;1182;1464;1452;83.06;81.40;
2006;rf;14801623;Torslanda, Torslanda;1510;1268;1538;1306;1828;1606;84.14;81.32;
2006;rf;14801621;Torslanda, Tumlehed;1222;1091;1245;1112;1498;1431;83.11;77.71;
2006;rf;14801914;Tuve-Säve, Glöstorp;843;790;856;801;1153;1148;74.24;69.77;
