kod;namn;area_m2;andel_i_majorna;andel_av_majorna;klass
14808407;Kungsladugård-Sanna 7;1414430.8;0.9999;0.3038;inne
14808401;Kungsladugård-Sanna 1;409945.2;0.9999;0.0880;inne
14808501;Majorna 1;394854.6;0.9997;0.0848;inne
14808404;Kungsladugård-Sanna 4;381242.8;1.0000;0.0819;inne
14808405;Kungsladugård-Sanna 5;282234.4;1.0000;0.0606;inne
14808505;Majorna 5;247306.5;0.9999;0.0531;inne
14808506;Majorna 6;204981.0;1.0000;0.0440;inne
14805901;Stigberget 1;181894.6;0.9998;0.0391;inne
14808406;Kungsladugård-Sanna 6;179006.2;1.0000;0.0385;inne
14808503;Majorna 3;168262.6;1.0000;0.0361;inne
14808403;Kungsladugård-Sanna 3;140153.6;1.0000;0.0301;inne
14805903;Stigberget 3;137686.7;1.0000;0.0296;inne
14805904;Stigberget 4;124807.2;1.0000;0.0268;inne
14808402;Kungsladugård-Sanna 2;111211.5;1.0000;0.0239;inne
14808504;Majorna 4;98339.5;1.0000;0.0211;inne
14805902;Stigberget 2;96022.1;1.0000;0.0206;inne
14808502;Majorna 2;81726.2;1.0000;0.0176;inne
