ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Svenska medborgare;18-29 förstagångsväljare;37
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;44
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Ej svenska medborgare;18-29 förstagångsväljare;10
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;6
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Svenska medborgare;18-29 ej förstagångsväljare;102
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;112
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;31
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;25
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Svenska medborgare;30-49;246
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Svenska medborgare;30-49;225
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Ej svenska medborgare;30-49;62
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Ej svenska medborgare;30-49;59
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Svenska medborgare;50-64;144
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Svenska medborgare;50-64;156
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Ej svenska medborgare;50-64;27
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Ej svenska medborgare;50-64;27
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Svenska medborgare;65-;114
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Svenska medborgare;65-;153
2010;kf;14800121;Gunnared, Södra Rannebergen;Män;Ej svenska medborgare;65-;18
2010;kf;14800121;Gunnared, Södra Rannebergen;Kvinnor;Ej svenska medborgare;65-;11
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Svenska medborgare;18-29 förstagångsväljare;88
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;73
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Ej svenska medborgare;18-29 förstagångsväljare;2
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;3
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Svenska medborgare;18-29 ej förstagångsväljare;96
