ar;val;niva;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2002;rd;goteborg;ÖVR;7040;2.58;273056;277489;357876;77.54;;"ur aggregat_2002_rd.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rd;riket;C;328428;6.19;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;KD;485235;9.15;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;L;710312;13.39;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;M;809041;15.26;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;MP;246392;4.65;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;NBP;14854;0.28;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;S;2113560;39.85;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;SUMMA_ÖVRIGA;165390;3.12;5303212;5385430;;;;"ur aggregat_2002_rd.csv, niva riket; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2002;rd;riket;V;444854;8.39;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rd;riket;ÖVR;150536;2.84;5303212;5385430;;;;ur aggregat_2002_rd.csv, niva riket
2002;rf;goteborg;C;4997;1.86;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;KD;21081;7.84;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;L;43947;16.34;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;M;49944;18.57;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;MP;15427;5.74;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
