kod_2010;namn_2010;kod_2014;namn_2014;overlapp_m2;andel_av_2010;andel_av_2014
14800111;Gunnared, Lövgärdets Centrum;14806013;Angered, Lövgärdets Centrum;505134.4;1.0000;1.0000
14800111;Gunnared, Lövgärdets Centrum;14806012;Angered, Lövgärdet, Övre;0.0;0.0000;0.0000
14800111;Gunnared, Lövgärdets Centrum;14806011;Angered, Lövgärdet, Nedre;0.0;0.0000;0.0000
14800112;Gunnared, Övre Lövgärdet;14806012;Angered, Lövgärdet, Övre;676485.0;1.0000;1.0000
14800112;Gunnared, Övre Lövgärdet;14806013;Angered, Lövgärdets Centrum;0.0;0.0000;0.0000
14800112;Gunnared, Övre Lövgärdet;14806011;Angered, Lövgärdet, Nedre;0.0;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806011;Angered, Lövgärdet, Nedre;5602139.7;0.9815;1.0000
14800113;Gunnared, Nedre Lövgärdet;14806042;Angered, Trägårdsgärdet;105675.5;0.0185;0.0654
14800113;Gunnared, Nedre Lövgärdet;14806111;Angered, Björsared-Knipared;0.1;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806021;Angered, Rannebergen, Norra;0.1;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806013;Angered, Lövgärdets Centrum;0.0;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806012;Angered, Lövgärdet, Övre;0.0;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806031;Angered, Gårdsten, Norra;0.0;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14806034;Angered, Gårdsten, Östra;0.0;0.0000;0.0000
14800121;Gunnared, Södra Rannebergen;14806022;Angered, Rannebergen, Södra;428263.8;1.0000;1.0000
14800121;Gunnared, Södra Rannebergen;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14806021;Angered, Rannebergen, Norra;4175091.4;1.0000;1.0000
14800122;Gunnared, Norra Rannebergen;14806111;Angered, Björsared-Knipared;0.1;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14806011;Angered, Lövgärdet, Nedre;0.0;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800131;Gunnared, Västra Gårdsten;14806033;Angered, Gårdsten, Västra;561245.0;1.0000;1.0000
14800132;Gunnared, Norra Gårdsten;14806031;Angered, Gårdsten, Norra;584120.5;1.0000;1.0000
14800132;Gunnared, Norra Gårdsten;14806011;Angered, Lövgärdet, Nedre;0.0;0.0000;0.0000
14800133;Gunnared, Östra Gårdsten;14806034;Angered, Gårdsten, Östra;415007.7;1.0000;1.0000
14800133;Gunnared, Östra Gårdsten;14806011;Angered, Lövgärdet, Nedre;0.0;0.0000;0.0000
14800133;Gunnared, Östra Gårdsten;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800134;Gunnared, Södra Gårdsten;14806032;Angered, Gårdsten, Södra;348273.6;1.0000;1.0000
14800134;Gunnared, Södra Gårdsten;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800141;Gunnared, Angereds Centrum;14806041;Angered, Angereds Centrum;1379909.3;1.0000;1.0000
14800141;Gunnared, Angereds Centrum;14806063;Angered, Sandeslätt;0.0;0.0000;0.0000
14800141;Gunnared, Angereds Centrum;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800142;Gunnared, Trädgårdsgärdet;14806042;Angered, Trägårdsgärdet;1511180.7;1.0000;0.9346
14800142;Gunnared, Trädgårdsgärdet;14806011;Angered, Lövgärdet, Nedre;1.4;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14806051;Angered, Agnesberg;3379185.4;1.0000;1.0000
14800211;Lärjedalen, Agnesberg;14806061;Angered, Hammarkullen, Västra;0.0;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14806062;Angered, Hammarkullen, Östra;0.0;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14806063;Angered, Sandeslätt;0.0;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14806042;Angered, Trägårdsgärdet;0.0;0.0000;0.0000
14800221;Lärjedalen, Västra Hammarkullen;14806061;Angered, Hammarkullen, Västra;1361167.4;0.9956;1.0000
14800221;Lärjedalen, Västra Hammarkullen;14806122;Angered, Hjällbo, Norra;5947.6;0.0044;0.0218
14800221;Lärjedalen, Västra Hammarkullen;14806063;Angered, Sandeslätt;0.0;0.0000;0.0000
14800221;Lärjedalen, Västra Hammarkullen;14806062;Angered, Hammarkullen, Östra;0.0;0.0000;0.0000
14800222;Lärjedalen, Östra Hammarkullen;14806062;Angered, Hammarkullen, Östra;445748.5;0.7592;1.0000
14800222;Lärjedalen, Östra Hammarkullen;14806063;Angered, Sandeslätt;141373.0;0.2408;0.0799
14800222;Lärjedalen, Östra Hammarkullen;14806061;Angered, Hammarkullen, Västra;0.0;0.0000;0.0000
14800223;Lärjedalen, Sandeslätt;14806063;Angered, Sandeslätt;1628101.9;1.0000;0.9201
14800223;Lärjedalen, Sandeslätt;14806062;Angered, Hammarkullen, Östra;0.0;0.0000;0.0000
14800223;Lärjedalen, Sandeslätt;14806061;Angered, Hammarkullen, Västra;0.0;0.0000;0.0000
14800231;Lärjedalen, Gunnilse-Linnarhult;14806101;Angered, Gunnilse-Linnarhult;13805595.4;1.0000;1.0000
14800231;Lärjedalen, Gunnilse-Linnarhult;14806111;Angered, Björsared-Knipared;0.2;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14806111;Angered, Björsared-Knipared;43465293.2;1.0000;1.0000
14800251;Lärjedalen, Björsared-Knipared;14806112;Angered, Olofstorp;0.3;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14806101;Angered, Gunnilse-Linnarhult;0.2;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14806021;Angered, Rannebergen, Norra;0.1;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14806011;Angered, Lövgärdet, Nedre;0.1;0.0000;0.0000
14800252;Lärjedalen, Olofstorp;14806112;Angered, Olofstorp;13558304.5;1.0000;1.0000
14800252;Lärjedalen, Olofstorp;14806111;Angered, Björsared-Knipared;0.3;0.0000;0.0000
14800261;Lärjedalen, Södra Hjällbo;14806123;Angered, Hjällbo, Södra;779546.2;1.0000;1.0000
14800261;Lärjedalen, Södra Hjällbo;14806122;Angered, Hjällbo, Norra;0.0;0.0000;0.0000
14800262;Lärjedalen, Skolspåret;14806124;Angered, Skolspåret;146145.8;1.0000;1.0000
14800262;Lärjedalen, Skolspåret;14806122;Angered, Hjällbo, Norra;0.0;0.0000;0.0000
14800263;Lärjedalen, Norra Hjällbo;14806122;Angered, Hjällbo, Norra;266831.7;1.0000;0.9782
14800263;Lärjedalen, Norra Hjällbo;14806061;Angered, Hammarkullen, Västra;0.8;0.0000;0.0000
14800264;Lärjedalen, Bläsebo;14806121;Angered, Bläsebo;610785.7;1.0000;1.0000
14800264;Lärjedalen, Bläsebo;14806122;Angered, Hjällbo, Norra;0.0;0.0000;0.0000
14800264;Lärjedalen, Bläsebo;14806061;Angered, Hammarkullen, Västra;0.0;0.0000;0.0000
14800271;Lärjedalen, Eriksbo;14806131;Angered, Eriksbo;927817.9;1.0000;1.0000
14800271;Lärjedalen, Eriksbo;14806063;Angered, Sandeslätt;0.0;0.0000;0.0000
14800271;Lärjedalen, Eriksbo;14806061;Angered, Hammarkullen, Västra;0.0;0.0000;0.0000
14800311;Kortedala, Gamlestaden;14803012;Östra Göteborg, Gamlestaden;260491.8;0.8358;1.0000
14800311;Kortedala, Gamlestaden;14803011;Östra Göteborg, Bellevue;51186.0;0.1642;0.1859
14800311;Kortedala, Gamlestaden;14802111;Örgryte-Härlanda, Fräntorp;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14803015;Östra Göteborg, Nylöse;3892569.2;1.0000;1.0000
14800312;Kortedala, Nylöse;14803012;Östra Göteborg, Gamlestaden;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14804123;Norra Hisingen, Bällskär;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14804102;Norra Hisingen, Backa-Tingstad;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14803013;Östra Göteborg, Kviberg, Västra;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14803011;Östra Göteborg, Bellevue;0.0;0.0000;0.0000
14800312;Kortedala, Nylöse;14801172;Centrum, Gullbergsvass-Svingeln;0.0;0.0000;0.0000
14800313;Kortedala, Kviberg;14803014;Östra Göteborg, Kviberg, Östra;1524231.4;0.6172;1.0000
