ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14801093;Majorna-Linné, Linnéplatsen;2;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801094;Majorna-Linné, Långgatorna;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801095;Majorna-Linné, Olivedal;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801096;Majorna-Linné, Plantagegatan, m fl;0;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801097;Majorna-Linné, Risåsen;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801098;Majorna-Linné, Sveaplan;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801100;Centrum, Framnäs;3;15;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801101;Centrum, Fredriksdal;2;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801102;Centrum, Fridkullagatan m fl;0;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801103;Centrum, Getebergsäng;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801104;Centrum, Kristinehöjd, Västra;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801105;Centrum, Kristinehöjd, Östra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801106;Centrum, Krokslätt, Norra;2;5;8;2018_K_per_valdistrikt.xlsx
2018;kf;14801107;Centrum, Krokslätt, Södra;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801108;Centrum, Mossen;0;18;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801109;Centrum, Olofshöjd;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801111;Centrum, Eklanda Norra;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801112;Centrum, Eklanda Södra;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801113;Centrum, Johanneberg, Nedre;1;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801114;Centrum, Johanneberg, Västra;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801115;Centrum, Johanneberg, Östra;1;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801116;Centrum, Johanneberg, Övre;0;12;1;2018_K_per_valdistrikt.xlsx
