ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;rf;14807063;Västra Hisingen, Lilleby;Göteborgs kommun;1197;11;1;12;1209;1354;89.29;slutresultat_1480L.xml
2018;rf;14807064;Västra Hisingen, Nolvik;Göteborgs kommun;983;8;0;8;991;1114;88.96;slutresultat_1480L.xml
2018;rf;14807065;Västra Hisingen, Älvegården m fl;Göteborgs kommun;980;6;0;6;986;1089;90.54;slutresultat_1480L.xml
2018;rf;14807081;Västra Hisingen, Biskopsgården, S;Göteborgs kommun;865;8;5;13;878;1382;63.53;slutresultat_1480L.xml
2018;rf;14807082;Västra Hisingen, Treröset;Göteborgs kommun;680;6;2;8;688;1183;58.16;slutresultat_1480L.xml
2018;rf;14807083;Västra Hisingen, Vårväderstorget;Göteborgs kommun;973;7;1;8;981;1718;57.10;slutresultat_1480L.xml
2018;rf;14807084;Västra Hisingen, Väderlekstorget;Göteborgs kommun;945;4;5;9;954;1639;58.21;slutresultat_1480L.xml
2018;rf;14807091;Västra Hisingen, Jättesten;Göteborgs kommun;967;20;4;24;991;1308;75.76;slutresultat_1480L.xml
2018;rf;14807092;Västra Hisingen, Kärrmossen;Göteborgs kommun;1052;8;1;9;1061;1323;80.20;slutresultat_1480L.xml
2018;rf;14807093;Västra Hisingen, Svartedalen, Södra;Göteborgs kommun;592;8;2;10;602;1128;53.37;slutresultat_1480L.xml
2018;rf;14807094;Västra Hisingen, Önskevädersg. m fl;Göteborgs kommun;678;7;0;7;685;1150;59.57;slutresultat_1480L.xml
