ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2018;14801011;Majorna-Linné, Gröna Vallen;148000;Göteborg;Sannaskolan;Klassrum;Jordhyttegatan 5;;;;E;;;57.689616;11.918709;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801012;Majorna-Linné, Klippan;148000;Göteborg;Hotell Kusten;Sal Vinga;Kustgatan 10;;;;E;;;57.693789;11.918709;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801013;Majorna-Linné, Kungsladugård, Västra;148000;Göteborg;Kungsladugårdsskolan;Sal 146;Birger Jarlsgatan 1;;;;E;;;57.684927;11.921110;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801014;Majorna-Linné, Kungsladugård, Östra;148000;Göteborg;Kungsladugårdsskolan;Matsalen;Birger Jarlsgatan 1;;;;E;;;57.684996;11.921067;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801015;Majorna-Linné, Mariaplan;148000;Göteborg;Sannaskolan;Klassrum;Jordhyttegatan 5;;;;E;;;57.684904;11.914115;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801016;Majorna-Linné, Skytteskogen;148000;Göteborg;Kungsladugårdsskolan;Sal 145;Birger Jarlsgat. 1, entré B;;;;E;;;57.685070;11.921109;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801017;Majorna-Linné, Svalebo;148000;Göteborg;Kungsladugårdsskolan;Sal 144;Birger Jarlsgatan 1;;;;E;;;57.685070;11.921109;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801021;Majorna-Linné, Sandarne;148000;Göteborg;Sannaskolan;Matsalen;Jordhyttegatan 5, ingång C;;;;E;;;57.684498;11.913636;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801022;Majorna-Linné, Silverkällan;148000;Göteborg;Sannaskolan;Matsalen;Jordhyttegatan 5, ingång C;;;;E;;;57.684904;11.913636;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801031;Majorna-Linné, Chapmans Torg;148000;Göteborg;Carl Johans församlingshem;Samlingssal;Carl Johans kyrkoplan 1;;;;E;;;57.696167;11.922312;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
2018;14801032;Majorna-Linné, Godhem;148000;Göteborg;SK Argo klubbhus;Samlingsal;Ekedalsgatan 26;;;;E;;;57.687279;11.931496;WGS84 (LATITUD, LONGITUD i källan);2018-09-09;2018-09-09;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;2018_vallokal.xlsx
